snippet_id,term,term_slug,source_url,source_id,start_seconds,end_seconds,structure_decomposition,adds_proposed,our_slug_match,our_match_kind,status,notes
passback_001_pixie-legover,Pixie Legover,pixie-legover,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+legover,,,,needs_review,Pixie-decomposed compound from PassBack.
passback_002_pixie-same-side-drifter,Pixie Same Side Drifter,pixie-same-side-drifter,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+same-side+drifter,,,,needs_review,Pixie-decomposed compound from PassBack.
passback_003_pixie-far-swirl,Pixie Far Swirl,pixie-far-swirl,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+far+swirl,,,,needs_review,Pixie-decomposed compound from PassBack.
passback_004_pixie-over-down,Pixie Over Down,pixie-over-down,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+over-down,,,,needs_review,Pixie-decomposed compound from PassBack.
passback_005_pixie-gyro-toe,Pixie Gyro Toe,pixie-gyro-toe,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+gyro+toe,,,,needs_review,Pixie-decomposed compound from PassBack.
passback_006_pixie-diving-whirl,Pixie Diving Whirl,pixie-diving-whirl,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+diving+whirl,,,,needs_review,Pixie-decomposed compound from PassBack.
passback_007_pixie-whirl-kick,Pixie Whirl Kick,pixie-whirl-kick,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+whirl+kick,,,,needs_review,Pixie-decomposed compound from PassBack.
passback_008_pixie-ducking-blender,Pixie Ducking Blender,pixie-ducking-blender,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+ducking+blender,,,,needs_review,Pixie-decomposed compound from PassBack.
passback_009_pixie-ducking-guay,Pixie Ducking Guay,pixie-ducking-guay,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+ducking+guay,,,,needs_review,Pixie-decomposed compound from PassBack.
passback_010_porque,Porque,porque,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+torque,,,,needs_review,PassBack equivalence: Porque = Pixie Torque.
passback_011_pigbeater,Pigbeater,pigbeater,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,pixie+eggbeater,,,,needs_review,PassBack equivalence: Pigbeater = Pixie Eggbeater.
passback_012_smudge-kick,Smudge Kick,smudge-kick,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,,,,,needs_review,Mentioned as a kick variant; structure unspecified.
passback_013_alpine-smog,Alpine Smog,alpine-smog,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,,,,,,,needs_review,Named compound; structure unspecified.
