term,term_slug,source_url,source_id,source_type,classification,our_slug_match,our_match_kind,matched_canonical,matched_adds,matched_category,structure_proposed,status,notes
Atomic,atomic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,atomic,modifier_rule,atomic,,modifier,,known,
Delusional,delusional,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Fairy,fairy,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,trick,fairy,active_trick,fairy,2,set,,known,
Frantic,frantic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Fusing,fusing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Illusioning,illusioning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Inside Atomic,inside-atomic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Inside Pixie,inside-pixie,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Inside Quantum,inside-quantum,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Levitating,levitating,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Moshing,moshing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Neo,neo,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Phasing,phasing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Pixie,pixie,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,trick,pixie,active_trick,pixie,2,set,,known,
Quantum,quantum,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,quantum,modifier_rule,quantum,,modifier,,known,
Sailing,sailing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,sailing,modifier_rule,sailing,,modifier,,known,
Terraging,terraging,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,terraging,modifier_slug,terraging,,modifier,,known,
Wiggling,wiggling,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Symposium,symposium,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,symposium,modifier_slug,symposium,,modifier,,known,
Flailing,flailing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Flaring,flaring,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Floating,floating,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,floating,modifier_rule,floating,,modifier,,known,
Hyper,hyper,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Jolimont,jolimont,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Pogo,pogo,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,pogo,modifier_rule,pogo,,modifier,,known,
Popping,popping,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Rooted Atomic,rooted-atomic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Rooted Fairy,rooted-fairy,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Rooted Quantum,rooted-quantum,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Slaying,slaying,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,,,,,,,,needs_review,
Splicing,splicing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,splicing,modifier_rule,splicing,,modifier,,known,
Surfing,surfing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,set_list,modifier,surfing,modifier_rule,surfing,,modifier,,known,
