set_slug,set_name,source_url,source_id,exists_as_modifier,exists_as_trick,our_existing_slug,our_existing_kind,status,notes
atomic,Atomic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,atomic,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
delusional,Delusional,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
fairy,Fairy,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,Y,fairy,active_trick,known_modifier,Already a modifier in dictionary (active_trick).
frantic,Frantic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
fusing,Fusing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
illusioning,Illusioning,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
inside-atomic,Inside Atomic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
inside-pixie,Inside Pixie,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
inside-quantum,Inside Quantum,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
levitating,Levitating,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
moshing,Moshing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
neo,Neo,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
phasing,Phasing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
pixie,Pixie,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,Y,pixie,active_trick,known_modifier,Already a modifier in dictionary (active_trick).
quantum,Quantum,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,quantum,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
sailing,Sailing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,sailing,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
terraging,Terraging,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,terraging,modifier_slug,known_modifier,Already a modifier in dictionary (modifier_slug).
wiggling,Wiggling,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
symposium,Symposium,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,symposium,modifier_slug,known_modifier,Already a modifier in dictionary (modifier_slug).
flailing,Flailing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
flaring,Flaring,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
floating,Floating,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,floating,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
hyper,Hyper,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
jolimont,Jolimont,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
pogo,Pogo,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,pogo,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
popping,Popping,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
rooted-atomic,Rooted Atomic,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
rooted-fairy,Rooted Fairy,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
rooted-quantum,Rooted Quantum,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
slaying,Slaying,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,N,N,,,new,Not in dictionary; new candidate set.
splicing,Splicing,https://www.youtube.com/watch?v=u9S7zixV3Yw,passback_set_list_u9S7zixV3Yw,Y,N,splicing,modifier_rule,known_modifier,Already a modifier in dictionary (modifier_rule).
