ClubID,in_db,in_mirror,db_approved,db_name,mirror_name,name_match,city_match,country_match,db_has_contact,mirror_has_contact,db_contact_rows
1005960946,1,1,1,FootbagDenmark,FootbagDenmark,1,1,1,1,1,4
1014117242,1,1,1,Finnsta,Finnsta,1,1,1,1,1,2
1018615368,1,1,1,Fundación Footbag Colombia - IFC,Fundación Footbag Colombia - IFC,1,1,1,1,1,3
1019075457,1,1,1,Riverside Kicks,Riverside Kicks,1,1,1,1,1,1
1021384954,1,1,1,Freestyle Fanatics,Freestyle Fanatics,1,1,1,1,1,1
1021573277,1,1,1,Sole Purpose,Sole Purpose,1,1,1,1,1,4
1025613544,1,1,1,ToMiStyKa Footbag Club,ToMiStyKa Footbag Club,1,1,1,1,1,2
1027195555,1,1,1,Naurava Ampiainen,Naurava Ampiainen,1,1,1,1,1,1
1030716331,1,1,1,Asociacion Argentina de Footbag,Asociacion Argentina de Footbag,1,1,1,1,1,1
1041981808,1,1,1,"United Flyers of Sonoma, UFOS","United Flyers of Sonoma, UFOS",1,1,1,1,1,1
1042652245,1,1,1,Les Pieds à Gilles,Les Pieds à Gilles,1,1,1,1,1,3
1045423024,1,1,1,Nashville Kicks,Nashville Kicks,1,1,1,1,1,2
1049582357,1,1,1,FOOTBAG ERIE,FOOTBAG ERIE,1,1,1,1,1,3
1052566617,1,1,1,Footbag Freaks,Footbag Freaks,1,1,1,1,1,1
1053476560,1,1,1,Victoria Footbag,Victoria Footbag,1,1,1,1,1,3
1056107923,1,1,1,Footbag Kranj,Footbag Kranj,1,1,1,1,1,1
1056279957,1,1,1,Footbag Litomerice,Footbag Litomerice,1,1,1,1,1,1
1058348440,1,1,1,GVP group,GVP group,1,1,1,1,1,2
1060260331,1,1,1,Brussels Footbag Club,Brussels Footbag Club,1,1,1,1,1,4
1060296406,1,1,1,Chaos Footbag Club,Chaos Footbag Club,1,1,1,1,1,3
1061147667,1,1,1,TSK Aachen e.V.,TSK Aachen e.V.,1,1,1,1,1,2
1061571426,1,1,1,Floripa Footbag Club,Floripa Footbag Club,1,1,1,1,1,1
1062120239,1,1,1,Footbag Association of Toronto,Footbag Association of Toronto,1,1,1,1,1,1
1065033657,1,1,1,Prime Hack,Prime Hack,1,1,1,1,1,2
1067016491,1,1,1,gravityfighters Linz,gravityfighters Linz,1,1,1,1,1,1
1067891303,1,1,1,Fusion Footbag,Fusion Footbag,1,1,1,1,1,1
1068291442,1,1,1,DST Footbag Club Strzelin,DST Footbag Club Strzelin,1,1,1,1,1,2
1069055604,1,1,1,Madbags,Madbags,1,1,1,1,1,1
1071043472,1,1,1,FOOTFORCE Moscow,FOOTFORCE Moscow,1,1,1,1,1,4
1082105271,1,1,1,"Jyväskylän Footbag-klubi, JFK","Jyväskylän Footbag-klubi, JFK",1,1,1,1,1,1
1083737064,1,1,1,Edmonton Footbag Club,Edmonton Footbag Club,1,1,1,1,1,1
1084884122,1,1,1,Pasikonik BFT,Pasikonik BFT,1,1,1,1,1,1
1086285717,1,1,1,team Twist,team Twist,1,1,1,1,1,1
1088677118,1,1,1,Lilac City Footbag,Lilac City Footbag,1,1,1,1,1,1
1089299418,1,1,1,Knoxville Footbag Association,Knoxville Footbag Association,1,1,1,1,1,1
1093025280,1,1,1,Footbag Táchira Venezuela,Footbag Táchira Venezuela,1,1,1,1,1,5
1101954095,1,1,1,footbag in Quebec city,footbag in Quebec city,1,1,1,1,1,3
1102560391,1,1,1,Northwest Footbag Alliance,Northwest Footbag Alliance,1,1,1,1,1,1
1103295019,1,1,1,Le Tri-Flux,Le Tri-Flux,1,1,1,1,1,1
1106254113,1,1,1,Kingston Footbag Militia,Kingston Footbag Militia,1,1,1,1,1,1
1108092962,1,1,1,NPR,NPR,1,1,1,1,1,2
1108814159,1,1,1,Prague Footbag Club,Prague Footbag Club,1,1,1,1,1,1
1115215137,1,1,1,Hobart Footbag Club,Hobart Footbag Club,1,1,1,1,1,1
1118253981,1,1,1,RFA (Russian Footbag Association),RFA (Russian Footbag Association),1,1,1,1,1,2
1119355049,1,1,1,Roztyly Footbag Club,Roztyly Footbag Club,1,0,1,1,1,1
1125185667,1,1,1,SCS Footbag Club,SCS Footbag Club,1,1,1,1,1,3
1128458529,1,1,1,Footbag Association of London ,Footbag Association of London,1,1,1,1,1,1
1133742366,1,1,1,Greenville Footbag Club,Greenville Footbag Club,1,1,1,1,1,2
1137003407,1,1,1,Horse Head Hog'nshire's Footbag Guild of the Mountains,Horse Head Hog'nshire's Footbag Guild of the Mountains,1,1,1,1,1,1
