slug,kind,category,adds,base_trick,trick_family,has_chain,has_op_notation,safety_class,proposed_form_or_reason
pogo,atom,set,0,pogo,pogo,0,0,WAVE_2_BLOCKED,set modifier; standalone form pending Red
rooted,atom,set,0,rooted,rooted,0,0,WAVE_2_BLOCKED,set modifier; standalone form pending Red
clipper,atom,body,1,clipper,clipper,0,0,WAVE_2_BLOCKED,body operator; surface form pending Red
cloud-kick,atom,body,1,cloud-kick,cloud-kick,0,1,COVERED,-
flying-inside,atom,body,1,flying-inside,flying-inside,0,0,WAVE_2_BLOCKED,body operator; surface form pending Red
flying-outside,atom,body,1,flying-outside,flying-outside,0,0,WAVE_2_BLOCKED,body operator; surface form pending Red
forehead-stall,atom,surface,1,forehead-stall,forehead-stall,0,1,COVERED,-
head-stall,atom,surface,1,head-stall,head-stall,0,1,COVERED,-
heel-stall,atom,surface,1,heel-stall,heel-stall,0,1,COVERED,-
inside-stall,atom,surface,1,inside-stall,inside-stall,0,1,COVERED,-
knee-stall,atom,surface,1,knee-stall,knee-stall,0,1,COVERED,-
neck-stall,atom,surface,1,neck-stall,neck-stall,0,1,COVERED,-
outside-stall,atom,surface,1,outside-stall,outside-stall,0,1,COVERED,-
shoulder-stall,atom,surface,1,shoulder-stall,shoulder-stall,0,1,COVERED,-
sole-kick,atom,body,1,sole-kick,sole-kick,0,1,COVERED,-
spin,atom,body,1,spin,spin,0,0,WAVE_2_BLOCKED,body operator; surface form pending Red
spyro,atom,body,1,spyro,spyro,0,0,WAVE_2_BLOCKED,body operator; surface form pending Red
toe-stall,atom,surface,1,toe-stall,toe-stall,0,1,COVERED,-
around-the-world,atom,dex,2,around-the-world,atw,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
atomic,atom,set,2,atomic,atomic,0,0,WAVE_2_BLOCKED,set modifier; standalone form pending Red
clipper-stall,atom,surface,2,clipper-stall,clipper-stall,0,1,COVERED,-
cloud-stall,atom,surface,2,cloud-stall,cloud-stall,0,1,COVERED,-
double-spin,atom,body,2,double-spin,double-spin,0,0,WAVE_2_BLOCKED,body operator; surface form pending Red
dragonfly-kick,atom,body,2,dragonfly-kick,dragonfly-kick,0,0,WAVE_2_BLOCKED,body operator; surface form pending Red
fairy,atom,set,2,fairy,fairy,0,0,WAVE_2_BLOCKED,set modifier; standalone form pending Red
flying-clipper,compound,body,2,clipper,clipper,0,0,UNKNOWN,unclassified
furious,atom,set,2,furious,furious,0,0,WAVE_2_BLOCKED,set modifier; standalone form pending Red
guay,atom,dex,2,guay,guay,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
hop-over,atom,body,2,hop-over,hop-over,0,0,WAVE_2_BLOCKED,body operator; surface form pending Red
illusion,atom,dex,2,illusion,illusion,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
knee-clipper,atom,surface,2,knee-clipper,knee-clipper,0,0,CURATOR_DEFERRED,composite surface; needs naming decision
legover,atom,dex,2,legover,legover,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
mirage,atom,dex,2,mirage,mirage,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
pickup,atom,dex,2,pickup,pickup,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
pixie,atom,set,2,pixie,pixie,0,0,WAVE_2_BLOCKED,set modifier; standalone form pending Red
quantum,atom,set,2,quantum,quantum,0,0,WAVE_2_BLOCKED,set modifier; standalone form pending Red
reverse-around-the-world,compound,dex,2,around-the-world,atw,0,0,UNKNOWN,unclassified
sailing,atom,set,2,sailing,sailing,0,0,WAVE_2_BLOCKED,set modifier; standalone form pending Red
sole-stall,atom,surface,2,sole-stall,sole-stall,0,1,COVERED,-
surging,atom,compound,2,,surging,0,0,CURATOR_DEFERRED,compound base; needs curator decomposition
walk-over,atom,body,2,walk-over,walk-over,0,0,WAVE_2_BLOCKED,body operator; surface form pending Red
butterfly,atom,compound,3,butterfly,butterfly,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
cross-body-sole-stall,atom,surface,3,cross-body-sole-stall,cross-body-sole-stall,0,0,CURATOR_DEFERRED,composite surface; needs naming decision
double-around-the-world,compound,dex,3,around-the-world,atw,0,0,UNKNOWN,unclassified
double-leg-over,compound,compound,3,legover,legover,1,0,COVERED,-
drifter,compound,compound,3,clipper-stall,clipper-stall,1,0,COVERED,-
ducking-clipper,compound,compound,3,clipper-stall,clipper-stall,0,0,UNKNOWN,unclassified
eclipse,atom,compound,3,eclipse,eclipse,0,0,CURATOR_DEFERRED,compound base; needs curator decomposition
eggbeater,compound,compound,3,legover,legover,1,0,COVERED,-
flail,compound,compound,3,illusion,illusion,1,0,COVERED,-
legeater,compound,compound,3,pickup,pickup,0,1,COVERED,-
magellan,compound,compound,3,legover,legover,1,0,COVERED,-
merkon,compound,compound,3,legover,legover,1,0,COVERED,-
omelette,compound,compound,3,pickup,pickup,1,0,COVERED,-
osis,atom,compound,3,osis,osis,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
paradox-mirage,compound,compound,3,mirage,mirage,1,0,COVERED,-
paste,compound,compound,3,pickup,pickup,1,1,COVERED,-
reaper,compound,compound,3,clipper-stall,clipper-stall,0,0,UNKNOWN,unclassified
refraction,atom,dex,3,refraction,refraction,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
rev-up,compound,dex,3,whirl,whirl,0,0,UNKNOWN,unclassified
rev-whirl,compound,dex,3,whirl,whirl,0,0,UNKNOWN,unclassified
reverse-drifter,atom,dex,3,reverse-drifter,reverse-drifter,0,0,WAVE_2_BLOCKED,observational; bare-form Wave 2
