slug,ifpa_readings,fm_technical_name,fm_symbolic_notation_raw,pb_technical_name,alignment_fm,divergence_type_fm,alignment_pb,divergence_type_pb,fm_present,pb_present,ifpa_chain_present,candidate_new_chain_entry,pending_red,curator_action,notes
mobius,gyro torque | spinning ss torque | spinning ss miraging op osis,Gyro Torque,Clip >> (back) Spin (BOD) >> Same In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),Gyro Torque,identical,token-equal,identical,token-equal,true,true,true,false,false,,
toe-blur,quantum mirage,Quantum Mirage (op),,Quantum far Mirage,equivalent-shorthand,containment-overlap,equivalent-shorthand,containment-overlap,true,true,true,false,false,,
ripwalk,stepping butterfly,Stepping Far Butterfly,Clip > Op In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),Stepping far Butterfly,equivalent-shorthand,containment-overlap,equivalent-shorthand,containment-overlap,true,true,true,false,true,,
dimwalk,pixie butterfly,Pixie Butterfly,Toe > Same In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),Pixie far Butterfly,identical,token-equal,equivalent-shorthand,containment-overlap,true,true,true,false,true,,
phoenix,pixie ducking butterfly,Pixie Ducking Butterfly,Toe > Same In (DEX) >> Duck (BOD) >> Op Out (DEX) > Op Clip (XBD)(DEL),Pixie Ducking Butterfly,identical,token-equal,identical,token-equal,true,true,true,false,true,,
atom-smasher,atomic mirage,,,Atomic far Mirage,our-only,external-missing,equivalent-shorthand,containment-overlap,false,true,true,false,true,,
matador,nuclear butterfly | paradox atomic butterfly,Nuclear Butterfly,Clip > Same Out (DEX)(PDX) >> Op Out (DEX) > Op Clip (XBD)(DEL),Nuclear far Butterfly,identical,token-equal,equivalent-shorthand,containment-overlap,true,true,true,false,true,,
paradox-symposium-whirl,ps whirl,,,"Pdx Symp Whirl, Clipper far Symp Whirl",our-only,external-missing,operational-dialect,external-uses-op-notation,false,true,true,false,true,,
montage,spinning ducking paradox symposium whirl,Spinning Ducking Paradox Symposium Whirl,Clip >> (back) Spin (BOD) > Duck (BOD) >> (no plant while) Op Front Whirl (DEX)(PDX)(BOD) > Op Clip (XBD)(DEL),Spinning Ducking far Symp. Whirl,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
double-fairy,double illusion,Illusion (ss) (double),,,equivalent-shorthand,containment-overlap,our-only,external-missing,true,false,true,false,true,,
double-blender,whirling blender,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,true,,
double-spinning-osis,two spins to osis,,,,our-only,external-missing,our-only,external-missing,true,false,true,false,true,,
spyro-gyro,gyro butterfly swirl,Gyro Butterfly Swirl,Clip >> (back) Spin (BOD) >> Same Out (DEX) > Op Back Swirl (DEX) > Same Clip (XBD)(DEL),,identical,token-equal,our-only,external-missing,true,false,true,false,true,,
torque,miraging osis,Miraging Osis,Clip >> Op In (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL),(downtime) Miraging far Osis,identical,token-equal,equivalent-shorthand,containment-overlap,true,true,true,false,false,,
blender,whirling osis,Whirling Osis,Clip >> Op Front Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),(downtime) Whirling Osis,identical,token-equal,equivalent-shorthand,containment-overlap,true,true,true,false,false,,
drifter,miraging clipper,Miraging Clipper,Clip >> Op In (DEX) > Same Clip (XBD)(DEL),(downtime) Miraging far Clipper,identical,token-equal,equivalent-shorthand,containment-overlap,true,true,true,false,false,,
vortex,gyro drifter,Gyro Drifter,Clip >> (back) Spin (BOD) >> Same In (DEX) > Same Clip (XBD)(DEL),Spinning near Drifter,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
eggbeater,atomic legover,Illusioning Legover,Toe >> Op Out (DEX) > Op Out (DEX) > Same Toe (DEL),(downtime) Illusioning Legover,divergent,different-token-set,divergent,different-token-set,true,true,true,false,true,,
omelette,atomic illusion,Atomic Illusion,Toe > Op Out (DEX) >> Op Out (DEX)(XDEX) > Op Toe (DEL),,identical,token-equal,our-only,external-missing,true,false,true,false,false,,
flail,symposium illusion,Symposium Illusion,SET > (no plant while) [BOD] OP OUT [DEX] > OP TOE [DEL],Symp. Illusion,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
smudge,pixie illusion,Pixie Illusion,Toe > Same In (DEX) > Op Out (DEX) > Op Toe (DEL),Pixie Illusion,identical,token-equal,identical,token-equal,true,true,true,false,false,,
smoke,pixie drifter,Pixie Drifter,Toe > Same In (DEX) >> Op In (DEX) > Same Clip (XBD)(DEL),Pixie far Drifter,identical,token-equal,equivalent-shorthand,containment-overlap,true,true,true,false,false,,
smog,pixie double legover,Pixie Double Legover,Toe > Same In (DEX) >> Op In (DEX) > Op Out (DEX) > Same Toe (DEL),Pixie far DLO,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
royale,paradox reverse drifter,Paradox Grifter,Clip >> Same Out (DEX)(PDX) >> Same Clip (XBD)(DEL),Clipper far Grifter,divergent,different-token-set,divergent,different-token-set,true,true,true,false,true,,
flurry,barraging legover,Barraging Legover,Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL),(midtime) Barraging far Legover,identical,token-equal,equivalent-shorthand,containment-overlap,true,true,true,false,true,,
double-leg-over,miraging legover,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
surge,surging paradox mirage,Surging Paradox Mirage,Clip > (back) Spin (BOD) > Same In (DEX) >> Op In (DEX)(PDX) > Op Toe (DEL),Surging far Mirage,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
surreal,surging paradox whirl,Surging Paradox Whirl,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Front Whirl (DEX)(PDX) > Op Clip (XBD)(DEL),Surging far Whirl,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
surgery,surging symposium reverse whirl,Surging Symposium Reverse Whirl,Clip > (back) Spin (BOD) > Same In (DEX) >> (no plant while) Op Back Whirl (DEX)(BOD) > Op Clip (XBD)(DEL),,identical,token-equal,our-only,external-missing,true,false,true,false,false,,
venom,surging barfly,Surging Barfly,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Surging far Double Down,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
bigwalk,surging butterfly,Surging Butterfly,,,identical,token-equal,our-only,external-missing,true,false,true,false,false,,
plasma,quantum double over down,Quantum Double Over Down,Toe > Op In (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Quantum far Double Down,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
fusion,atomic double over down,Atomic Double Over Down,Toe > Op Out (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Atomic far Double Down,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
grave-digger,stepping ss torque,Stepping Torque,Clip > Op In (DEX) >> Same In (DEX) > (back) Spin (BOD) > Op Clip (XBD)(DEL),Stepping near Torque,equivalent-shorthand,containment-overlap,divergent,different-token-set,true,true,true,false,true,,
nemesis,furious barfly,Barraging Barfly,Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX)(XDEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Barraging far Double Down,divergent,different-token-set,divergent,different-token-set,true,true,true,false,true,,
atomic-torque,atomic torque,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
atomic-butterfly,atomic butterfly,,,Atomic far Butterfly,our-only,external-missing,equivalent-shorthand,containment-overlap,false,true,true,false,false,,
ducking-butterfly,ducking butterfly,,,,our-only,external-missing,our-only,external-missing,true,false,true,false,false,,
spinning-butterfly,spinning butterfly,,,,our-only,external-missing,our-only,external-missing,true,false,true,false,false,,
tripwalk,stepping quantum butterfly,Quantum Butterfly,Toe > Op In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),Quantum far Butterfly,equivalent-shorthand,containment-overlap,divergent,different-token-set,true,true,true,false,true,,
sidewalk,stepping near butterfly,Stepping Butterfly (same side),Clip > Op In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),,divergent,different-token-set,our-only,external-missing,true,false,true,false,true,,
paradox-mirage,paradox mirage,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
symposium-mirage,symposium mirage,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
smear,pixie mirage,Pixie Mirage,Toe > Same In (DEX) >> Op In (DEX) > Op Toe (DEL),Pixie Mirage,identical,token-equal,identical,token-equal,true,true,true,false,false,,
tap,atomic near mirage,Tapping Mirage,Toe > Op Out (DEX) >> Same In (DEX) > Op Toe (DEL),Atomic near Mirage,divergent,different-token-set,identical,token-equal,true,true,true,false,true,,
sumo,nuclear mirage,Nuclear Mirage,Clip > Same Out (DEX)(PDX) >> Op In (DEX)(XDEX) > Op Toe (DEL),Nuclear far Mirage,identical,token-equal,equivalent-shorthand,containment-overlap,true,true,true,false,false,,
ducking-osis,ducking osis,,,,our-only,external-missing,our-only,external-missing,true,false,true,false,false,,
spinning-osis,spinning osis,,,,our-only,external-missing,our-only,external-missing,true,false,true,false,false,,
stepping-osis,stepping osis,,,,our-only,external-missing,our-only,external-missing,true,false,true,false,false,,
paradox-torque,paradox torque,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
spinning-torque,spinning torque,,,Spinning Torque,our-only,external-missing,identical,token-equal,false,true,true,false,false,,
blurry-torque,blurry torque | stepping paradox torque,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,true,,
dada-curve,miraging far symposium butterfly,Miraging Symple Butterfly,Set >> Op In (DEX) > (no plant while) Op Out (DEX) > Op Clip (XBD)(DEL),(downtime) Miraging far Symp. Butterfly,divergent,different-token-set,divergent,different-token-set,true,true,true,false,true,,
paradox-whirl,paradox whirl,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
spinning-whirl,spinning whirl,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
ducking-whirl,ducking whirl,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
symposium-whirl,symposium whirl,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
stepping-whirl,stepping whirl,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
tapping-whirl,tapping whirl,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
blurry-whirl,blurry whirl | stepping paradox whirl,,,,our-only,external-missing,our-only,external-missing,true,false,true,false,true,,
spinning-symposium-whirl,spinning symposium whirl,,,Spinning far Symp. Whirl,our-only,external-missing,divergent,different-token-set,false,true,true,false,true,,
gauntlet,blurry ducking torque | stepping ducking paradox torque,Blurry Ducking Torque,Clip > Op In (DEX) >> Duck (BOD) >> Op In (DEX)(PDX) > (back) Spin (BOD) > Op Clip (XBD)(DEL),Stepping Ducking Torque,identical,token-equal,equivalent-shorthand,containment-overlap,true,true,true,false,true,,
paradox-blender,paradox blender | paradox whirling op osis,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
food-processor,blurry blender | stepping paradox blender,Blurry Blender,Clip > Op In (DEX) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),Stepping far Blender,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
spender,spinning paradox blender,Spinning Paradox Blender,Clip >> (back) Spin (BOD) >> Op Front Whirl (DEX)(PDX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),Spinning far Blender,identical,token-equal,divergent,different-token-set,true,true,true,false,true,,
paradox-drifter,paradox drifter | paradox miraging clipper,,,,our-only,external-missing,our-only,external-missing,false,false,true,false,false,,
barfly,,Far Double Over Down,Clip >> Same Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Clipper far Double Down,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
parkwalk,,Pixie Butterfly (same side),Toe > Same In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),Pixie near Butterfly,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
blur,,Blurry Mirage,Clip > Op In (DEX) >> Op In (DEX)(PDX) > Op Toe (DEL),Stepping far Mirage,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,true,,
blurriest,,Stepping Barfly,Clip > Op In (DEX) >> Op Out (DEX) > Same Out (DEX) > Op Clip (XBD)(DEL),Stepping far Double Down,external-only,ifpa-missing-chain,external-only,ifpa-missing-chain,true,true,false,true,false,,
