external_source,external_name,external_formula_or_description,external_add_if_known,ifpa_status,ifpa_slug_if_matched,ifpa_name_if_matched,ifpa_formula_if_matched,agreement_status,reason_not_covered,recommended_action,red_question_id_if_applicable,notes
footbagmoves,Atomic Illusion,,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Atomic Illusion (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Atomic Legover (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Atomic Pickup (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Atomsmasher,Atomic Mirage,3,covered_alias,atom-smasher,atom smasher,atomic mirage,add_differs,,no_action,,
footbagmoves,Barrage,Clipper set Double Mirage,3,covered_exact,barrage,barrage,,name_agrees_formula_differs,,no_action,,
footbagmoves,Barrage (toe set),Clipper set Double Mirage,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Bubba Beater,Bubba Legover,3,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Butterfly,,3,covered_exact,butterfly,butterfly,,name_and_formula_agree,,no_action,,
footbagmoves,Butterfly (same side),,3,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Alex Zerbe is the greatest,Spyro Symple Drifter,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Arcwalk,Arctic Butterfly,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Assassin,Pixie Ducking Mirage,4,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Atomic Butterfly (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Atomic Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Atomic ss Osis,Tapping Osis,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Barfly,Far Double Over Down,4,covered_exact,barfly,barfly,,name_agrees_formula_differs,,no_action,,
footbagmoves,Barfry,Nuclear ss Butterfly,4,covered_formula_equivalent,matador,matador,nuclear butterfly | paradox atomic butterfly,add_differs,,no_action,,
footbagmoves,Blaze,Blazing Mirage,4,missing_safe_to_add,,,,ifpa_missing,Slice R canonical-gap; structurally clean; no Wave 2 dependency,curator_review_for_addition,,
footbagmoves,Blender,Whirling Osis,4,covered_exact,blender,blender,whirling osis,name_and_formula_agree,,no_action,,
footbagmoves,Blender (same side),Whirling Osis,4,covered_formula_equivalent,blender,blender,whirling osis,name_diff_formula_agrees,,no_action,,
footbagmoves,Bling Blang,Whirling Reverse Whirl,4,missing_insufficient_evidence,,,,ifpa_missing,uses external vocabulary IFPA does not recognize,curator_review,,
footbagmoves,Blister,Whirling Gyro Mirage,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Blizzard,Blurry Illusion,4,missing_needs_red,,,,ifpa_missing,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Blur,Blurry Mirage,4,covered_exact,blur,blur,,name_agrees_formula_differs,,no_action,,
footbagmoves,Butterfly Swirl,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Butterfly Swirl (same side),,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Buttersole,Butterfly Flapper,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Cascade,Ducking Double Legover,4,missing_needs_curator,,,,ifpa_missing,no Slice R classification; structural fit unclear,curator_review,,
footbagmoves,Casket,Fairy ss Drifter,4,missing_needs_red,,,,ifpa_missing,Wave-2 operator vocabulary present (fairy/barraging/blurry),queue_post_red,,
footbagmoves,Catacomb,Pixie ss Drifter,4,covered_formula_equivalent,smoke,smoke,pixie drifter,name_diff_formula_agrees,,no_action,,
footbagmoves,Dada Curve,Miraging Symple Butterfly,4,covered_exact,dada-curve,dada curve,miraging far symposium butterfly,name_agrees_formula_differs,,no_action,,
footbagmoves,Dellusion,Double Illusion,4,covered_formula_equivalent,double-fairy,,double illusion,name_diff_formula_agrees,,no_action,,
footbagmoves,Dimwalk,Pixie Butterfly,4,covered_exact,dimwalk,dimwalk,pixie butterfly,name_and_formula_agree,,no_action,,
footbagmoves,Diving Butterfly,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Diving Osis,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Double Over Down,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
footbagmoves,Double Spinning Clipper,,4,missing_insufficient_evidence,,,,ifpa_missing,external source supplies no structural reading,curator_review,,
