"slug","adds","family","modifier_links","compounds_rooted","records","mods","parser_status","category","subcategory","action","is_modifier_stub"
"barraging","","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"blazing","","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"ducking","","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"gyro","","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"paradox","","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"spinning","","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"stepping","","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"symposium","","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"tapping","","","0","0","0","","n/a","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"pogo","0","pogo","0","0","0","","exact_self_atom","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"rooted","0","rooted","0","0","0","","exact_self_atom","modifier-stub-row","excluded from public-facing per modifier-visibility rule","skip","1"
"clipper","1","clipper","0","1","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"cloud-kick","1","cloud-kick","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"flying-inside","1","flying-inside","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"flying-outside","1","flying-outside","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"forehead-stall","1","forehead-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"head-stall","1","head-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"heel-stall","1","heel-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
"inside-stall","1","inside-stall","0","0","0","","exact_self_atom","exotic-standalone","no connectivity signals","scale-future","0"
