slug,column,before,after,reason,ratification,applied_at
dimwalk,operational_notation,(null),TOE > SAME IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ pixie butterfly),2026-05-15,(pending)
ripwalk,operational_notation,(null),CLIP > OP IN [DEX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ stepping butterfly),2026-05-15,(pending)
torque,operational_notation,(null),CLIP >> OP IN [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ miraging osis),2026-05-15,(pending)
mobius,operational_notation,(null),CLIP >> (BACK) SPIN [BOD] >> SAME IN [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ spinning ss torque),2026-05-15,(pending)
drifter,operational_notation,(null),CLIP >> OP IN [DEX] > SAME CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ miraging clipper),2026-05-15,(pending)
blender,operational_notation,(null),CLIP >> OP FRONT WHIRL [DEX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ whirling osis),2026-05-15,(pending)
vortex,operational_notation,(null),CLIP >> (BACK) SPIN [BOD] >> SAME IN [DEX] > SAME CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ gyro drifter),2026-05-15,(pending)
eggbeater,operational_notation,(null),TOE >> OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],§13 compound-layer authoring (FM ≡ atomic legover),2026-05-15,(pending)
smudge,operational_notation,(null),TOE > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],§13 compound-layer authoring (FM ≡ pixie illusion),2026-05-15,(pending)
smoke,operational_notation,(null),TOE > SAME IN [DEX] >> OP IN [DEX] > SAME CLIP [XBD] [DEL],§13 compound-layer authoring (FM ≡ pixie drifter),2026-05-15,(pending)
smog,operational_notation,(null),TOE > SAME IN [DEX] >> OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],§13 compound-layer authoring (FM ≡ pixie double legover),2026-05-15,(pending)
