slug,canonical_name,expected_hashtag,tag_exists_in_tags,tag_normalized_match,notes
clipper,clipper,#clipper,y,y,tag row exists
mirage,mirage,#mirage,y,y,tag row exists
legover,legover,#legover,y,y,tag row exists
pickup,pickup,#pickup,y,y,tag row exists
guay,guay,#guay,n,n/a,no exact tag; near matches: none
illusion,illusion,#illusion,y,y,tag row exists
pixie,pixie,#pixie,y,y,tag row exists
fairy,fairy,#fairy,y,y,tag row exists
around-the-world,around the world,#around-the-world,y,y,tag row exists
reverse-around-the-world,reverse around the world,#reverse-around-the-world,n,n/a,no exact tag; near matches: none
double-around-the-world,double around the world,#double-around-the-world,y,y,tag row exists
whirl,whirl,#whirl,y,y,tag row exists
butterfly,butterfly,#butterfly,y,y,tag row exists
swirl,swirl,#swirl,y,y,tag row exists
osis,osis,#osis,y,y,tag row exists
eclipse,eclipse,#eclipse,y,y,tag row exists
eggbeater,eggbeater,#eggbeater,y,y,tag row exists
double-leg-over,double leg over,#double-leg-over,y,y,tag row exists
drifter,drifter,#drifter,y,y,tag row exists
barfly,barfly,#barfly,y,y,tag row exists
smear,smear,#smear,y,y,tag row exists
flurry,flurry,#flurry,n,n/a,no exact tag; near matches: none
dimwalk,dimwalk,#dimwalk,y,y,tag row exists
parkwalk,parkwalk,#parkwalk,y,y,tag row exists
torque,torque,#torque,y,y,tag row exists
ripwalk,ripwalk,#ripwalk,y,y,tag row exists
blur,blur,#blur,y,y,tag row exists
atom-smasher,atom smasher,#atom-smasher,y,y,tag row exists
blender,blender,#blender,y,y,tag row exists
ducking-clipper,ducking clipper,#ducking-clipper,y,y,tag row exists
spinning-clipper,spinning clipper,#spinning-clipper,y,y,tag row exists
ducking-butterfly,ducking butterfly,#ducking-butterfly,y,y,tag row exists
spinning-butterfly,spinning butterfly,#spinning-butterfly,y,y,tag row exists
symposium-whirl,symposium whirl,#symposium-whirl,y,y,tag row exists
ducking-whirl,ducking whirl,#ducking-whirl,n,n/a,no exact tag; near matches: none
stepping-whirl,stepping whirl,#stepping-whirl,n,n/a,no exact tag; near matches: none
paradox-whirl,paradox whirl,#paradox-whirl,n,n/a,no exact tag; near matches: none
paradox-drifter,paradox drifter,#paradox-drifter,y,y,tag row exists
paradox-mirage,paradox mirage,#paradox-mirage,y,y,tag row exists
paradox-blender,paradox blender,#paradox-blender,y,y,tag row exists
paradox-torque,paradox torque,#paradox-torque,y,y,tag row exists
blurry-whirl,blurry whirl,#blurry-whirl,y,y,tag row exists
blurriest,blurriest,#blurriest,y,y,tag row exists
fog,fog,#fog,n,n/a,no exact tag; near matches: none
mobius,mobius,#mobius,y,y,tag row exists
fusion,fusion,#fusion,n,n/a,no exact tag; near matches: #club_fusion
tomahawk,tomahawk,#tomahawk,y,y,tag row exists
superfly,superfly,#superfly,y,y,tag row exists
spinning-whirl,spinning whirl,#spinning-whirl,y,y,tag row exists
paradox-symposium-whirl,paradox symposium whirl,#paradox-symposium-whirl,y,y,tag row exists
food-processor,food processor,#food-processor,y,y,tag row exists
