prior_frontier_trick,slug,disposition,detail
Big Orange,big-orange,aliased/mapped,-> spinning-symposium-flux
Flare,flare,aliased/mapped,-> symposium-whirling-mirage
GDLO,gdlo,aliased/mapped,-> gyro-double-leg-over
GYBAS,gybas,aliased/mapped,-> stepping-dyno
Ghost,ghost,aliased/mapped,-> whirling-rake
Golden Shower,golden-shower,aliased/mapped,-> stepping-ducking-symposium-eggbeater
Johnny Vodka,johnny-vodka,aliased/mapped,-> pixie-mobius
POD,pod,aliased/mapped,-> pixie-double-over-down
Ripcurl,ripcurl,aliased/mapped,-> stepping-butterfly-swirl
Slapdown,slapdown,aliased/mapped,-> quantum-butterfly
Spikehammer,spikehammer,aliased/mapped,-> stepping-ducking-mirage
Super Mario,super-mario,aliased/mapped,-> spinning-symposium-torque
Superdeeduperfly,superdeeduperfly,aliased/mapped,-> spinning-ducking-superfly
Superduperfly,superduperfly,aliased/mapped,-> spinning-superfly
Swifter,swifter,aliased/mapped,-> stepping-swirl
Whirlwalk,whirlwalk,aliased/mapped,-> whirling-whirl
Whirlygig,whirlygig,aliased/mapped,-> stepping-symposium-whirl
Blurrier,blurrier,doctrine-blocked,Stepping near Double Down
Cold Fusion,cold-fusion,doctrine-blocked,Nuclear far Double Down
Dimmier,dimmier,doctrine-blocked,Pixie near Double Down
Dimmiest,dimmiest,doctrine-blocked,Pixie far Double Down
Id,id,doctrine-blocked,Atomic Ducking far Double Down
Jackknife,jackknife,doctrine-blocked,Stepping Diving ss Butterfly
King Koopa,king-koopa,doctrine-blocked,Spinning Ducking far Symp.Torque
Kiwi,kiwi,doctrine-blocked,Tapping Double Down
Legbreaker,legbreaker,doctrine-blocked,Flailing far Butterfly
Leviathon,leviathon,doctrine-blocked,Stepping Ducking far Double Down
Locomotion,locomotion,doctrine-blocked,Stepping far Motion
Moby Dick,moby-dick,doctrine-blocked,Mobiusscrew
Mortal Kombat,mortal-kombat,doctrine-blocked,Stepping Ducking far Grifter
Motion Sickness,motion-sickness,doctrine-blocked,Spinning far Motion
Scorpion,scorpion-s-tail,doctrine-blocked,Spinning far Double Down
Shooting Star,shooting-star,doctrine-blocked,Shooting far Double Down
Skullsmasher,skullsmasher,doctrine-blocked,Atomic Ducking far Mirage
Spanishfly,spanishfly,doctrine-blocked,Clipper Ducking far Double Down
Torch-R-Rack,torch-r-rack,doctrine-blocked,Stepping far Symp. Double Down
Your Mom,your-mom,doctrine-blocked,Atomic far Symp. Double Down
Irish Cream,irish-cream,moved to needs-authoring,multiple readings
Monster,monster,moved to needs-authoring,no ADD / thin
Rotor,rotor,moved to needs-authoring,no ADD / thin
Tobius,tobius,moved to needs-authoring,multiple readings
Wauxspin,wauxspin,moved to needs-authoring,no ADD / thin
Riptide,riptide,removed as duplicate,dup of sibling -> stepping-butterfly-swirl
Anonymous,anonymous,still pending (promotion-ready),reading: Spinning far Miraging Symp. Miraging Refraction
Green Eggs and Ham,green-eggs-and-ham,still pending (promotion-ready),reading: Stepping Ducking far Swivel
Pandora,pandora-s-box,still pending (promotion-ready),reading: Gyro Pickup
