"glossary_term","symbolic_group_id","related_tricks","related_operators","notation_examples","topology_examples","notes"
"around the world","atw-leg-circle-topology","around-the-world, double-around-the-world, reverse-around-the-world","","","anchor topology: atw-leg-circle-topology","3 member tricks in this group"
"atomic","atomic-family","atomic-butterfly, atomic-torque, scrambled-eggbeater, witchdoctor","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","4 member tricks in this group"
"barfly","barfly-double-loop-topology","blurriest, nemesis, superfly, venom","","","anchor topology: barfly-double-loop-topology","4 member tricks in this group"
"barraging","barraging-family","barraging-osis","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","1 member tricks in this group"
"blender","blender-rotational-topology","food-processor, mind-bender, paradox-blender, spender","","","anchor topology: blender-rotational-topology","4 member tricks in this group"
"blurry","blurry-family","blur, blurriest, blurry-torque, blurry-whirl, food-processor, ripwalk","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","6 member tricks in this group"
"BOD","diving-family","hatchet","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","1 member tricks in this group"
"BOD","ducking-family","ducking-butterfly, ducking-clipper, ducking-osis, ducking-whirl, gauntlet, mind-bender","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","10 member tricks in this group"
"BOD","spinning-family","bigwalk, merkon, montage, spender, spinning-butterfly, spinning-clipper","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","14 member tricks in this group"
"butterfly","butterfly-wing-topology","atomic-butterfly, bigwalk, butterfly, dimwalk, ducking-butterfly, matador","","","anchor topology: butterfly-wing-topology","12 member tricks in this group"
"clipper","clipper-ending","atomic-butterfly, bigwalk, butterfly, clipper, clipper-stall, dimwalk","","","","19 member tricks in this group"
"clipper","clipper-start","(no membership data)","","","","0 member tricks in this group"
"clipper","stall-1add-topology","clipper, cloud-kick, flying-inside, flying-outside, forehead-stall, head-stall","","","anchor topology: stall-1add-topology","16 member tricks in this group"
"DEX","double-dex-topology","barfly, barrage, barraging-osis","","","anchor topology: double-dex-topology","3 member tricks in this group"
"DEX","multi-dex-topology","(no membership data)","","","anchor topology: multi-dex-topology","0 member tricks in this group"
"DEX","single-dex-family","(no membership data)","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","0 member tricks in this group"
"diving","diving-family","hatchet","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","1 member tricks in this group"
"drifter","drifter-miraging-clipper-topology","paradox-drifter, reverse-drifter, royale, smoke, tombstone, vortex","","","anchor topology: drifter-miraging-clipper-topology","6 member tricks in this group"
"ducking","ducking-family","ducking-butterfly, ducking-clipper, ducking-osis, ducking-whirl, gauntlet, mind-bender","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","10 member tricks in this group"
"furious","furious-family","fury, nemesis","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","2 member tricks in this group"
"gyro","gyro-family","mobius, vortex","compose with base topology groups (e.g. on whirl/osis/butterfly/etc.)","","","2 member tricks in this group"
"hippy","hippy-in-dex","atom-smasher, blur, fury, mirage, paradox-mirage, smear","","James-shorthand: [set]>hippy-in-dex>op toe (cf. CORE_TRICK_SYMBOLIC_TABLE)","","11 member tricks in this group"
