trick_name,sort_name,record_type,records,status,canonical_target,matched_via
Motion,Motion (op),trick_consecutive,3,orphan,,-
Grifter,Grifter (ss),trick_consecutive,2,orphan,,-
Locomotion,Stepping Motion (far),trick_consecutive,2,orphan,,-
Blink,Swirling Toe (op) (rev),trick_consecutive,1,orphan,,-
Fracture,Sailing DLO (ss),trick_consecutive,1,orphan,,-
Frantic Legover,Pixie Quantum Legover (op),trick_consecutive,1,orphan,,-
Gyro Toe,Gyro Toe (op),trick_consecutive,1,orphan,,-
Merlin,Miraging Symp Mirage (op),trick_consecutive,1,orphan,,-
Pixie DSO,Pixie DSO (op),trick_consecutive,1,orphan,,-
Pixie DSO (ss),Pixie DSO (ss),trick_consecutive,1,orphan,,-
Solestice,Osis Flapper,trick_consecutive,1,orphan,,-
Spanishfly,Ducking Double Down (op),trick_consecutive,1,orphan,,-
Toe Spinning Toe,Toe Spinning Toe (op),trick_consecutive,1,orphan,,-
Unique Fearless,Unique 5-ADD,trick_consecutive_dex,5,scoring-category,(run-quality tier),-
Drifter,Drifter (ss),trick_consecutive,3,canonical,drifter,trick_name
Food Processor,Stepping Blender (op),trick_consecutive,3,canonical,food-processor,trick_name
Spinning Whirl,Spinning Whirl (op),trick_consecutive,3,canonical,spinning-whirl,trick_name
DSO,Legover (double) (op),trick_consecutive,2,alias,double-leg-over,trick_name
Double Spinning Clipper,Double Spinning Clipper (op),trick_consecutive,2,canonical,double-spinning-clipper,trick_name
Dyno,Blender (ss) (rev),trick_consecutive,2,canonical,dyno,trick_name
Eclipse,Eclipse (op),trick_consecutive,2,canonical,eclipse,trick_name
Gyro Clipper,Spinning Clipper (ss),trick_consecutive,2,canonical,gyro-clipper,trick_name
Jani Walker,Barraging Butterfly (op),trick_consecutive,2,canonical,jani-walker,trick_name
Mullet,Whirl (op) (ducking) (symp),trick_consecutive,2,canonical,mullet,trick_name
Paradox Blender,Blender (op),trick_consecutive,2,canonical,paradox-blender,trick_name
Paradox Drifter,Drifter (far),trick_consecutive,2,canonical,paradox-drifter,trick_name
Paradox Symposium Whirl,Whirl (op) (symp),trick_consecutive,2,canonical,paradox-symposium-whirl,trick_name
Paradox Torque,Torque (op),trick_consecutive,2,canonical,paradox-torque,trick_name
Paste,Pixie Pickup (op),trick_consecutive,2,canonical,paste,trick_name
Ripstein,Swirl (ss) (double),trick_consecutive,2,canonical,ripstein,trick_name
Smog (ss),Pixie DLO (ss),trick_consecutive,2,canonical,smog,trick_name
Spender,Spinning Blender (op),trick_consecutive,2,canonical,spender,trick_name
Stepping Ducking Paste,Pixie Pickup (op) (ducking),trick_consecutive,2,canonical,pixie-pickup,sort_name
Swifter,Stepping Swirl (op),trick_consecutive,2,alias,stepping-swirl,trick_name
Swirl,Swirl (ss),trick_consecutive,2,canonical,swirl,trick_name
Symposium Eggbeater,Eggbeater (op) (symp),trick_consecutive,2,canonical,symposium-eggbeater,trick_name
Torque,Torque (ss),trick_consecutive,2,canonical,torque,trick_name
Unique 3-Dex,Unique 3-Dex,trick_consecutive_dex,2,scoring-category,(run-quality tier),-
Void,Spinning Drifter (op),trick_consecutive,2,alias,spinning-drifter,trick_name
Whirr,Whirl (ss) (double),trick_consecutive,2,alias,double-whirl,trick_name
Zulu Clipper,Diving Clipper (op),trick_consecutive,2,canonical,diving-clipper,sort_name
2-Bag Juggle,Juggle (2-bag) (ss),trick_consecutive_juggle,1,alias,2-bag-juggling,trick_name
Alpine PLO,Pixie Legover (op) (ducking),trick_consecutive,1,canonical,pixie-legover,sort_name
Around The World,ATW (in),trick_consecutive,1,canonical,around-the-world,trick_name
Assassin,Pixie Mirage (op) (ducking),trick_consecutive,1,canonical,assassin,trick_name
Assassin (ss),Pixie Mirage (ss) (diving),trick_consecutive,1,canonical,assassin,trick_name
Atom Smasher,Atomic Mirage (op),trick_consecutive,1,canonical,atom-smasher,trick_name
Atomic Pickup,Atomic Pickup (op),trick_consecutive,1,canonical,atomic-pickup,trick_name
Backside Magellan,Pixie Legover (ss) (symp),trick_consecutive,1,canonical,pixie-legover,sort_name
Backside Paste,Pixie Pickup (op) (symp),trick_consecutive,1,canonical,pixie-pickup,sort_name
Barfly,Double down (op),trick_consecutive,1,canonical,barfly,trick_name
Barrage,Barrage (op),trick_consecutive,1,canonical,barrage,trick_name
Bladerunner,Atomic Eggbeater (op),trick_consecutive,1,canonical,bladerunner,trick_name
Blazing Butterfly,Whirling Butterfly (ss),trick_consecutive,1,canonical,blazing-butterfly,trick_name
Blender,Blender (ss),trick_consecutive,1,canonical,blender,trick_name
