slug,name,source,notation,SAME,OP,PDX,XDEX,active,class,collapsed_to
assassin-ss,Assassin (ss),corpus,0,0,0,0,0,0,B,
atomic-butterfly-same-side,Atomic Butterfly (same side),corpus,0,0,0,0,0,0,B,
atomic-illusion-same-side,Atomic Illusion (same side),corpus,0,0,0,0,0,0,B,
atomic-legover-same-side,Atomic Legover (same side),corpus,0,0,0,0,0,0,B,
atomic-pickup-same-side,Atomic Pickup (same side),corpus,0,0,0,0,0,0,B,
atomic-ss-osis,Atomic ss Osis,corpus,0,0,0,0,0,0,B,
blender-same-side,Blender (same side),corpus,1,0,0,0,0,0,B,
butterfly-same-side,Butterfly (same side),corpus,1,1,1,0,0,0,A,
butterfly-swirl-same-side,Butterfly Swirl (same side),corpus,0,0,0,0,0,0,B,
clipper-ss-illusion,Clipper ss Illusion,corpus,0,0,0,0,0,0,B,
double-switchover-far,Double Switchover (far),corpus,0,0,0,0,0,0,B,
drifter-same-side,Drifter (same-side),corpus,1,0,0,0,0,0,B,
ducking-far-legover,Ducking Far Legover,corpus,0,0,0,0,0,0,B,
ducking-far-osis,Ducking Far Osis,corpus,0,0,0,0,0,0,B,
ducking-far-pickup,Ducking Far Pickup,corpus,0,0,0,0,0,0,B,
ducking-far-symposium-reverse-whirl,Ducking Far Symposium Reverse Whirl,corpus,0,0,0,0,0,0,B,
dyno-far,Dyno (far),corpus,1,0,0,0,0,0,B,
dyno-same-side,Dyno (same side),corpus,1,0,0,0,0,0,B,
fairy-dlo-ss,Fairy DLO (ss),corpus,0,0,0,0,0,0,B,
fairy-illusion-same-side,Fairy Illusion (same side),corpus,0,0,0,0,0,0,B,
fairy-legover-same-side,Fairy Legover (same side),corpus,0,0,0,0,0,0,B,
fairy-legover-ss,Fairy Legover (ss),corpus,0,0,0,0,0,0,B,
fairy-mirage-same-side,Fairy Mirage (same side),corpus,0,0,0,0,0,0,B,
fairy-pickup-ss,Fairy Pickup (ss),corpus,0,0,0,0,0,0,B,
fairy-same-pickup,(Fairy Same Pickup),corpus,1,1,0,0,0,0,A,
fairy-same-side-mirage,fairy same side mirage,db,1,1,1,0,0,1,A,
fairy-same-side-whirl,fairy same side whirl,db,1,1,1,0,0,1,A,
fairy-ss-clipper,Fairy ss Clipper,corpus,0,0,0,0,0,0,B,
fairy-ss-legover,Fairy ss Legover,corpus,0,0,0,0,0,0,B,
fairy-ss-osis,Fairy ss Osis,corpus,1,0,0,0,0,0,B,
fairy-ss-symposium-whirl,Fairy ss Symposium Whirl,corpus,0,0,0,0,0,0,B,
fairy-ss-xbd-rake,Fairy ss XBD Rake,corpus,0,0,0,0,0,0,B,
fairy-symposium-mirage-same-side,Fairy Symposium Mirage (same side),corpus,0,0,0,0,0,0,B,
fairy-torque-same-side,Fairy Torque (same side),corpus,0,0,0,0,0,0,B,
fairy-whirl-same-side,Fairy Whirl (same side),corpus,0,0,0,0,0,0,B,
far-butterfly,Far Butterfly,corpus,0,0,0,0,0,0,B,
far-clipper,Far Clipper,corpus,0,0,0,0,0,0,B,
far-crossbody-rake,Far Crossbody Rake,corpus,0,0,0,0,0,0,B,
far-double-pickup,Far Double Pickup,corpus,0,0,0,0,0,0,B,
far-double-switchover,Far Double Switchover,corpus,0,0,0,0,0,0,B,
far-dyno,Far Dyno,corpus,0,0,0,0,0,0,B,
far-guay,Far Guay,corpus,0,0,0,0,0,0,B,
far-legover,Far Legover,corpus,0,0,0,0,0,0,B,
far-osis,Far Osis,corpus,0,0,0,0,0,0,B,
far-pickup,Far Pickup,corpus,0,0,0,0,0,0,B,
far-reverse-guay,Far Reverse Guay,corpus,0,0,0,0,0,0,B,
far-reverse-whirl,Far Reverse Whirl,corpus,0,0,0,0,0,0,B,
far-symposium-reverse-whirl,Far Symposium Reverse Whirl,corpus,0,0,0,0,0,0,B,
flailing-ss-nova,Flailing ss Nova,corpus,0,0,0,0,0,0,B,
flailing-ss-symposium-eggbeater,Flailing ss Symposium Eggbeater,corpus,0,0,0,0,0,0,D,bill-ted-s-excellent-adventure
flailing-ss-symposium-mirage,Flailing ss Symposium Mirage,corpus,0,0,0,0,0,0,B,
flailing-ss-symposium-reverse-whirl,Flailing ss Symposium Reverse Whirl,corpus,0,0,0,0,0,0,B,
flailing-ss-symposium-whirl,Flailing ss Symposium Whirl,corpus,0,0,0,0,0,0,B,
flip-side,Flip side,corpus,0,0,0,0,0,0,B,
grifter-same-side,Grifter (same side),corpus,1,0,0,0,0,0,B,
inspinning-same-side-butterfly,Inspinning Same Side Butterfly,corpus,1,0,1,0,0,0,D,inspinning-butterfly
inspinning-same-side-illusion,Inspinning Same Side Illusion,db,1,0,1,0,0,0,C,
inspinning-same-side-mirage,Inspinning Same Side Mirage,db,1,0,1,0,0,0,C,
nuclear-illusion-same-side,Nuclear Illusion (same side),corpus,0,0,0,0,0,0,B,
nuclear-legover-same-side,Nuclear Legover (same side),corpus,0,0,0,0,0,0,B,
nuclear-mirage-same-side,Nuclear Mirage (same side),corpus,0,0,0,0,0,0,B,
nuclear-pickup-same-side,Nuclear Pickup (same side),corpus,0,0,0,0,0,0,B,
osis-far,Osis (far),corpus,0,0,0,0,0,0,B,
osis-same-side,Osis (same side),corpus,0,0,0,0,0,0,B,
paste-ss,Paste (ss),corpus,0,0,0,0,0,0,B,
pigbeater-ss,Pigbeater (ss),corpus,0,0,0,0,0,0,B,
pixie-double-pickup-ss,Pixie Double Pickup (ss),corpus,0,0,0,0,0,0,B,
pixie-drifter-same-side,Pixie Drifter (same side),corpus,0,0,0,0,0,0,B,
pixie-dso-ss,Pixie DSO (ss),corpus,0,0,0,0,0,0,B,
pixie-illusion-same-side,Pixie Illusion (same side),corpus,0,0,0,0,0,0,B,
pixie-mirage-same-side,Pixie Mirage (same side),corpus,0,0,0,0,0,0,B,
pixie-op-toe,Pixie op Toe,corpus,0,0,0,0,0,0,B,
pixie-opposite-clipper,pixie-opposite-clipper,db,1,1,1,0,0,1,A,
pixie-opposite-side-butterfly,(Pixie Opposite Side Butterfly),corpus,1,1,1,0,0,0,A,
pixie-pickup-same-side,Pixie Pickup (same side),corpus,0,0,0,0,0,0,B,
pixie-same-clipper,pixie-same-clipper,db,1,1,0,0,0,1,A,
pixie-same-legover,(Pixie Same Legover),corpus,1,1,0,0,0,0,D,magellan
pixie-same-side-butterfly,(Pixie Same Side Butterfly),corpus,1,1,1,0,0,0,A,
pixie-same-side-illusion,pixie same side illusion,db,1,1,1,0,0,1,A,
pixie-ss-blender,Pixie ss Blender,corpus,0,0,0,0,0,0,B,
pixie-ss-butterfly,pixie-ss-butterfly,corpus,0,0,0,0,0,0,D,parkwalk
pixie-ss-clipper,Pixie ss Clipper,corpus,0,0,0,0,0,0,B,
pixie-ss-mirage,Pixie ss Mirage,corpus,0,0,0,0,0,0,B,
pixie-ss-osis,Pixie ss Osis,corpus,0,0,0,0,0,0,B,
pixie-ss-pickup,Pixie ss Pickup,corpus,0,0,0,0,0,0,B,
pixie-ss-symposium-reverse-whirling-xbd-rake,Pixie ss Symposium Reverse Whirling XBD Rake,corpus,0,0,0,0,0,0,B,
pixie-ss-xbd-rake,Pixie ss XBD Rake,corpus,0,0,0,0,0,0,B,
pixie-symposium-illusion-same-side,Pixie Symposium Illusion (same side),corpus,0,0,0,0,0,0,B,
pixie-symposium-mirage-same-side,Pixie Symposium Mirage (same side),corpus,0,0,0,0,0,0,B,
pixie-torque-same-side,Pixie Torque (same side),corpus,0,0,0,0,0,0,B,
pixie-whirl-same-side,Pixie Whirl (same side),corpus,0,0,0,0,0,0,B,
pogo-op-blender,(Pogo Op Blender),corpus,1,1,1,1,0,0,A,
pogo-op-da-da-curve,(Pogo Op Da Da Curve),corpus,1,0,1,1,0,0,A,
pogo-op-torque,(Pogo Op Torque),corpus,1,0,1,1,0,0,A,
pogo-op-whirling-swirl,(Pogo Op Whirling Swirl),corpus,1,1,1,1,0,0,A,
pogo-ss-clipper,Pogo ss Clipper,corpus,0,0,0,0,0,0,B,
pogo-ss-flail,Pogo ss Flail,corpus,0,0,0,0,0,0,B,
pogo-ss-illusion,Pogo ss Illusion,corpus,0,0,0,0,0,0,B,
pogo-ss-legover,Pogo ss Legover,corpus,0,0,0,0,0,0,B,
pogo-ss-mirage,Pogo ss Mirage,corpus,0,0,0,0,0,0,B,
pogo-ss-pickup,Pogo ss Pickup,corpus,0,0,0,0,0,0,B,
pogo-ss-symposium-mirage,Pogo ss Symposium Mirage,corpus,0,0,0,0,0,0,B,
quantum-butterfly-same-side,Quantum Butterfly (same side),corpus,0,0,0,0,0,0,B,
quantum-illusion-same-side,Quantum Illusion (same side),corpus,0,0,0,0,0,0,B,
quantum-legover-same-side,Quantum Legover (same side),corpus,0,0,0,0,0,0,B,
quantum-mirage-same-side,Quantum Mirage (same side),corpus,0,0,0,0,0,0,B,
quantum-pickup-same-side,Quantum Pickup (same side),corpus,0,0,0,0,0,0,B,
reverse-whirl-same-side,Reverse Whirl (same side),corpus,0,0,0,0,0,0,B,
shooting-ss-clipper,Shooting ss Clipper,corpus,0,0,0,0,0,0,B,
slaying-ss-flail,Slaying ss Flail,corpus,0,0,0,0,0,0,B,
slaying-ss-symposium-mirage,Slaying ss Symposium Mirage,corpus,0,0,0,0,0,0,B,
smearfairy-ss-legoverpickup,Smear>Fairy ss [Legover/Pickup],corpus,0,0,0,0,0,0,B,
splicing-ss-blender,splicing-ss-blender,corpus,0,0,0,0,0,0,D,liquifier
stepping-blender-same-side,Stepping Blender (same side),corpus,0,0,0,0,0,0,B,
stepping-clipper-same-side,Stepping Clipper (same side),corpus,0,0,0,0,0,0,B,
stepping-ducking-butterfly-same-side,Stepping Ducking Butterfly (same side),corpus,0,0,0,0,0,0,B,
stepping-ducking-far-double-pickup,Stepping Ducking Far Double Pickup,corpus,0,0,0,0,0,0,B,
stepping-eggbeater-same-side,Stepping Eggbeater (same side),corpus,0,0,0,0,0,0,B,
stepping-far-clipper,Stepping far Clipper,corpus,0,0,0,0,0,0,B,
stepping-illusion-same-side,Stepping Illusion (same side),corpus,0,0,0,0,0,0,B,
stepping-legover-same-side,Stepping Legover (same side),corpus,0,0,0,0,0,0,B,
stepping-mirage-same-side,Stepping Mirage (same side),corpus,0,0,0,0,0,0,B,
stepping-op-squeeze,(Stepping op Squeeze),corpus,1,0,1,0,0,0,D,miraging-pincher
stepping-opposite-osis,(Stepping Opposite Osis),corpus,1,0,1,0,0,0,D,torque
stepping-opposite-reaper,Stepping Opposite Reaper,corpus,1,1,1,0,0,0,D,stepping-double-switch-over
stepping-opposite-side-butterfly,(Stepping Opposite Side Butterfly),corpus,1,0,1,0,0,0,D,ripwalk
stepping-opposite-side-reverse-whirl,Stepping Opposite Side Reverse Whirl,corpus,1,0,1,0,0,0,D,stepping-rev-whirl
stepping-osis-same-side,Stepping Osis (same side),corpus,0,0,0,0,0,0,B,
stepping-pickup-same-side,Stepping Pickup (same side),corpus,0,0,0,0,0,0,B,
stepping-same-side-torque,stepping-same-side-torque,corpus,0,0,0,0,0,0,D,grave-digger
strong-side,Strong side,corpus,0,0,0,0,0,0,B,
surfing-ss-blender,surfing-ss-blender,corpus,0,0,0,0,0,0,D,big-papa-smurf
surging-ss-osis,Surging ss Osis,corpus,0,0,0,0,0,0,B,
symp-illusion-same-side,Symp Illusion (same side),corpus,0,0,0,0,0,0,B,
symp-mirage-same-side,Symp Mirage (same side),corpus,0,0,0,0,0,0,B,
symp-swirl-op,Symp Swirl (op),corpus,0,0,0,0,0,0,B,
symp-whirl-same-side,Symp Whirl (same side),corpus,0,0,0,0,0,0,B,
symple-butterfly-same-side,Symple Butterfly (same side),corpus,0,0,0,0,0,0,B,
symple-reverse-swirl-far,Symple Reverse Swirl (far),corpus,0,0,0,0,0,0,B,
symple-reverse-swirl-same-side,Symple Reverse Swirl (same side),corpus,0,0,0,0,0,0,B,
symple-swirl-far,Symple Swirl (far),corpus,0,0,0,0,0,0,B,
symple-swirl-same-side,Symple Swirl (same side),corpus,0,0,0,0,0,0,B,
terraging-opposite-clipper,Terraging Opposite Clipper,db,1,1,1,0,0,1,A,
terraging-same-clipper,Terraging Same Clipper,db,1,1,0,0,0,1,A,
terraging-ss-clipper,Terraging ss Clipper,corpus,0,0,0,0,0,0,B,
toe-near-barrage,toe-near-barrage,corpus,0,0,0,0,0,0,D,barrage
toe-ss-symp-swirl,Toe ss Symp Swirl,corpus,0,0,0,0,0,0,B,
torque-same-side,Torque (same side),corpus,1,0,0,0,0,0,B,
whirl-same-side,Whirl (same side),corpus,1,0,1,0,0,0,C,
whirling-far-butterfly,Whirling far Butterfly,corpus,0,0,0,0,0,0,B,
wonton-ss-symposium-mirage,Wonton ss Symposium Mirage,corpus,0,0,0,0,0,0,B,
zulu-far-clipper,Zulu Far Clipper,corpus,0,0,0,0,0,0,B,
zulu-far-legover,Zulu Far Legover,corpus,0,0,0,0,0,0,B,
zulu-far-pickup,Zulu Far Pickup,corpus,0,0,0,0,0,0,B,
