slug,canonical_name,category,adds,trick_family,base_trick,op_notation_present,structural_parse_present,base_has_op_notation,root_cause_bucket,recoverability_class,note
atomic-torque,atomic torque,compound,6,torque,torque,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
barraging-pickup,barraging-pickup,compound,4,pickup,pickup,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
bedwetter,bedwetter,compound,4,eggbeater,eggbeater,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
big-apple-sauce,big apple sauce,compound,8,torque,torque,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
bill-ted-s-excellent-adventure,bill-ted-s-excellent-adventure,compound,5,eggbeater,eggbeater,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
blizzard,blizzard,compound,3,illusion,illusion,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
blurrage,blurrage,compound,4,barrage,barrage,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
blurry-torque,blurry torque,compound,6,torque,torque,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
blurry-whirl,blurry whirl,compound,5,whirl,whirl,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
clipper,clipper,body,1,clipper,clipper,N,N,N,A,notation-derivation:base-blocked,base clipper also lacks op_notation
clown-face,clown-face,compound,5,eggbeater,eggbeater,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
diving-clipper,diving-clipper,compound,2,clipper,clipper,N,N,N,A,notation-derivation:base-blocked,base clipper also lacks op_notation
diving-drifter,diving-drifter,compound,4,clipper-stall,drifter,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
diving-eclipse,diving-eclipse,compound,4,eclipse,eclipse,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
diving-guay,diving-guay,compound,3,inside-stall,guay,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
diving-pickup,diving-pickup,compound,3,pickup,pickup,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
diving-smudge,diving-smudge,compound,4,illusion,smudge,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
diving-toe-stall,diving-toe-stall,compound,2,toe-stall,toe-stall,N,N,Y,A,notation-derivation:base-ready,base carries op_notation
