candidate_alias,target_canonical,target_active,proposed_alias_type,proposed_alias_display,source_category,why_safe
"""johnny walker""",jani_walker,1,historical,1,folk nickname,folk name for the active canonical jani_walker
Alpine Fume,fairy_ducking_drifter,1,historical,1,folk nickname,folk name for the active canonical fairy_ducking_drifter
Alpine Maverick,pixie_diving_osis,1,historical,1,folk nickname,folk name for the active canonical pixie_diving_osis
Alpine Tap,tapping_diving_mirage,1,historical,1,folk nickname,folk name for the active canonical tapping_diving_mirage
Amadeus,gyro_dada_curve,1,historical,1,folk nickname,folk name for the active canonical gyro_dada_curve
Arachnophobia,stepping_diving_double_leg_over,1,historical,1,folk nickname,folk name for the active canonical stepping_diving_double_leg_over
Backside Toe Blizzard,quantum_flail,1,historical,1,folk nickname,folk name for the active canonical quantum_flail
Backside Torus,fairy_gyro_symposium_mirage,1,historical,1,folk nickname,folk name for the active canonical fairy_gyro_symposium_mirage
Blacula,blackula,1,historical,1,folk nickname,folk name for the active canonical blackula
Croissant,pixie_symposium_whirling_swirl,1,historical,1,folk nickname,folk name for the active canonical pixie_symposium_whirling_swirl
Cyclone,shooting_gyro_mirage,1,historical,1,folk nickname,folk name for the active canonical shooting_gyro_mirage
DOD Swirl,double_over_down_swirl,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Dimmier,pixie_double_over_down,1,historical,1,folk nickname,folk name for the active canonical pixie_double_over_down
Dimwalk Swirl,pixie_butterfly_swirl,1,historical,1,folk nickname,folk name for the active canonical pixie_butterfly_swirl
Diving DDD,down_diver,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Down River,down_diver,1,historical,1,folk nickname,folk name for the active canonical down_diver
Downtime Backside Blizzard,miraging_flail,1,historical,1,folk nickname,folk name for the active canonical miraging_flail
Ducking DLO,ducking_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Egg Plant,eggbeater,1,historical,1,folk nickname,folk name for the active canonical eggbeater
Entree,terraging_mirage,1,historical,1,folk nickname,folk name for the active canonical terraging_mirage
Fairy DLO,fairy_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Fairy DOD,fairy_double_over_down,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Fairy Ducking DLO,fairy_ducking_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Fairy Gyro DLO,fairy_gyro_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Fairy Same Pickup,reverse_magellan,1,historical,1,folk nickname,folk name for the active canonical reverse_magellan
Fairy Spinning Legover,fairy_merkon,1,historical,1,folk nickname,folk name for the active canonical fairy_merkon
Fromage,fairy_gyro_barrage,1,historical,1,folk nickname,folk name for the active canonical fairy_gyro_barrage
Furious DLO,nebula,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Gilan,pixie_gyro_double_leg_over,1,historical,1,folk nickname,folk name for the active canonical pixie_gyro_double_leg_over
Gyro Symposium DLO,gyro_symposium_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
King Kong,tapping_whirling_swirl,1,historical,1,folk nickname,folk name for the active canonical tapping_whirling_swirl
Legover Inside Delay,reverse_guay,1,historical,1,folk nickname,folk name for the active canonical reverse_guay
Nuclear DLO,nuclear_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
PS Torque,paradox_symposium_torque,1,historical,1,folk nickname,folk name for the active canonical paradox_symposium_torque
Paradox Miraging Symposium Whirl,paratoxic,1,historical,1,folk nickname,folk name for the active canonical paratoxic
Paradox Symposium Blur,voodoo,1,historical,1,folk nickname,folk name for the active canonical voodoo
Phoenix Swirl,pixie_ducking_butterfly_swirl,1,historical,1,folk nickname,folk name for the active canonical pixie_ducking_butterfly_swirl
Pixie Armageddon,pixie_miraging_symposium_eggbeater,1,historical,1,folk nickname,folk name for the active canonical pixie_miraging_symposium_eggbeater
Pixie DOD,pixie_double_over_down,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Pixie Gyro DLO,pixie_gyro_double_leg_over,1,technical,0,abbreviation/structural,resolves to active canonical via abbrev expansion
Pogo Op Blender,pogo_paradox_blender,1,historical,1,folk nickname,folk name for the active canonical pogo_paradox_blender
Pogo Op Da Da Curve,pogo_paradox_da_da_curve,1,historical,1,folk nickname,folk name for the active canonical pogo_paradox_da_da_curve
