slug,adds,base,family,path_tokens,terminal_type,op
blink,2,,,"BACK_SWIRL ",toe,"SET > OP BACK SWIRL [DEX] > OP TOE [DEL]"
blaze,3,mirage,mirage,"FRONT_WHIRL ",toe,"CLIP > OP FRONT WHIRL [DEX] >> OP IN [DEX] > OP TOE [DEL]"
reverse_whirling_rake,3,whirling_rake,rake,"BACK_WHIRL ",toe,"SET > OP BACK WHIRL [DEX] > SWING [DEX] > SAME TOE [DEL]"
whirling_pickup,3,pickup,pickup,"FRONT_WHIRL ",toe,"SET > OP FRONT WHIRL [DEX] > OP IN [DEX] > SAME TOE [DEL]"
whirling_rake,3,rake,rake,"FRONT_WHIRL ",toe,"SET > OP FRONT WHIRL [DEX] > SWING [DEX] > SAME TOE [DEL]"
bling_blang,4,whirl,whirl,"FRONT_WHIRL ",clipper,"CLIP > OP FRONT WHIRL [DEX] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL]"
blister,4,mirage,mirage,"FRONT_WHIRL ",toe,"CLIP > OP FRONT WHIRL [DEX] >> (back) SPIN [BOD] >> OP IN [DEX] > OP TOE [DEL]"
feral,4,whirl,whirl,"FRONT_WHIRL ",clipper,"TOE > SAME OUT [DEX] >> OP FRONT WHIRL [DEX] > OP CLIP [XBD] [DEL]"
hatchet,4,whirl,whirl,"FRONT_WHIRL ",clipper,"CLIP >> DIVE [BOD] > SAME FRONT WHIRL [DEX] > OP CLIP [XBD] [DEL]"
paradox_whirling_rake,4,whirling_rake,rake,"FRONT_WHIRL ",toe,"SET > OP FRONT WHIRL [DEX] > SWING [DEX] [PDX] > SAME TOE [DEL]"
symposium_whirling_mirage,4,blaze,mirage,"FRONT_WHIRL ",toe,"SET > OP FRONT WHIRL [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL]"
toe_whirling_swirl,4,swirl,swirl,"FRONT_WHIRL ",clipper,"TOE > OP FRONT WHIRL [DEX] > SAME OUT [DEX] > SAME CLIP [XBD] [DEL]"
twirl,4,osis,osis,"FRONT_SWIRL ",clipper,"CLIP >> SAME FRONT SWIRL [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]"
whirling_butterfly,4,butterfly,butterfly,"FRONT_WHIRL ",clipper,"SET > OP FRONT WHIRL [DEX] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL]"
whirling_gyro_mirage,4,gyro_mirage,mirage,"FRONT_WHIRL ",toe,"SET > GYRO [BOD] > OP FRONT WHIRL [DEX] > OP IN [DEX] > OP TOE [DEL]"
whirling_paradox_mirage,4,paradox_mirage,mirage,"FRONT_WHIRL ",toe,"SET > OP FRONT WHIRL [DEX] > OP IN [DEX] [PDX] > OP TOE [DEL]"
whirling_reverse_whirl,4,whirl,rev_whirl,"FRONT_WHIRL ",clipper,"SET > OP FRONT WHIRL [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL]"
whirling_whirl,4,whirl,whirl,"FRONT_WHIRL ",clipper,"SET > OP FRONT WHIRL [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL]"
fairy_twirl,5,twirl,twirl,"FRONT_SWIRL ",clipper,"TOE > SAME OUT [DEX] > SAME FRONT SWIRL [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]"
fender,5,blender,osis,"FRONT_WHIRL ",clipper,"TOE > SAME OUT [DEX] >> OP FRONT WHIRL [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]"
paradox_symposium_whirling_rake,5,rake,rake,"FRONT_WHIRL ",toe,"SET > OP FRONT WHIRL [DEX] > SAME SYMP [DEX] > SWING [DEX] [PDX] > SAME TOE [DEL]"
reactor,5,whirl,whirl,"FRONT_WHIRL ",clipper,"TOE > OP OUT [DEX] >> OP FRONT WHIRL [DEX] [XDEX] > OP CLIP [XBD] [DEL]"
reverse_whirling_twirl,5,twirl,osis,"BACK_WHIRL FRONT_SWIRL ",clipper,"CLIP >> OP FRONT SWIRL [DEX] > OP BACK WHIRL [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]"
symposium_reverse_whirling_swirl,5,swirl,swirl,"BACK_WHIRL ",clipper,"CLIP > OP BACK WHIRL [DEX] > SAME SYMP [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL]"
symposium_twirl,5,twirl,twirl,"FRONT_SWIRL ",clipper,"CLIP >> (no plant while) SAME FRONT SWIRL [BOD] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]"
tapping_twirl,5,twirl,twirl,"FRONT_SWIRL ",clipper,"TOE > OP OUT [DEX] >> SAME FRONT SWIRL [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]"
tomahawk,5,whirl,whirl,"FRONT_WHIRL ",clipper,"CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL]"
colossus,6,symposium_whirl,whirl,"FRONT_WHIRL ",clipper,"CLIP >> (back) SPIN [BOD] > DIVE [BOD] >> (no plant while) SAME FRONT WHIRL [DEX] [BOD] > OP CLIP [XBD] [DEL]"
ego,6,ducking_whirl,whirl,"FRONT_WHIRL ",clipper,"TOE > OP OUT [DEX] >> DUCK [BOD] >> OP FRONT WHIRL [DEX] [XDEX] > OP CLIP [XBD] [DEL]"
fender_bender,6,blender,osis,"FRONT_WHIRL ",clipper,"TOE > SAME OUT [DEX] >> DUCK [BOD] >> OP FRONT WHIRL [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]"
food_processor,6,blender,blender,"FRONT_WHIRL ",clipper,"CLIP > OP IN [DEX] >> OP FRONT WHIRL [DEX] [PDX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]"
gary_coleman,6,symposium_whirl,whirl,"FRONT_WHIRL ",clipper,"TOE > OP OUT [DEX] >> (no plant while) OP FRONT WHIRL [DEX] [XDEX] [BOD] > OP CLIP [XBD] [DEL]"
juno_reactor,6,reactor,whirl,"FRONT_WHIRL ",clipper,"TOE > SAME IN [DEX] > OP OUT [DEX] >> OP FRONT WHIRL [DEX] [XDEX] > OP CLIP [XBD] [DEL]"
maelstrom,6,paradox_whirl,whirl,"FRONT_WHIRL ",clipper,"CLIP >> (back) SPIN [BOD] > DUCK [BOD] >> OP FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL]"
mind_bender,6,blender,blender,"FRONT_WHIRL ",clipper,"CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]"
moby_dick,6,mobius,torque,"BACK_WHIRL ",clipper,"CLIP >> (back) SPIN [BOD] >> SAME IN [DEX] > OP BACK WHIRL [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]"
mullet,6,whirl,whirl,"FRONT_WHIRL ",clipper,"CLIP >> DUCK [BOD] >> (no plant while) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL]"
slapstick,6,spinning_paradox_whirl,whirl,"FRONT_WHIRL ",clipper,"TOE > SAME IN [DEX] >> (back) SPIN [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL]"
spender,6,blender,blender,"FRONT_WHIRL ",clipper,"CLIP >> (back) SPIN [BOD] >> OP FRONT WHIRL [DEX] [PDX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]"
spinning_tomahawk,6,tomahawk,whirl,"FRONT_WHIRL ",clipper,"CLIP > (back) SPIN [BOD] >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL]"
surgery,6,rev_whirl,rev_whirl,"BACK_WHIRL ",clipper,"CLIP > (back) SPIN [BOD] > SAME IN [DEX] >> (no plant while) OP BACK WHIRL [DEX] [BOD] > OP CLIP [XBD] [DEL]"
surreal,6,whirl,whirl,"FRONT_WHIRL ",clipper,"CLIP > (back) SPIN [BOD] > SAME IN [DEX] >> OP FRONT WHIRL [DEX] [PDX] > OP CLIP [XBD] [DEL]"
symposium_tomahawk,6,tomahawk,whirl,"FRONT_WHIRL ",clipper,"CLIP >> DUCK [BOD] >> (no plant while) SAME FRONT WHIRL [BOD] [DEX] [PDX] > OP CLIP [XBD] [DEL]"
blue_widow,7,paradox_symposium_whirl,whirl,"FRONT_WHIRL ",clipper,"TOE > SAME IN [DEX] >> (back) SPIN [BOD] >> (no plant while) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL]"
gangsta_party,7,paradox_blender,blender,"FRONT_WHIRL ",clipper,"CLIP >> (back) SPIN [BOD] > DUCK [BOD] >> OP FRONT WHIRL [DEX] [PDX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]"
montage,7,whirl,whirl,"FRONT_WHIRL ",clipper,"CLIP >> (back) SPIN [BOD] > DUCK [BOD] >> (no plant while) OP FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL]"
overlord,7,spinning_paradox_blender,blender,"FRONT_WHIRL ",clipper,"TOE > SAME IN [DEX] >> (back) SPIN [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]"
surging_ducking_paradox_symposium_whirling_rake,8,rake,rake,"FRONT_WHIRL ",toe,"CLIP > OP IN [DEX] >> (back) SPIN [BOD] >> DUCK [BOD] >> OP FRONT WHIRL [DEX] > SAME SYMP [DEX] > SWING [DEX] [PDX] > SAME TOE [DEL]"
