t1,t2,t3,occurrences,years,players,add_1,add_2,add_3,current_total_add,raw_total_reported,parity_vector,sequence_parity,link1,link1_note,link2,link2_note,surface_chain
blurry_symposium_whirl,sole_survivor,spender,1,2013,,6,5,6,17,,SPS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
fusion,food_processor,big_apple,1,2009,,5,6,6,17,,PPS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
nemesis,mullet,spinning_blender,1,2007,,6,6,5,17,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
barraging_butterfly,food_processor,mobius,1,2007,Marcin Bujko PL,5,6,5,16,,VPS,UNDETERMINED,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,ANY->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_whirl,sole_survivor,spinning_paradox_blender,1,2005,,5,5,6,16,,SPS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
ducking_paradox_drifter,tomahawk,mullet,1,2006,,5,5,6,16,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
flurricane,paradon_swirl,food_processor,1,2013,,5,5,6,16,,SSP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
food_processor,barraging_butterfly,paradox_torque,1,2019,Arek Stanek,6,5,5,16,,PVP,UNDETERMINED,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->CLIP | ANY->CLIP | ANY->CLIP
fury,reactor,paradox_symposium_torque,1,2008,,5,5,6,16,,SSP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->TOE | TOE->CLIP | CLIP->CLIP
fusion,food_processor,spinning_torque,1,2009,Olaf Piwowar,5,6,5,16,,PPP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,TOE->CLIP | CLIP->CLIP | ANY->CLIP
fusion,symposium_torque,mullet,1,2013,,5,5,6,16,,PPS,OPPOSITE_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | ANY->CLIP | CLIP->CLIP
matador,blurry_whirl,mullet,1,2009,Alexander Trenner,5,5,6,16,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
nemesis,stepping_symposium_whirl,sole_survivor,2,2006,David Clavens,6,5,5,16,,SSP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
phoenix,blurry_whirl,mullet,1,2005,,5,5,6,16,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
surging_whirl,food_processor,spinning_blender,1,2005,Felix Zenger,5,6,5,16,,PPS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
bedwetter,plasma,paradox_symposium_torque,1,2009,,4,5,6,15,,SSP,SAME_FOOT,COMPATIBLE,A ends TOE; B enters TOE,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->TOE | TOE->CLIP | CLIP->CLIP
blurrier,scorpions_tail,barraging_osis,2,2005,Vasek Klouda,5,5,5,15,,PSP,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_drifter,spinning_swirl,food_processor,1,2006,Damian Gielnicki,5,4,6,15,,PPP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_drifter,blurry_whirl,paradox_whirling_swirl,1,2007,,5,5,5,15,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_drifter,blurriest,paradox_symposium_eggbeater,1,2007,,5,5,5,15,,PSS,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->TOE
blurry_drifter,matador,paradox_torque,1,2009,,5,5,5,15,,PPP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->CLIP | CLIP->CLIP | ANY->CLIP
blurry_whirl,paradox_symposium_whirl,sole_survivor,2,2002|2003,Ryan Mulroney,5,5,5,15,,SSP,SAME_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_whirl,paradox_torque,paradox_blender,2,2002,Brad Nelson,5,5,5,15,,SPP,OPPOSITE_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,CLIP->CLIP | ANY->CLIP | ANY->CLIP
blurry_whirl,paradox_symposium_whirl,spinning_blender,1,2004,,5,5,5,15,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_whirl,paradox_torque,paradox_symposium_whirl,1,2004,,5,5,5,15,,SPS,SAME_FOOT,COMPATIBLE_VIA_FLEXIBLE_SET,A ends CLIP; B entry is a generic set,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | ANY->CLIP | CLIP->CLIP
blurry_whirl,blurriest,paradox_symposium_whirl,1,2005,Adam Cieszkiel,5,5,5,15,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
blurry_whirl,blurry_whirl,paradox_symposium_whirl,2,2008|2009,,5,5,5,15,,SSS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,CLIP->CLIP | CLIP->CLIP | CLIP->CLIP
dimwalk,food_processor,paradox_symposium_whirl,2,2005,,4,6,5,15,,PPS,OPPOSITE_FOOT,COMPATIBLE,A ends CLIP; B enters CLIP,COMPATIBLE,A ends CLIP; B enters CLIP,TOE->CLIP | CLIP->CLIP | CLIP->CLIP
