resolved,t1,t2,t3,occurrences,players,events,current_total_add,raw_examples
yes,fury,fusion,paradox_symposium_eggbeater,3,Christopher Schillem|Milan Benda,2008_czech|2008_zocha|2012_footbagjam_dresden,15,Fury>Fusion>PS Eggbeater
yes,matador,blurry_whirl,superfly,3,Alexander Trenner,2013_todexon_14|2016_eurochamp_frankfurt,15,Matador>Blurry Whirl>Superfly
yes,blurry_whirl,paradox_symposium_whirl,sole_survivor,2,Ryan Mulroney,2002_westregion|2003_seapa_nz,15,Blurry Whirl>PS Whirl>Whirlwind // Blurry Whirl>Paradox Symposium Whirl>Whirlwind
yes,blurry_whirl,paradox_torque,paradox_blender,2,Brad Nelson,2002_footbagjam_portersville|mirror:events/show/1043430155,15,Blurry Whirl>Paradox Torque>Paradox Blender
yes,paradox_drifter,paradox_whirl,paradox_torque,2,Greg Nelson,2002_footbagjam_portersville|mirror:events/show/1043430155,13,Paradox Drifter>Paradox Whirl>Paradox Torque
yes,ripwalk,ducking_butterfly,paradox_symposium_whirl,2,Jake Milofsky,2002_footbagjam_portersville|mirror:events/show/1043430155,13,Ripwalk>Ducking Butterfly>PS Whirl
no,kyle zender,chris holden,rob fuller,2,,2004_colorado_shred_symposium,,Kyle Zender>Chris Holden>Rob Fuller
yes,phoenix,blurry_whirl,paradox_symposium_whirl,2,Taishi Ishida,2005_fiesta|2019_worlds_warsaw,15,Phoenix>Blurry Whirl>PS Whirl
yes,blurrier,scorpions_tail,barraging_osis,2,Vasek Klouda,2005_footbagjam_gyor,15,Blurrier>Scorpions' Tail>Baroque
yes,mobius,mobius,superfly,2,,2005_footbagjam_gyor,15,Mobius>Mobius>Superfly
no,blurry whirl,paradox drifter,inspinning dragon,2,,2005_footbagjam_gyor,,Blurry Whirl>Paradox Drifter>Inspinning Dragon
yes,dimwalk,food_processor,paradox_symposium_whirl,2,,2005_footbagjam_gyor,15,Dimwalk>Foodprocessor>PS Whirl
yes,nemesis,stepping_symposium_whirl,sole_survivor,2,David Clavens,2006_new_years,16,Nemesis>Whirlygig>Whirlwind
yes,ripped_warrior,tomahawk,paradox_symposium_whirl,2,Eric Siegel,2006_new_years,15,Ripped Warrior>Tomahawk>PS Whirl
yes,ripped_warrior,blurry_whirl,paradox_symposium_whirl,2,Justin Dale,2006_new_years,15,Ripped Warrior>Blurry Whirl>PS Whirl
yes,sumo,atomic_drifter,bedwetter,2,Damian Gielnicki,2008_zocha|2009_zocha,13,Sumo>Atomic Drifter>Bedwetter
yes,blurry_whirl,blurry_whirl,paradox_symposium_whirl,2,,2008_czech|2009_australian_national,15,Blurry Whirl>Blurry Whirl>PS Whirl
no,nelson,jake milofsky,caleb abraham,1,,2002_pennstatetrios_o_f,,Nelson>Jake Milofsky>Caleb Abraham
no,jeremy shinoda,rob riefer,megan riefer,1,,2002_pennstatetrios_o_f,,Jeremy Shinoda>Rob Riefer>Megan Riefer
no,duchene,jake milofsky,peter harris,1,,2002_pennstatetrios_o_f,,Duchene>Jake Milofsky>Peter Harris
yes,jani_walker,blurriest,flurry,1,Sunil Jani,2002_westregion,14,Jani-Walker>Blurriest>Flurry
yes,blurry_whirl,osis,paradox_torque,1,Jeremy Benton,2002_westregion,13,Blurry Whirl>Osis>Paradox Torque
no,allan haggett,jeremy kumbruch,jubal hume,1,,mirror:events/show/1021267082,,Allan Haggett>Jeremy Kumbruch>Jubal Hume
no,skateshow,capoeirashow,mosaik,1,,mirror:events/show/1028893890,,Skateshow>Capoeirashow>Mosaik
no,live performance,workshops,drumming maniacs,1,,mirror:events/show/1028893890,,Live Performance>Workshops>Drumming Maniacs
