source_id,event_key,event_year,event_title,page_line,separator,player,placement,raw_trick_1,raw_trick_2,raw_trick_3,raw_total,source_line,canon_1,canon_1_add,conf_1,canon_2,canon_2_add,conf_2,canon_3,canon_3_add,conf_3,current_total_add,resolution
mirror:events/show/1011324897,2002_pennstatetrios_o_f,2002,PennStateTrio's O.F.F. 2,216,",",,,Nelson,Jake Milofsky,Caleb Abraham,,"Nelson, Jake Milofsky, and Caleb Abraham will be integral to the East Coast",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1011324897,2002_pennstatetrios_o_f,2002,PennStateTrio's O.F.F. 2,227,",",,,Jeremy Shinoda,Rob Riefer,Megan Riefer,,"Special thanks goes out to Jeremy Shinoda, Rob Riefer, Megan Riefer, Bob Green,",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1011324897,2002_pennstatetrios_o_f,2002,PennStateTrio's O.F.F. 2,228,",",,,Duchene,Jake Milofsky,Peter Harris,,"Sebastian ""The Hurricane"" Duchene, Jake Milofsky, Peter Harris, and Bruce Dole",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1012638214,2002_westregion,2002,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,286,>,Sunil Jani,,Jani-Walker,Blurriest,Flurry,,1. Sunil Jani (Jani-Walker > Blurriest > Flurry),jani_walker,5,canonical,blurriest,5,canonical,flurry,4,canonical,14,full
mirror:events/show/1012638214,2002_westregion,2002,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,287,>,Ryan Mulroney,,Blurry Whirl,Paradox Symposium Whirl,Whirlwind,,2. Ryan Mulroney (Blurry Whirl > Paradox Symposium Whirl > Whirlwind),blurry_whirl,5,canonical,paradox_symposium_whirl,5,canonical,sole_survivor,5,alias,15,full
mirror:events/show/1012638214,2002_westregion,2002,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,288,>,Jeremy Benton,,Blurry Whirl,Osis,Paradox Torque,,3. Jeremy Benton (Blurry Whirl > Osis > Paradox Torque),blurry_whirl,5,canonical,osis,3,canonical,paradox_torque,5,canonical,13,full
mirror:events/show/1018925821,2002_footbagjam_portersville,2002,Tri-State Area Footbag Jam,198,>,Brad Nelson,1st,Blurry Whirl,Paradox Torque,Paradox Blender,,1st: Brad Nelson (Blurry Whirl>Paradox Torque>Paradox Blender),blurry_whirl,5,canonical,paradox_torque,5,canonical,paradox_blender,5,canonical,15,full
mirror:events/show/1018925821,2002_footbagjam_portersville,2002,Tri-State Area Footbag Jam,199,>,Greg Nelson,2nd,Paradox Drifter,Paradox Whirl,Paradox Torque,,2nd: Greg Nelson (Paradox Drifter>Paradox Whirl>Paradox Torque),paradox_drifter,4,canonical,paradox_whirl,4,canonical,paradox_torque,5,canonical,13,full
mirror:events/show/1018925821,2002_footbagjam_portersville,2002,Tri-State Area Footbag Jam,200,>,Jake Milofsky,3rd,Ripwalk,Ducking Butterfly,PS Whirl,,3rd: Jake Milofsky (Ripwalk>Ducking Butterfly>PS Whirl),ripwalk,4,canonical,ducking_butterfly,4,canonical,paradox_symposium_whirl,5,alias,13,full
mirror:events/show/1021267082,,,,257,",",,,Allan Haggett,Jeremy Kumbruch,Jubal Hume,,"most of the Victoria crew (Allan Haggett, Jeremy Kumbruch, Jubal Hume,",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1028893890,,,,176,",",,,Skateshow,Capoeirashow,Mosaik,,"other: Skateshow,Capoeirashow, Mosaik(Hip-Hop)",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1028893890,,,,177,",",,,Live Performance,Workshops,Drumming Maniacs,,"Live Performance, Workshops, Drumming Maniacs.",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1038496738,,,,212,",",,,Peter Irish,Breakdance,Playstation,,"Support: Dj?s, live hip-hop, Peter Irish, Breakdance, Playstation, Chillout",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1038895913,2003_seapa_nz,2003,Seapa NZ Freestyle Footbag Championships,204,",",,,Ripwalk,Blur,Symposium Mirage,,"Ripwalk, Blur, Symposium Mirage",ripwalk,4,canonical,blur,4,canonical,symposium_mirage,3,canonical,11,full
mirror:events/show/1038895913,2003_seapa_nz,2003,Seapa NZ Freestyle Footbag Championships,208,",",,,ATW,Mirage,Toe,,"ATW, Mirage, Toe set Torque",around_the_world,2,alias,mirage,2,canonical,toe_stall,1,alias,5,full
mirror:events/show/1038895913,2003_seapa_nz,2003,Seapa NZ Freestyle Footbag Championships,212,",",,,Blurry Whirl,PS Whirl,Whirlwind,,"Blurry Whirl, PS Whirl, Whirlwind",blurry_whirl,5,canonical,paradox_symposium_whirl,5,alias,sole_survivor,5,alias,15,full
mirror:events/show/1038895913,2003_seapa_nz,2003,Seapa NZ Freestyle Footbag Championships,214,",",,,Witchdoctor,Pixie Ducking Mirage,Pixie Double Legover,,"Witchdoctor, Pixie Ducking Mirage, Pixie Double Legover",witchdoctor,5,canonical,assassin,4,alias,smog,4,alias,13,full
mirror:events/show/1038895913,2003_seapa_nz,2003,Seapa NZ Freestyle Footbag Championships,216,",",,,Pixie Paradon,Ripwalk,PS Whirl,,"Pixie Paradon, Ripwalk, PS Whirl",pixie_paradon,5,canonical,ripwalk,4,canonical,paradox_symposium_whirl,5,alias,14,full
mirror:events/show/1038895913,2003_seapa_nz,2003,Seapa NZ Freestyle Footbag Championships,218,",",,,Blurry Whirl,Dyno,PS Whirl,,"Blurry Whirl, Dyno, PS Whirl",blurry_whirl,5,canonical,dyno,4,canonical,paradox_symposium_whirl,5,alias,14,full
mirror:events/show/1038895913,2003_seapa_nz,2003,Seapa NZ Freestyle Footbag Championships,220,",",,,Ripwalk,Blur,Legbeater,,"Ripwalk, Blur, Legbeater",ripwalk,4,canonical,blur,4,canonical,atomic_butterfly,4,alias,12,full
mirror:events/show/1043430155,,,,181,>,Brad Nelson,1st,Blurry Whirl,Paradox Torque,Paradox Blender,,1st: Brad Nelson (Blurry Whirl>Paradox Torque>Paradox Blender),blurry_whirl,5,canonical,paradox_torque,5,canonical,paradox_blender,5,canonical,15,full
mirror:events/show/1043430155,,,,182,>,Greg Nelson,2nd,Paradox Drifter,Paradox Whirl,Paradox Torque,,2nd: Greg Nelson (Paradox Drifter>Paradox Whirl>Paradox Torque),paradox_drifter,4,canonical,paradox_whirl,4,canonical,paradox_torque,5,canonical,13,full
mirror:events/show/1043430155,,,,183,>,Jake Milofsky,3rd,Ripwalk,Ducking Butterfly,PS Whirl,,3rd: Jake Milofsky (Ripwalk>Ducking Butterfly>PS Whirl),ripwalk,4,canonical,ducking_butterfly,4,canonical,paradox_symposium_whirl,5,alias,13,full
mirror:events/show/1050745947,2003_rnh_contest,2003,RNH Contest 2003,236,>,,,Stepping Eclipse,Osis,Barfly,,2. Franck Rémy (75 ADDS) : Stepping Eclipse > Osis > Barfly,,,unresolved,osis,3,canonical,barfly,4,canonical,,partial
mirror:events/show/1059303183,,,,176,",",,,Capoeira,Frissbee,Beachvolleyball,,"Capoeira, Frissbee, Beachvolleyball, Juggling,",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1068164332,,,,181,",",,,Paul Vorvick,Tricia George,Andrew,,"Confirmed attendees include NW shredders Paul Vorvick, Tricia George, Andrew",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1068164332,,,,182,",",,,McCarger,Donnie Richardson,Chris Shears,,"McCarger, Donnie Richardson, Chris Shears, plus many more!",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1070734498,2004_todexon_5,2004,TODEXON 5,224,>,,,Ducking Whirlwind,Whirlwind,Spin Pdx Blender,,- Ducking Whirlwind > Whirlwind > Spin Pdx Blender,,,unresolved,sole_survivor,5,alias,,,unresolved,,partial
mirror:events/show/1070734498,2004_todexon_5,2004,TODEXON 5,225,>,,,Ripstein,Spin Pdx Whirl,Double Blender,,- Ripstein > Spin Pdx Whirl > Double Blender,ripstein,4,canonical,,,unresolved,double_blender,5,canonical,,partial
mirror:events/show/1070734498,2004_todexon_5,2004,TODEXON 5,226,>,,,Montage,Whirlwind,Whirlwind Rake,,- Montage > Whirlwind > Whirlwind Rake,montage,7,canonical,sole_survivor,5,alias,,,unresolved,,partial
mirror:events/show/1070734498,2004_todexon_5,2004,TODEXON 5,228,>,,,Blurry Whirl,Blurriest,Bedwetter,,- Blurry Whirl > Blurriest > Bedwetter,blurry_whirl,5,canonical,blurriest,5,canonical,bedwetter,4,canonical,14,full
mirror:events/show/1070734498,2004_todexon_5,2004,TODEXON 5,229,>,,,PS Whirl,Superfly,Whirwind,,- PS Whirl > Superfly > Whirwind,paradox_symposium_whirl,5,alias,superfly,5,canonical,,,unresolved,,partial
mirror:events/show/1070734498,2004_todexon_5,2004,TODEXON 5,231,>,,,Ducking Dimwalk,Food Processor,PS Whirl,,- Ducking Dimwalk > Food Processor > PS Whirl,,,unresolved,food_processor,6,canonical,paradox_symposium_whirl,5,alias,,partial
mirror:events/show/1070954568,2004_colorado_shred_symposium,2004,5th Annual Colorado Shred Symposium,207,",",,,Kyle Zender,Chris Holden,Rob Fuller,,"Kyle Zender, Chris Holden, Rob Fuller and Red Husted for the Sick Trick and",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1070954568,2004_colorado_shred_symposium,2004,5th Annual Colorado Shred Symposium,337,",",,,Kyle Zender,Chris Holden,Rob Fuller,,"Kyle Zender, Chris Holden, Rob Fuller and Red Husted for the Sick Trick and",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1079024287,2004_shercle_session_1,2004,Shercle Session #1,217,>,,,Blurry Whirl,PS Whirl,Spinning Blender,,Blurry Whirl > PS Whirl > Spinning Blender,blurry_whirl,5,canonical,paradox_symposium_whirl,5,alias,spinning_blender,5,canonical,15,full
mirror:events/show/1079024287,2004_shercle_session_1,2004,Shercle Session #1,218,>,,,Janiwalk,PS Whirl,Spinning Blender,,Janiwalk > PS Whirl > Spinning Blender,,,unresolved,paradox_symposium_whirl,5,alias,spinning_blender,5,canonical,,partial
mirror:events/show/1079024287,2004_shercle_session_1,2004,Shercle Session #1,220,>,,,Blurry Whirl,PS Whirl,Spinning Whirl,,Blurry Whirl > PS Whirl > Spinning Whirl,blurry_whirl,5,canonical,paradox_symposium_whirl,5,alias,spinning_whirl,4,canonical,14,full
mirror:events/show/1079024287,2004_shercle_session_1,2004,Shercle Session #1,221,>,,,Alpine Blurry Whirl,PS Whirl,Spinning Whirl,,Alpine Blurry Whirl > PS Whirl > Spinning Whirl,,,unresolved,paradox_symposium_whirl,5,alias,spinning_whirl,4,canonical,,partial
mirror:events/show/1079024287,2004_shercle_session_1,2004,Shercle Session #1,224,>,,,Pixie Ducking Double Leg Over,Phoenix,Motion,,1. Pixie Ducking Double Leg Over > Phoenix > Motion,goliath,5,alias,phoenix,5,canonical,motion,5,canonical,15,full
mirror:events/show/1079024287,2004_shercle_session_1,2004,Shercle Session #1,226,>,,,Blurry Whirl,Paradox Torque,PS Whirl,,1. Blurry Whirl > Paradox Torque > PS Whirl,blurry_whirl,5,canonical,paradox_torque,5,canonical,paradox_symposium_whirl,5,alias,15,full
mirror:events/show/1079024287,2004_shercle_session_1,2004,Shercle Session #1,228,>,,,Blurry DLO,Pixie Drifter,Scorpion's Tail,,Blurry DLO > Pixie Drifter > Scorpion's Tail,fog,5,alias,smoke,4,alias,scorpions_tail,5,alias,14,full
mirror:events/show/1080247856,,,,198,",",,,Mtn Biking,Skateboarding,Footbag,,"A gathering of all types of freestyle: Mtn Biking, Skateboarding, Footbag, Fire Poi (Swinging), Break",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1086541180,,,,194,",",,,Bob Riefer,Josh Benham,Nick Miller,,"our favorite advanced players including Bob Riefer, Josh Benham, Nick Miller,",,,unresolved,,,unresolved,,,unresolved,,none
mirror:events/show/1090437706,2004_zocha,2004,Zocha Jam 2004,290,>,,,Vasek Klouda Ripstein,Symposium Whirling Swirl,Frontside Flurry,,1.Vasek Klouda Ripstein>Symposium Whirling Swirl> Frontside Flurry,,,unresolved,symposium_whirling_swirl,5,canonical,,,unresolved,,partial
