slug,canonical_name,official_add,operational_notation,derived_add,derived_breakdown,status,unsupported_tokens,doctrine_note,promotion_candidate,notes
around-the-world,around the world,2,,2,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=2,exact,,,0,already_first_class
assassin,assassin,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
atom-smasher,atom smasher,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
atomic-butterfly,atomic butterfly,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
atomic-torque,atomic torque,6,,6,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=6,exact,,,0,already_first_class
barfly,barfly,4,CLIP >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],4,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=4,exact,,,0,already_first_class
barrage,barrage,3,CLIP > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],3,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=3,exact,,,0,already_first_class
barraging-osis,barraging osis,5,CLIP > OP IN [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],5,[ATOMIC_FLAG_DECOMPOSITIONS] totalAdd=5,exact,,,0,already_first_class
bedwetter,bedwetter,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
big-apple,big apple,6,,6,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=6,exact,,,0,already_first_class
bigwalk,bigwalk,5,,,,missing-notation,,,0,
blaze,blaze,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
blender,blender,4,,,self-token: BLENDER,self-token,,,0,
blizzard,blizzard,3,,3,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=3,exact,,,0,already_first_class
blur,blur,4,CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,,0,already_first_class
blurrage,blurrage,4,,4,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=4,exact,,in DOCTRINE_DIVERGENCE_REGISTRY (historical-divergence),0,already_first_class;doctrine_divergence_registered
blurriest,blurriest,5,,5,[RESOLVED_FORMULAS_SPRINT_1] totalAdd=5,exact,,,0,already_first_class
blurry-torque,blurry torque,6,,,,missing-notation,,,0,
blurry-whirl,blurry whirl,5,,,,missing-notation,,,0,
bullwhip,bullwhip,5,,,,missing-notation,,in DOCTRINE_BLOCKED_SLUGS,0,
