"canonical_slug","display_name","source","source_file","source_adds","derived_adds","add_formula","symbolic_notation_raw","parsed_symbol_sequence","derived_symbolic_family","derived_topology_family","doctrine_status","first_class","curator_review_needed","publication_status","unresolved_questions","provenance_notes","parser_notes","review_status"
"","","footbagmoves","footbagmoves-3-4adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","3","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","3","4","","Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Toe (DEL)","toe › op out(DEX) ⟫ op in(DEX,XDEX) › op toe(DEL)","toe-xdex-toe","xdex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","3","3","","Clip >> Op In (DEX) > Same In (DEX) >> Op Toe (DEL)","clip ⟫ op in(DEX) › same in(DEX) ⟫ op toe(DEL)","clip-double-dex-toe","double-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","3","3","","Clip >> Op Out (DEX) >> Op Out (DEX) > Same Toe (DEL)","clip ⟫ op out(DEX) ⟫ op out(DEX) › same toe(DEL)","clip-double-dex-toe","double-dex-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","3","3","","SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL]","set › op out(DEX) › op clip(XBD,DEL)","set-single-dex-clip","single-dex-family","","","","","","","","needs_review"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip >> (back) Spin (BOD) >> (no plant while) Same In (DEX) > Same Clip (XBD)(DEL)","clip ⟫ [back] spin(BOD) ⟫ [no plant while] same in(DEX) › same clip(XBD,DEL)","clip-spin-clip","spin-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Frigidosis > Same In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL)","Frigidosis › same in(DEX) ⟫ op out(DEX) › op clip(XBD,DEL)","?-walk-clip","butterfly-walk-family","","","","","","","","needs_review"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Toe > Same In (DEX) >> Duck (BOD) >> Op In (DEX) > Op Toe (DEL)","toe › same in(DEX) ⟫ duck(BOD) ⟫ op in(DEX) › op toe(DEL)","toe-duck-toe","duck-family","","","","","","","","ok"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","","","","","no-notation","no-notation","","","","","","","","source_has_no_notation"
"","","footbagmoves","footbagmoves-3-4adds.txt","4","4","","Clip > Same Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL)","clip › same out(DEX) ⟫ same out(DEX) › op clip(XBD,DEL)","clip-double-dex-clip","double-dex-family","","","","","","","","ok"
