"action","match_method","canonical_slug","display_name","db_match_slug","db_match_adds","source","source_adds","add_formula","symbolic_notation_raw","doctrine_status","equivalent_to","provenance_notes"
"INSERT","","around-the-world-kick","Around the World Kick","","","fborg","1","dex(1) --> 1 ADD","","settled","",""
"INSERT","","clipper-kick","Clipper Kick","","","fborg","1","cross-body(1) --> 1 ADD","CLIP [XBD]","settled","clipper-stall (live DB; with stall finish at 2 ADD)",""
"INSERT","","double-knee","Double Knee","","","curator","1","flying(1) --> 1 ADD","double knee","settled","","manual curator addition 2026-05-21 (not in fborg-1add.txt)"
"INSERT","","peak-delay","Peak Delay","","","fborg","1","unusual surface(1) --> 1 ADD","PEAK [UNS] [DEL]","settled","",""
"INSERT","","bubba","Bubba","","","fborg","2","dex(1) + stall(1) --> 2 ADDs","CLIP > OP OUT [DEX] > OP TOE [DEL]","settled","","source explicitly notes parenthetical alt-name: ""Clipper set Illusion"""
"INSERT","","ducking-mirage","Ducking Mirage","","","footbagmoves","3","ducking(+1) + mirage(2) --> 3 ADDs","","settled","ducking-mirage (live DB)","FB.org 3-ADD confirms 'Ducking Mirage' (source_adds=3; jobs_notation_raw='SET > DUCK [BOD] > SAME or OP IN [DEX] > OP TO"
"INSERT","","inspinning-same-side-illusion","Inspinning Same Side Illusion","","","fborg","3","inspinning(+1) + ss-illusion(2) --> 3 ADDs","CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","inspinning-same-side-mirage","Inspinning Same Side Mirage","","","fborg","3","inspinning(+1) + ss-mirage(2) --> 3 ADDs","CLIP > (front) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","paradox-illusion","Paradox Illusion","","","fborg","3","paradox(+1) + dex(1) + stall(1) --> 3 ADDs","CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL]","settled","",""
"INSERT","","pixie-leg-over","Pixie Leg Over","","","fborg","3","pixie(+1) + legover(2) --> 3 ADDs","TOE > SAME IN [DEX] > OP IN/OUT [DEX] > SAME TOE [DEL]","settled","",""
"INSERT","","spinning-pickup","Spinning Pickup","","","footbagmoves","3","spinning(+1) + pickup(2) --> 3 ADDs","","settled","spinning-pickup (live DB)","FB.org 3-ADD confirms 'Spinning Pickup' (source_adds=3; jobs_notation_raw='CLIP > (back) SPIN [BOD] > OP IN [DEX] > SAME"
"INSERT","","symposium-pixie","Symposium Pixie","","","fborg","3","symposium(+1) + pixie(2) --> 3 ADDs","TOE (plant) > (no plant while) SAME IN [BOD] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","tapping-illusion","Tapping Illusion","","","fborg","3","tapping(+1) + illusion(2) --> 3 ADDs","TOE > OP OUT [DEX] (plant) > SAME OUT [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","tapping-legover","Tapping Legover","","","passback","3","tapping(+1) + legover(2) --> 3 ADDs","","settled","","FB.org 3-ADD confirms 'Tapping Legover' (source_adds=3; jobs_notation_raw='TOE > OP OUT [DEX] (plant) > SAME OUT [DEX] >"
"INSERT","","toe-blizzard","Toe Blizzard","","","fborg","3","quantum(+1) + illusion(2) --> 3 ADDs","TOE > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL]","settled","","FB.org source parenthetical ""(Quantum Illusion)"" preserved as alternate name."
"INSERT","","atomic-eclipse","Atomic Eclipse","","","fborg","4","atomic(+1) + eclipse(3) --> 4 ADDs","TOE > OP OUT [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP OUT [DEX] > (LAND)","settled","",""
"INSERT","","backside-symposium-smear","Backside Symposium Smear","","","fborg","4","pixie(+1) + symposium-mirage(3) --> 4 ADDs","TOE > SAME IN [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","backside-symposium-toe-blizzard","Backside Symposium Toe Blizzard","","","fborg","4","quantum(+1) + symposium-illusion(3) --> 4 ADDs","TOE > OP IN [DEX] > (no plant while) OP OUT [BOD] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","backside-symposium-toe-blur","Backside Symposium Toe Blur","","","fborg","4","quantum(+1) + symposium-mirage(3) --> 4 ADDs","TOE > OP IN [DEX] > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","blizzard","Blizzard","","","footbagmoves","4","stepping(+1) + paradox(+1) + illusion(2) --> 4 ADDs","Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Toe (DEL)","settled","blizzard (live DB; pt10 = Quantum Illusion via toe-blizzard convergence)","FB.org 4-ADD confirms 'Blizzard' (source_adds=4; jobs='CLIP > OP IN [DEX] > OP OUT [PDX] [DEX] > OP TOE [DEL]'; componen"
"INSERT","","butterfly-swirl","Butterfly Swirl","","","footbagmoves","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","","settled","","FB.org 4-ADD confirms 'Butterfly Swirl' (source_adds=4; jobs='SET > SAME/OP OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP "
"INSERT","","da-da-curve","Da Da Curve","","","fborg","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","CLIP > OP IN [DEX] > (NO PLANT WHILE) OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","dada-curve (live DB; SCALE-10 pilot)",""
"INSERT","","double-over-down","Double-Over Down","","","fborg","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","down-double-down","Down Double-Down","","","fborg","4","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","CLIP > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","flux","Flux","","","footbagmoves","4","atomic(+1) + osis(3) --> 4 ADDs","Set >> Op Out (DEX) > (front) Spin (BOD) > Op Clip (XBD)(DEL)","settled","","FB.org 4-ADD confirms 'Flux' (source_adds=4; jobs='TOE > OP OUT [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL]'; compo"
"INSERT","","gyro-butterfly","Gyro Butterfly","","","footbagmoves","4","gyro(+1) + butterfly(3) --> 4 ADDs","","settled","gyro-butterfly (live DB)","FB.org 4-ADD confirms 'Gyro Butterfly' (source_adds=4; jobs='CLIP > (back) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] ["
"INSERT","","inspinning-butterfly","Inspinning Butterfly","","","footbagmoves","4","inspinning(+1) + butterfly(3) --> 4 ADDs","","settled","","FB.org 4-ADD confirms 'Inspinning Butterfly' (source_adds=4; jobs='CLIP > (front) SPIN [BOD] > SAME OUT [DEX] > OP CLIP "
"INSERT","","inspinning-paradox-illusion","Inspinning Paradox Illusion","","","fborg","4","inspinning(+1) + paradox-illusion(3) --> 4 ADDs","CLIP > (front) SPIN [BOD] > SAME OUT [PDX] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","inspinning-paradox-mirage","Inspinning Paradox Mirage","","","fborg","4","inspinning(+1) + paradox-mirage(3) --> 4 ADDs","CLIP > (front) SPIN [BOD] > SAME IN [PDX] [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","inspinning-same-side-butterfly","Inspinning Same Side Butterfly","","","fborg","4","inspinning(+1) + ss-butterfly(3?) --> 4 ADDs","CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL]","settled","",""
"INSERT","","miraging-eclipse","Miraging Eclipse","","","fborg","4","miraging(+1) + eclipse(3) --> 4 ADDs","SET > OP IN [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP OUT [DEX] > (LAND)","settled","",""
"INSERT","","paradox-barrage","Paradox Barrage","","","fborg","4","paradox(+1) + barrage(3) --> 4 ADDs","CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL]","settled","",""
"INSERT","","paradox-blizzard","Paradox Blizzard","","","fborg","4","paradox(+1) + blizzard(3) --> 4 ADDs","CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].","settled","",""
