fm_name,fm_equals_structure,target_slug,target_canonical_name,confidence,reason,recommended_action
Stepping Paradox Symposium Whirl,,blurry_symposium_whirl,Blurry Symposium Whirl,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Pogo Op Blender,,pogo_paradox_blender,Pogo Paradox Blender,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Pogo Op Da Da Curve,,pogo_paradox_da_da_curve,Pogo Paradox Da Da Curve,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Pogo Op Torque,,pogo_paradox_torque,Pogo Paradox Torque,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Pogo Op Whirling Swirl,,pogo_paradox_whirling_swirl,Pogo Paradox Whirling Swirl,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Nucleosis,Nuclear Osis,aeon_flux,aeon-flux,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
S&M Smasher,Atomic Barrage,atomic_barrage,atomic-barrage,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Super Ego,Atomic Ducking Blender,atomic_ducking_blender,atomic-ducking-blender,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Trochus,Atomic Flail,atomic_flail,atomic-flail,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Barrage (toe set),Clipper set Double Mirage,barrage,barrage,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Clipper set Illusion,,bubba,bubba,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Dellusion,Double Illusion,double_illusion,double-illusion,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Spanish Fly,Ducking Barfly,ducking_barfly,ducking-barfly,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Vertigo,Ducking Paradox Drifter,ducking_paradox_drifter,ducking-paradox-drifter,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
Eggplant,Atomic Legover,eggbeater,eggbeater,high,distinct FM folk/structural name; maps to an active trick; not yet an alias,add SAFE_ALIAS
