fm_name,target_slug,target_canonical,divergence_type,fm_technical_name,flag
Atomic Illusion (same side),atomic_illusion,atomic-illusion,positional/directional,,clean
Atomic Legover (same side),eggbeater,eggbeater,positional/directional,,clean
Atomic Pickup (same side),atomic_pickup,atomic-pickup,positional/directional,,clean
Atomsmasher,atom_smasher,atom smasher,already-an-alias,Atomic Mirage,covered
Barrage (toe set),barrage,barrage,folk-name,Clipper set Double Mirage,clean
Atomic Butterfly (same side),atomic_butterfly,atomic butterfly,positional/directional,,clean
Atomic ss Osis,tapping_osis,tapping-osis,positional/directional,Tapping Osis,ADD-untrusted
Butterfly Swirl (same side),butterfly_swirl,butterfly-swirl,positional/directional,,clean
Dellusion,double_illusion,double-illusion,folk-name,Double Illusion,clean
Dyno (far),reverse_blender,reverse blender,positional/directional,Reverse Blender,clean
Dyno (same side),reverse_blender,reverse blender,positional/directional,Reverse Blender,clean
Enterrage,terraging_legover,terraging-legover,folk-name,Terraging Legover,ADD-untrusted
Fairy Beater,fairy_butterfly,fairy-butterfly,already-an-alias,Fairy Butterfly,covered
Fairy ss Osis,fairy_osis,fairy-osis,positional/directional,,ADD-untrusted
Fairy Symposium Mirage (same side),fairy_symposium_mirage,fairy-symposium-mirage,positional/directional,,clean
Fairy Symposium Mirage (same side),fairy_symposium_mirage,fairy-symposium-mirage,positional/directional,,clean
Fairy Whirl (same side),fairy_whirl,fairy-whirl,positional/directional,,clean
Far Dyno,dyno,dyno,positional/directional,,clean
Ferocious,fairy_osis,fairy-osis,folk-name,Fairy Osis,clean
Flaming Tard,stepping_eggbeater,stepping-eggbeater,folk-name,Stepping Eggbeater,clean
Flurry (toe set),barraging_legover,barraging-legover,folk-name,Barraging Legover,evidence-only (doctrine operator)
Gyro DLO,gyro_double_leg_over,gyro-double-leg-over,already-an-alias,,covered
Legbeater,atomic_butterfly,atomic butterfly,already-an-alias,Atomic Butterfly,covered
Little Apple,gyro_symposium_mirage,gyro-symposium-mirage,already-an-alias,Spyro Symposium Mirage,covered
Nuclear Illusion (same side),nuclear_illusion,nuclear-illusion,positional/directional,,clean
Nuclear Legover (same side),nuclear_legover,nuclear-legover,positional/directional,,clean
Nuclear Mirage,sumo,sumo,already-an-alias,,covered
Nuclear Mirage (same side),sumo,sumo,positional/directional,,clean
Nuclear Pickup (same side),nuclear_pickup,nuclear-pickup,positional/directional,,clean
Pdx Drifter,paradox_drifter,paradox drifter,already-an-alias,,covered
Pdx Whirl,paradox_whirl,paradox whirl,already-an-alias,,covered
Pixie Drifter (same side),smoke,smoke,positional/directional,,clean
Pixie Symposium Illusion (same side),pixie_symposium_illusion,pixie-symposium-illusion,positional/directional,,clean
Pixie Symposium Mirage (same side),pixie_symposium_mirage,pixie-symposium-mirage,positional/directional,,clean
Double Switchover (far),double_switch_over,double switch-over,positional/directional,,clean
Drifter (same-side),miraging_clipper,miraging-clipper,folk-name,Miraging Clipper,evidence-only (doctrine operator)
Eggplant,eggbeater,eggbeater,folk-name,Atomic Legover,clean
Fairy Illusion (same side),fairy_illusion,fairy-illusion,positional/directional,,clean
Fairy Legover (same side),fairy_legover,fairy-legover,positional/directional,,clean
Fairy Mirage (same side),fairy_mirage,fairy-mirage,positional/directional,,clean
