fm_name,fm_technical_name,fm_add,target_base_slug,variant_type,current_representation,recommended_action
Atomic Illusion (same side),,3,atomic_illusion,same-side,intentionally collapsed,preserve as observational
Atomic Legover (same side),,3,(unresolved),same-side,unresolved,preserve as observational
Atomic Pickup (same side),,3,atomic_pickup,same-side,unresolved,preserve as observational
Butterfly (same side),,3,butterfly,same-side,intentionally collapsed,preserve as observational
Atomic Butterfly (same side),,4,atomic_butterfly,same-side,intentionally collapsed,preserve as observational
Atomic ss Osis,Tapping Osis,4 (untrusted),atomic_osis,same-side,unresolved,preserve as observational
Blender (same side),Whirling Osis,4,blender,same-side,intentionally collapsed,preserve as observational
Butterfly Swirl (same side),,4,butterfly_swirl,same-side,intentionally collapsed,preserve as observational
Dyno (far),Reverse Blender,4,dyno,far,intentionally collapsed,preserve as observational
Dyno (same side),Reverse Blender,4,dyno,same-side,intentionally collapsed,preserve as observational
Fairy ss Osis,,4 (untrusted),fairy_osis,same-side,intentionally collapsed,preserve as observational
Fairy Symposium Mirage (same side),,4,fairy_symposium_mirage,same-side,intentionally collapsed,preserve as observational
Fairy Symposium Mirage (same side),,4,fairy_symposium_mirage,same-side,intentionally collapsed,preserve as observational
Fairy Whirl (same side),,4,fairy_whirl,same-side,intentionally collapsed,preserve as observational
Far Dyno,,4,dyno,far,intentionally collapsed,preserve as observational
Nuclear Illusion (same side),,4,nuclear_illusion,same-side,intentionally collapsed,preserve as observational
Nuclear Legover (same side),,4,nuclear_legover,same-side,intentionally collapsed,preserve as observational
Nuclear Mirage (same side),,4,(unresolved),same-side,unresolved,preserve as observational
Nuclear Pickup (same side),,4,nuclear_pickup,same-side,intentionally collapsed,preserve as observational
Pixie Drifter (same side),,4,(unresolved),same-side,unresolved,preserve as observational
Pixie Symposium Illusion (same side),,4,pixie_symposium_illusion,same-side,intentionally collapsed,preserve as observational
Pixie Symposium Mirage (same side),,4,pixie_symposium_mirage,same-side,intentionally collapsed,preserve as observational
Double Switchover (far),,3,(unresolved),far,unresolved,preserve as observational
Fairy Illusion (same side),,3,fairy_illusion,same-side,intentionally collapsed,preserve as observational
Fairy Legover (same side),,3,fairy_legover,same-side,intentionally collapsed,preserve as observational
Fairy Mirage (same side),,3,fairy_mirage,same-side,intentionally collapsed,preserve as observational
Far Reverse Whirl,,3,(unresolved),far,unresolved,preserve as observational
Grifter (same side),Reverse Drifter,3,(unresolved),same-side,unresolved,preserve as observational
Osis (far),,3,osis,far,intentionally collapsed,preserve as observational
Osis (same side),,3,osis,same-side,intentionally collapsed,preserve as observational
Pixie Illusion (same side),,3,(unresolved),same-side,unresolved,preserve as observational
Pixie Mirage (same side),,3,pixie_mirage,same-side,intentionally collapsed,preserve as observational
Pixie Pickup (same side),,3,pixie_pickup,same-side,intentionally collapsed,preserve as observational
Quantum Illusion (same side),,3,quantum_illusion,same-side,intentionally collapsed,preserve as observational
Quantum Legover (same side),,3,quantum_legover,same-side,intentionally collapsed,preserve as observational
Quantum Mirage (same side),,3,quantum_mirage,same-side,intentionally collapsed,preserve as observational
Quantum Pickup (same side),,3,quantum_pickup,same-side,intentionally collapsed,preserve as observational
Reverse Whirl (same side),,3,(unresolved),same-side,unresolved,preserve as observational
Stepping Clipper (same side),,3,stepping_clipper,same-side,intentionally collapsed,preserve as observational
Stepping far Clipper,,3,stepping_clipper,far,intentionally collapsed,preserve as observational
