"scope","family_slug","row_count","example_moves"
"topology_family","no-notation","302","Atomic Illusion, Atomic Illusion (same side), Atomic Legover (same side), Atomic Pickup (same side), Atomic Butterfly (same side)"
"topology_family","spin-family","115","Alex Zerbe is the greatest, Blender, Blender (same side), Blister, Dyno (far)"
"topology_family","multi-dex-family","81","Enterrage, Flaming Homer, Flaming Tard, Flog, Flurry"
"topology_family","double-dex-family","43","Barrage, Barrage (toe set), Bubba Beater, Barfly, Barfry"
"topology_family","duck-family","39","Assassin, Cascade, Guillotine, Puck, Wahnsinn"
"topology_family","whirl-family","19","Blaze, Bling Blang, Feral, Hurl, Whirr"
"topology_family","xdex-family","16","Atomsmasher, Dellusion, Omelette, Slap, Witchdoctor"
"topology_family","butterfly-walk-family","15","Arcwalk, Dimwalk, Flipwalk, Parkwalk, Ripwalk"
"topology_family","swirl-family","13","Dragonstein, Furnace, Phase, Snapdragon, Spitfire"
"topology_family","single-dex-family","10","Butterfly, Butterfly (same side), Dragster, Drifter, Drifter (same-side)"
"topology_family","dive-family","10","Hatchet, Red Ribbon, Zulu Le Loup, Arachnophobia, Dark Avenue"
"topology_family","uncategorized","9","Nova, Flail, Symp Mirage, Blacula, Dolomite"
"topology_family","paradox-family","4","Royale, Whisk, Snowflake, Whisk"
"topology_family","unusual-surface-family","3","Buttersole, Ricochet, Singularity"

"symbolic_family","no-notation","302",""
"symbolic_family","clip-spin-clip","36",""
"symbolic_family","toe-multi-dex-toe","36",""
"symbolic_family","clip-spin-whirl","24",""
"symbolic_family","toe-spin-clip","22",""
"symbolic_family","clip-multi-dex-toe","19",""
"symbolic_family","toe-multi-dex-clip","17",""
"symbolic_family","clip-spin-toe","15",""
"symbolic_family","toe-double-dex-toe","13",""
"symbolic_family","toe-duck-toe","12",""
"symbolic_family","toe-xdex-toe","11",""
"symbolic_family","toe-double-dex-clip","11",""
"symbolic_family","clip-duck-clip","10",""
"symbolic_family","clip-front-whirl-clip","9",""
"symbolic_family","toe-spin-toe","9",""
"symbolic_family","clip-multi-dex-clip","9",""
"symbolic_family","clip-double-dex-clip","8",""
"symbolic_family","toe-spin-whirl","8",""
"symbolic_family","clip-double-dex-toe","7",""
"symbolic_family","clip-back-swirl-clip","6",""
"symbolic_family","toe-walk-clip","5",""
"symbolic_family","toe-front-whirl-clip","5",""
"symbolic_family","clip-walk-clip","5",""
"symbolic_family","toe-duck-whirl","5",""
"symbolic_family","toe-duck-clip","5",""
"symbolic_family","clip-duck-toe","5",""
"symbolic_family","set-single-dex-clip","4",""
"symbolic_family","clip-single-dex-clip","4",""
"symbolic_family","clip-dive-clip","4",""
"symbolic_family","?-walk-clip","3",""
"symbolic_family","clip-front-whirl-toe","3",""
"symbolic_family","clip-xdex-toe","3",""
"symbolic_family","toe-to-clip","3",""
"symbolic_family","clip-back-swirl-?","2",""
"symbolic_family","toe-double-dex-?","2",""
"symbolic_family","clip-dive-whirl","2",""
"symbolic_family","toe-to-toe","2",""
"symbolic_family","set-to-toe","2",""
"symbolic_family","clip-paradox-toe","2",""
"symbolic_family","clip-xdex-clip","2",""
"symbolic_family","clip-duck-whirl","2",""
"symbolic_family","clip-dive-toe","2",""
"symbolic_family","toe-dive-clip","2",""
"symbolic_family","clip-to-clip","2",""
"symbolic_family","unusual-surface-set-to-flapper","1",""
"symbolic_family","set-double-dex-clip","1",""
"symbolic_family","set-spin-clip","1",""
"symbolic_family","inside-back-swirl-?","1",""
"symbolic_family","?-double-dex-clip","1",""
"symbolic_family","toe-back-swirl-toe","1",""
"symbolic_family","clip-single-dex-?","1",""
"symbolic_family","set-single-dex-?","1",""
"symbolic_family","clip-front-swirl-?","1",""
"symbolic_family","clip-front-swirl-clip","1",""
"symbolic_family","clip-paradox-clip","1",""
"symbolic_family","?-walk-?","1",""
"symbolic_family","toe-walk-?","1",""
"symbolic_family","clip-back-whirl-clip","1",""
"symbolic_family","toe-back-swirl-clip","1",""
"symbolic_family","unusual-surface-toe-to-flapper","1",""
"symbolic_family","unusual-surface-clip-to-flapper","1",""
"symbolic_family","clip-paradox-?","1",""
"symbolic_family","clip-front-whirl-?","1",""
