"source","source_file","move_name","alternate_names","technical_name","source_adds","symbolic_notation_raw","start_contact","uptime_dex_1","uptime_dex_2","uptime_state_flags","midtime_body_actions","downtime_dexes","final_contact","surface_flags","positional_flags","component_flags","parsed_symbol_sequence","derived_adds","source_vs_derived_delta","derived_symbolic_family","derived_topology_family","unresolved_tokens","parse_confidence","review_status","notes"
"footbagmoves","footbagmoves-3-4adds.txt","Atomic Illusion","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
"footbagmoves","footbagmoves-3-4adds.txt","Atomic Illusion (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Atomic Legover (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Atomic Pickup (same side)","","","3","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Atomsmasher","","Atomic Mirage","3","Toe > Op Out (DEX) >> Op In (DEX)(XDEX) > Op Toe (DEL)","toe","op out","","","","op in [XDEX]","toe","","","DEX|DEX|XDEX|DEL","toe › op out(DEX) ⟫ op in(DEX,XDEX) › op toe(DEL)","4","-1","toe-xdex-toe","xdex-family","","high","ok","add-delta:-1"
"footbagmoves","footbagmoves-3-4adds.txt","Barrage","","Clipper set Double Mirage","3","Clip >> Op In (DEX) > Same In (DEX) >> Op Toe (DEL)","clip","op in","","","","same in","toe","","","DEX|DEX|DEL","clip ⟫ op in(DEX) › same in(DEX) ⟫ op toe(DEL)","3","0","clip-double-dex-toe","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Barrage (toe set)","","Clipper set Double Mirage","3","Clip >> Op In (DEX) > Same In (DEX) >> Op Toe (DEL)","clip","op in","","","","same in","toe","","","DEX|DEX|DEL","clip ⟫ op in(DEX) › same in(DEX) ⟫ op toe(DEL)","3","0","clip-double-dex-toe","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Bubba Beater","","Bubba Legover","3","Clip >> Op Out (DEX) >> Op Out (DEX) > Same Toe (DEL)","clip","op out","","","","op out","toe","","","DEX|DEX|DEL","clip ⟫ op out(DEX) ⟫ op out(DEX) › same toe(DEL)","3","0","clip-double-dex-toe","double-dex-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Butterfly","","","3","SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL]","set","op out","","","","","clip","","XBD","DEX|XBD|DEL","set › op out(DEX) › op clip(XBD,DEL)","3","0","set-single-dex-clip","single-dex-family","alt-side:same","medium","needs_review",""
"footbagmoves","footbagmoves-3-4adds.txt","Butterfly (same side)","","","3","SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL]","set","op out","","","","","clip","","XBD","DEX|XBD|DEL","set › op out(DEX) › op clip(XBD,DEL)","3","0","set-single-dex-clip","single-dex-family","alt-side:same","medium","needs_review","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Alex Zerbe is the greatest","","Spyro Symple Drifter","4","Clip >> (back) Spin (BOD) >> (no plant while) Same In (DEX) > Same Clip (XBD)(DEL)","clip","","","","back-spin","same in","clip","","XBD","BOD|DEX|XBD|DEL","clip ⟫ [back] spin(BOD) ⟫ [no plant while] same in(DEX) › same clip(XBD,DEL)","4","0","clip-spin-clip","spin-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Arcwalk","","Arctic Butterfly","4","Frigidosis > Same In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL)","named:frigidosis","same in","","","","op out","clip","","XBD","DEX|DEX|XBD|DEL","Frigidosis › same in(DEX) ⟫ op out(DEX) › op clip(XBD,DEL)","4","0","?-walk-clip","butterfly-walk-family","frigidosis","medium","needs_review",""
"footbagmoves","footbagmoves-3-4adds.txt","Assassin","","Pixie Ducking Mirage","4","Toe > Same In (DEX) >> Duck (BOD) >> Op In (DEX) > Op Toe (DEL)","toe","same in","","","duck","op in","toe","","","DEX|BOD|DEX|DEL","toe › same in(DEX) ⟫ duck(BOD) ⟫ op in(DEX) › op toe(DEL)","4","0","toe-duck-toe","duck-family","","high","ok",""
"footbagmoves","footbagmoves-3-4adds.txt","Atomic Butterfly (same side)","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation","fm:same-side-variant"
"footbagmoves","footbagmoves-3-4adds.txt","Atomic Osis","","","4","","","","","","","","","","","","","","","no-notation","no-notation","","none","source_has_no_notation",""
