passback_name,resolved_slug,resolution_path,proposed_trick_tag,proposed_family_tag,dex_vs_ifpa_add,linkage_note
Assassin,assassin,recovered_slug,#assassin,#family-mirage,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Atom Bomb,atom-bomb,recovered_slug,#atom-bomb,#family-mirage,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Atomsmasher,atom-smasher,intake_match,#atom-smasher,#family-mirage,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
ATW,around-the-world,intake_match,#around-the-world,#family-atw,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Barfly,barfly,intake_match,#barfly,#family-infinity,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Barrage,barrage,intake_match,#barrage,#family-barrage,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Barroque,barraging-osis,intake_match,#barraging-osis,#family-osis,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Bedwetter,bedwetter,recovered_slug,#bedwetter,#family-eggbeater,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Big Apple,big-apple,recovered_slug,#big-apple,#family-torque,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Bladerunner,bladerunner,recovered_slug,#bladerunner,#family-legover,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Blaze,blaze,recovered_slug,#blaze,#family-mirage,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Blender,blender,intake_match,#blender,#family-osis,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Bling Blang,bling-blang,recovered_slug,#bling-blang,#family-whirl,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Blizzard,blizzard,recovered_slug,#blizzard,#family-illusion,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Blur,blur,intake_match,#blur,#family-mirage,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Blurrage,blurrage,recovered_slug,#blurrage,#family-barrage,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Blurriest,blurriest,intake_match,#blurriest,#family-barfly,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Bullwhip,bullwhip,intake_match,#bullwhip,#family-bullwhip,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Butterfly,butterfly,intake_match,#butterfly,#family-butterfly,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Chainsaw Massacre,chainsaw-massacre,recovered_slug,#chainsaw-massacre,#family-legover,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Clipper,clipper,intake_match,#clipper,#family-clipper,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Colossus,colossus,recovered_slug,#colossus,#family-whirl,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Dada Curve,dada-curve,intake_match,#dada-curve,#family-dada-curve,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Darkwalk,darkwalk,recovered_slug,#darkwalk,#family-butterfly,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Dimwalk,dimwalk,intake_match,#dimwalk,#family-butterfly,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Dolomite,dolomite,recovered_slug,#dolomite,#family-paradon,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Drifter,drifter,intake_match,#drifter,#family-clipper-stall,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Dyno,dyno,intake_match,#dyno,#family-dyno,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Eggbeater,eggbeater,intake_match,#eggbeater,#family-legover,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Ego,ego,recovered_slug,#ego,#family-whirl,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Flail,flail,intake_match,#flail,#family-illusion,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Flapper,cross-body-sole-stall,intake_match,#cross-body-sole-stall,#family-cross-body-sole-stall,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Flurricane,flurricane,recovered_slug,#flurricane,#family-flurry,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Flurry,flurry,intake_match,#flurry,#family-legover,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Flux,flux,recovered_slug,#flux,#family-osis,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Fog,fog,intake_match,#fog,#family-double-leg-over,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Food Processor,food-processor,intake_match,#food-processor,#family-blender,-4,media-tag linkage candidate (needs taxonomy module + Dave coord)
Fury,fury,intake_match,#fury,#family-mirage,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Fusion,fusion,intake_match,#fusion,#family-dod,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Gangsta Party,gangsta-party,recovered_slug,#gangsta-party,#family-blender,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Gary Coleman,gary-coleman,recovered_slug,#gary-coleman,#family-whirl,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Gauntlet,gauntlet,intake_match,#gauntlet,#family-torque,-5,media-tag linkage candidate (needs taxonomy module + Dave coord)
Goliath,goliath,recovered_slug,#goliath,#family-legover,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Gravedigger,grave-digger,intake_match,#grave-digger,#family-torque,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Guay,guay,intake_match,#guay,#family-guay,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Hatchet,hatchet,intake_match,#hatchet,#family-whirl,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
High Plains Drifter,high-plains-drifter,intake_match,#high-plains-drifter,#family-clipper-stall,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Illusion,illusion,intake_match,#illusion,#family-illusion,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Legbeater,atomic-butterfly,intake_match,#atomic-butterfly,#family-butterfly,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Legeater,legeater,intake_match,#legeater,#family-pickup,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Legover,legover,intake_match,#legover,#family-legover,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Maelstrom,maelstrom,recovered_slug,#maelstrom,#family-whirl,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Magellan,magellan,intake_match,#magellan,#family-legover,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Mantis,mantis,recovered_slug,#mantis,#family-legover,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Marius,spinning-torque,intake_match,#spinning-torque,#family-torque,-4,media-tag linkage candidate (needs taxonomy module + Dave coord)
Matador,matador,intake_match,#matador,#family-butterfly,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Merkon,merkon,intake_match,#merkon,#family-legover,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Mind Bender,mind-bender,intake_match,#mind-bender,#family-blender,-5,media-tag linkage candidate (needs taxonomy module + Dave coord)
Mirage,mirage,intake_match,#mirage,#family-mirage,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Mobius,mobius,intake_match,#mobius,#family-torque,-4,media-tag linkage candidate (needs taxonomy module + Dave coord)
Montage,montage,intake_match,#montage,#family-whirl,-6,media-tag linkage candidate (needs taxonomy module + Dave coord)
Morpheus,morpheus,recovered_slug,#morpheus,#family-drifter,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Mullet,mullet,intake_match,#mullet,#family-whirl,-5,media-tag linkage candidate (needs taxonomy module + Dave coord)
Nemesis,nemesis,intake_match,#nemesis,#family-barfly,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Nova,nova,recovered_slug,#nova,#family-legover,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Orbit,orbit,recovered_slug,#orbit,#family-orbit,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Osis,osis,intake_match,#osis,#family-osis,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Pandemonium,pandemonium,recovered_slug,#pandemonium,#family-legover,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Paradon,paradon,intake_match,#paradon,#family-paradon,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Parkwalk,parkwalk,intake_match,#parkwalk,#family-butterfly,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Paste,paste,intake_match,#paste,#family-pickup,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Phoenix,phoenix,intake_match,#phoenix,#family-butterfly,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Pickup,pickup,intake_match,#pickup,#family-pickup,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Pigbeater,pigbeater,intake_match,#pigbeater,#family-legover,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Plasma,plasma,intake_match,#plasma,#family-plasma,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Pogo,pogo,intake_match,#pogo,#family-pogo,2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Predator,predator,recovered_slug,#predator,#family-double-leg-over,,media-tag linkage candidate (needs taxonomy module + Dave coord)
PS Whirl,paradox-symposium-whirl,intake_match,#paradox-symposium-whirl,#family-whirl,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Rake,rake,recovered_slug,#rake,#family-rake,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Reactor,reactor,recovered_slug,#reactor,#family-whirl,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Reaper,reaper,intake_match,#reaper,#family-clipper-stall,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Refraction,refraction,intake_match,#refraction,#family-refraction,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Ripped Warrior,ripped-warrior,recovered_slug,#ripped-warrior,#family-butterfly,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Ripstein,ripstein,intake_match,#ripstein,#family-ripstein,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Ripwalk,ripwalk,intake_match,#ripwalk,#family-butterfly,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Royale,royale,intake_match,#royale,#family-reverse-drifter,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Schmoe,schmoe,recovered_slug,#schmoe,#family-legover,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Scorpion's Tail,scorpions-tail,recovered_slug,#scorpions-tail,#family-down-double-down,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Smear,smear,intake_match,#smear,#family-mirage,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Smog,smog,intake_match,#smog,#family-double-leg-over,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Smoke,smoke,intake_match,#smoke,#family-drifter,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Smudge,smudge,intake_match,#smudge,#family-illusion,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Spender,spender,intake_match,#spender,#family-blender,-5,media-tag linkage candidate (needs taxonomy module + Dave coord)
Sumo,sumo,intake_match,#sumo,#family-mirage,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Superfly,superfly,intake_match,#superfly,#family-barfly,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Surge,surge,intake_match,#surge,#family-mirage,-3,media-tag linkage candidate (needs taxonomy module + Dave coord)
Surreal,surreal,intake_match,#surreal,#family-whirl,-4,media-tag linkage candidate (needs taxonomy module + Dave coord)
Swirl,swirl,intake_match,#swirl,#family-swirl,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Tap,tap,intake_match,#tap,#family-mirage,-1,media-tag linkage candidate (needs taxonomy module + Dave coord)
Tapdown,tapdown,recovered_slug,#tapdown,#family-butterfly,,media-tag linkage candidate (needs taxonomy module + Dave coord)
Terrage,terrage,intake_match,#terrage,#family-terrage,-2,media-tag linkage candidate (needs taxonomy module + Dave coord)
Toe Blur,quantum,intake_match,#quantum,#family-quantum,0,media-tag linkage candidate (needs taxonomy module + Dave coord)
