passback_name,registered_operators,unregistered_operator_candidates,surging_decomposed,raw_technical_name
Anonymous,spinning|miraging|symposium,,,Spinning far Miraging Symp. Miraging Refraction
Archnemesis,barraging,,,Barraging near Double Down
Armaggedon,miraging|symposium,,,Miraging Symp. Eggbeater
Assassin,pixie|ducking,,,Pixie Ducking far Mirage
Atom Bomb,symposium,flailing,,"Flailing far Symp. Mirage, Full Symp. Atomsmasher"
Atomsmasher,atomic,,,Atomic far Mirage
Badger,symposium,,,Symp. Butterfly Swirl
Barfry,nuclear,,,Nuclear near Butterfly
Barroque,barraging,,,"double-dex Torque, (downtime) Barraging far Osis"
Bedwetter,stepping,,,Stepping far Eggbeater
Big Apple,spinning|symposium,,,"Spinning near Symp. Torque, Symp. Mobius"
Big Applesauce,spinning|miraging|symposium,,,Spinning far Miraging Symp. Torque
Big Orange,spinning|symposium,,,"Spinning near Symp. Flux, Rev. Big Apple"
Blackula,symposium,,,"Toe near Symp. Double Down, Symp DOD"
Bladerunner,atomic,,,Atomic far Eggbeater
Blaze,whirling,,,Whirling far Mirage
Blender,whirling,,,(downtime) Whirling Osis
Bling Blang,whirling,,,(uptime) Whirling near Whip
Blink,,twisting,,(downtime) Twisting near Toe
Blizzard,stepping,,,Stepping far Illusion
Blur,stepping,,,Stepping far Mirage
Blurrage,stepping,,,Stepping far Barrage
Blurrier,stepping,,,Stepping near Double Down
Blurriest,stepping,,,Stepping far Double Down
Blurtigo,stepping|ducking,,,Stepping Ducking far Drifter
Bullwhip,spinning,,,Spinning near Double Down
Catacomb,pixie,,,Pixie near Drifter
Chainsaw Massacre,symposium,illusioning,,"(downtime) Illusioning Symp. Illusioning Legover, (downtime) Illusioning Symp. Eggbeater"
Cheese Processor,spinning|stepping|ducking,,yes,Surging Ducking far Blender
Clownface,barraging,,,Barraging far Eggbeater
Cold Fusion,nuclear,,,"Nuclear far Double Down, Pdx. Fusion"
Colossus,spinning|diving|symposium,,,Spinning Diving near Symp. Whirl
Creature,miraging|symposium,,,(downtime) Miraging Symp. Illusion
Dada Curve,miraging|symposium,,,(downtime) Miraging far Symp. Butterfly
Darkwalk,pixie|diving,,,Pixie Diving near Butterfly
Dimmier,pixie,,,Pixie near Double Down
Dimmiest,pixie,,,Pixie far Double Down
Dimwalk,pixie,,,Pixie far Butterfly
"DLO (""dee-ell-oh"")",miraging,,,(downtime) Miraging far Legover
Dolomite,symposium,,,Toe far Symp. Double Down
Drifter,miraging,,,(downtime) Miraging far Clipper
Dyno,,whipping,,(downtime) Whipping Osis
Eggbeater,,illusioning,,(downtime) Illusioning Legover
Ego,atomic,,,Atomic far Blender
Enterrage,terraging,,,"Terraging Legover, (midtime) Toe near Flurry"
Fairy Beater,fairy,,,Fairy far Butterfly
Fear,fairy,,,Fairy far Mirage
Fission,barraging,,,Barraging far Illusion
Flail,symposium,,,Symp. Illusion
Flare,symposium|whirling,,,Symp. Whirling far Mirage
Flurricane,gyro,,,Gyro Flurry
Flurry,barraging,,,(midtime) Barraging far Legover
Flux,,illusioning,,(downtime) Illusioning far Osis
Fog,stepping,,,Stepping far DLO
Food Processor,stepping,,,Stepping far Blender
Frankenstein,fairy|swirling,phasing,,"Fairy near Swirling near Swirl, Phasing near Swirl, Fairy Ripstein"
