resolved_slug,trick_family,proposed_family_tag
assassin,mirage,#family-mirage
atom-bomb,mirage,#family-mirage
atom-smasher,mirage,#family-mirage
around-the-world,atw,#family-atw
barfly,infinity,#family-infinity
barrage,barrage,#family-barrage
barraging-osis,osis,#family-osis
bedwetter,eggbeater,#family-eggbeater
big-apple,torque,#family-torque
bladerunner,legover,#family-legover
blaze,mirage,#family-mirage
blender,osis,#family-osis
bling-blang,whirl,#family-whirl
blizzard,illusion,#family-illusion
blur,mirage,#family-mirage
blurrage,barrage,#family-barrage
blurriest,barfly,#family-barfly
bullwhip,bullwhip,#family-bullwhip
butterfly,butterfly,#family-butterfly
chainsaw-massacre,legover,#family-legover
clipper,clipper,#family-clipper
colossus,whirl,#family-whirl
dada-curve,dada-curve,#family-dada-curve
darkwalk,butterfly,#family-butterfly
dimwalk,butterfly,#family-butterfly
dolomite,paradon,#family-paradon
drifter,clipper-stall,#family-clipper-stall
dyno,dyno,#family-dyno
eggbeater,legover,#family-legover
ego,whirl,#family-whirl
flail,illusion,#family-illusion
cross-body-sole-stall,cross-body-sole-stall,#family-cross-body-sole-stall
flurricane,flurry,#family-flurry
flurry,legover,#family-legover
flux,osis,#family-osis
fog,double-leg-over,#family-double-leg-over
food-processor,blender,#family-blender
fury,mirage,#family-mirage
fusion,dod,#family-dod
gangsta-party,blender,#family-blender
gary-coleman,whirl,#family-whirl
gauntlet,torque,#family-torque
goliath,legover,#family-legover
grave-digger,torque,#family-torque
guay,guay,#family-guay
hatchet,whirl,#family-whirl
high-plains-drifter,clipper-stall,#family-clipper-stall
illusion,illusion,#family-illusion
atomic-butterfly,butterfly,#family-butterfly
legeater,pickup,#family-pickup
legover,legover,#family-legover
maelstrom,whirl,#family-whirl
magellan,legover,#family-legover
mantis,legover,#family-legover
spinning-torque,torque,#family-torque
matador,butterfly,#family-butterfly
merkon,legover,#family-legover
mind-bender,blender,#family-blender
mirage,mirage,#family-mirage
mobius,torque,#family-torque
montage,whirl,#family-whirl
morpheus,drifter,#family-drifter
mullet,whirl,#family-whirl
nemesis,barfly,#family-barfly
nova,legover,#family-legover
orbit,orbit,#family-orbit
osis,osis,#family-osis
pandemonium,legover,#family-legover
paradon,paradon,#family-paradon
parkwalk,butterfly,#family-butterfly
paste,pickup,#family-pickup
phoenix,butterfly,#family-butterfly
pickup,pickup,#family-pickup
pigbeater,legover,#family-legover
plasma,plasma,#family-plasma
pogo,pogo,#family-pogo
predator,double-leg-over,#family-double-leg-over
paradox-symposium-whirl,whirl,#family-whirl
rake,rake,#family-rake
reactor,whirl,#family-whirl
reaper,clipper-stall,#family-clipper-stall
refraction,refraction,#family-refraction
ripped-warrior,butterfly,#family-butterfly
ripstein,ripstein,#family-ripstein
ripwalk,butterfly,#family-butterfly
royale,reverse-drifter,#family-reverse-drifter
schmoe,legover,#family-legover
scorpions-tail,down-double-down,#family-down-double-down
smear,mirage,#family-mirage
smog,double-leg-over,#family-double-leg-over
smoke,drifter,#family-drifter
smudge,illusion,#family-illusion
spender,blender,#family-blender
sumo,mirage,#family-mirage
superfly,barfly,#family-barfly
surge,mirage,#family-mirage
surreal,whirl,#family-whirl
swirl,swirl,#family-swirl
tap,mirage,#family-mirage
tapdown,butterfly,#family-butterfly
terrage,terrage,#family-terrage
quantum,quantum,#family-quantum
tomahawk,whirl,#family-whirl
tombstone,drifter,#family-drifter
torque,osis,#family-osis
tripwalk,butterfly,#family-butterfly
trixie,pixie,#family-pixie
twirl,osis,#family-osis
venom,barfly,#family-barfly
vortex,drifter,#family-drifter
walk-over,walk-over,#family-walk-over
rev-whirl,whirl,#family-whirl
whirl,whirl,#family-whirl
spinning-symposium-whirl,whirl,#family-whirl
wrap,wrap,#family-wrap
around-the-world,atw,#family-atw
bladerunner,legover,#family-legover
clipper,clipper,#family-clipper
double-leg-over,legover,#family-legover
double-around-the-world,atw,#family-atw
double-pickup,pickup,#family-pickup
eggbeater,legover,#family-legover
fairy-eggbeater,legover,#family-legover
fairy-legover,legover,#family-legover
flurry,legover,#family-legover
illusion,illusion,#family-illusion
legover,legover,#family-legover
magellan,legover,#family-legover
mirage,mirage,#family-mirage
orbit,orbit,#family-orbit
paradon-swirl,swirl,#family-swirl
pickup,pickup,#family-pickup
pigbeater,legover,#family-legover
smear,mirage,#family-mirage
smog,double-leg-over,#family-double-leg-over
triple-around-the-world,around-the-world,#family-around-the-world
