table,key,column,before,after,reason
freestyle_tricks,around-the-world,canonical_name,"around the world","Around the World",title-case display per curator
freestyle_tricks,reverse-around-the-world,slug,reverse-around-the-world,orbit,canonical rename per CORE-ATOM-CANONICAL-RECONCILE-1
freestyle_tricks,reverse-around-the-world (now orbit),canonical_name,"reverse around the world",Orbit,canonical name per curator
freestyle_tricks,reverse-around-the-world (now orbit),is_core,0,1,orbit is a foundational atom
freestyle_tricks,reverse-around-the-world (now orbit),base_trick,around-the-world,orbit,orbit becomes its own family anchor
freestyle_tricks,reverse-around-the-world (now orbit),trick_family,atw,orbit,orbit becomes its own family anchor
freestyle_tricks,reverse-around-the-world (now orbit),operational_notation,(null),toe > ss leggy out dex > ss toe,§13.9 atom-layer notation authored 2026-05-15
freestyle_tricks,clipper,canonical_name,clipper,Clipper Kick,disambiguate from clipper-stall foundational atom
freestyle_tricks,clipper,is_core,1,0,clipper kick is NOT the foundational atom per curator
freestyle_tricks,clipper-stall,canonical_name,clipper stall,Clipper Stall,title-case display per curator
freestyle_tricks,clipper-stall,is_core,0,1,clipper-stall IS the foundational atom (community shorthand: #clipper)
freestyle_tricks,toe-stall,is_core,0,1,toe-stall is a foundational atom per Wave-1A scope
freestyle_trick_aliases,ratw,trick_slug,reverse-around-the-world,orbit,re-point alias after slug rename
freestyle_trick_aliases,reverse-atw,trick_slug,reverse-around-the-world,orbit,re-point alias after slug rename
freestyle_trick_aliases,reverse-around-the-world,(INSERT),(none),"alias_slug=reverse-around-the-world; alias_text='reverse around the world'; trick_slug=orbit; alias_type=common","preserve old slug as alias for backward search compatibility"
