"slug","adds","family","modifier_links","compounds_rooted","records","parser_status","computed_adds","disposition","scale6_batch","role","rationale"
"pogo","0","pogo","0","0","0","exact_self_atom","0","available-scale-7+","","",""
"rooted","0","rooted","0","0","0","exact_self_atom","0","available-scale-7+","","",""
"clipper","1","clipper","0","1","0","exact_self_atom","1","available-scale-7+","","",""
"cloud-kick","1","cloud-kick","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"flying-inside","1","flying-inside","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"flying-outside","1","flying-outside","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"forehead-stall","1","forehead-stall","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"head-stall","1","head-stall","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"heel-stall","1","heel-stall","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"inside-stall","1","inside-stall","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"knee-stall","1","knee-stall","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"neck-stall","1","neck-stall","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"outside-stall","1","outside-stall","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"shoulder-stall","1","shoulder-stall","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"sole-kick","1","sole-kick","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"spin","1","spin","0","0","0","exact_modifier_derived","1","available-scale-7+","","",""
"spyro","1","spyro","0","0","0","exact_modifier_derived","1","available-scale-7+","","",""
"toe-stall","1","toe-stall","0","0","0","exact_self_atom","1","available-scale-7+","","",""
"around-the-world","2","atw","0","2","1","exact_self_atom","2","enrich","1","standalone_with_records","2-compound family root; 1 record"
"atomic","2","atomic","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"clipper-stall","2","clipper-stall","0","5","1","exact_self_atom","2","enrich","1","foundation_base","anchors 5 compounds incl. drifter + ducking-clipper pilots"
"cloud-stall","2","cloud-stall","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"double-spin","2","double-spin","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"dragonfly-kick","2","dragonfly-kick","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"fairy","2","fairy","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"flying-clipper","2","clipper","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"furious","2","furious","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"guay","2","guay","0","0","0","exact_modifier_derived","2","available-scale-7+","","",""
"hop-over","2","hop-over","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"illusion","2","illusion","0","2","0","exact_modifier_derived","2","available-scale-7+","","",""
"knee-clipper","2","knee-clipper","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"legover","2","legover","0","5","1","exact_modifier_derived","2","enrich","1","foundation_base","anchors 5 compounds incl. magellan + pigbeater pilots"
"mirage","2","mirage","0","10","1","exact_modifier_derived","2","enrich","1","foundation_base","anchors 10 compounds; referenced in 17 pilot prereqs"
"pendulum","2","pendulum","0","0","0","exact_modifier_derived","2","available-scale-7+","","",""
"pickup","2","pickup","0","4","0","exact_modifier_derived","2","available-scale-7+","","",""
"pixie","2","pixie","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"reverse-around-the-world","2","atw","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"sailing","2","sailing","0","0","0","exact_modifier_derived","2","available-scale-7+","","",""
"sole-stall","2","sole-stall","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"squeeze","2","squeeze","0","0","0","exact_modifier_derived","2","available-scale-7+","","",""
"surging","2","surging","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"walk-over","2","walk-over","0","0","0","exact_self_atom","2","available-scale-7+","","",""
"barrage","3","barrage","0","0","1","exact_modifier_derived","3","available-scale-7+","","",""
"butterfly","3","butterfly","0","11","1","exact_modifier_derived","3","enrich","1","foundation_base","anchors 11 compounds; referenced in 23 pilot prereqs (heaviest in dictionary)"
"cross-body-sole-stall","3","cross-body-sole-stall","0","0","1","exact_self_atom","3","available-scale-7+","","",""
"double-around-the-world","3","atw","0","0","1","exact_self_atom","3","available-scale-7+","","",""
"double-leg-over","3","legover","0","3","1","exact_self_atom","3","available-scale-7+","","",""
"eclipse","3","eclipse","0","0","2","exact_modifier_derived","3","enrich","1","standalone_with_records","independent record-holder; 2 records"
"eggbeater","3","legover","0","1","2","exact_modifier_derived","3","enrich","1","foundation_compound","direct parent of pigbeater (pilot); referenced in 6 pilot prereqs"
"flail","3","illusion","1","0","0","exact_modifier_derived","3","available-scale-7+","","",""
"merkon","3","legover","1","0","0","exact_modifier_derived","3","available-scale-7+","","",""
"omelette","3","pickup","0","0","1","exact_modifier_derived","3","available-scale-7+","","",""
"osis","3","osis","0","6","1","exact_modifier_derived","3","enrich","1","foundation_base","anchors 6 compounds; referenced by blender (Whirling Osis) and torque (Miraging Osis)"
"reaper","3","clipper-stall","0","0","0","exact_modifier_derived","3","available-scale-7+","","",""
"refraction","3","refraction","0","0","0","exact_modifier_derived","3","available-scale-7+","","",""
"rev-up","3","whirl","0","0","0","exact_self_atom","3","available-scale-7+","","",""
"rev-whirl","3","whirl","0","1","1","exact_modifier_derived","3","available-scale-7+","","",""
"reverse-drifter","3","reverse-drifter","0","1","0","exact_modifier_derived","3","available-scale-7+","","",""
"shooting","3","shooting","0","0","0","exact_self_atom","3","available-scale-7+","","",""
"smudge","3","illusion","1","0","1","exact_modifier_derived","3","available-scale-7+","","",""
"spinning-clipper","3","clipper-stall","1","0","1","exact_self_atom","3","available-scale-7+","","",""
"swirl","3","swirl","0","1","2","exact_modifier_derived","3","enrich","1","standalone_with_records","independent family; 2 records"
"barfly","4","infinity","0","4","1","exact_modifier_derived","4","available-scale-7+","","",""
"blur","4","mirage","1","0","0","exact_modifier_derived","4","available-scale-7+","","",""
"dada-curve","4","dada-curve","0","0","1","exact_self_atom","4","available-scale-7+","","",""
"dyno","4","dyno","0","0","2","exact_modifier_derived","4","available-scale-7+","","",""
"flurry","4","legover","0","0","0","exact_modifier_derived","4","available-scale-7+","","",""
"haze","4","double-leg-over","1","0","0","exact_modifier_derived","4","available-scale-7+","","",""
"high-plains-drifter","4","clipper-stall","0","0","0","exact_self_atom","4","available-scale-7+","","",""
"paradon","4","paradon","0","0","0","exact_modifier_derived","4","available-scale-7+","","",""
"parkwalk","4","butterfly","0","0","0","exact_modifier_derived","4","available-scale-7+","","",""
"ripstein","4","ripstein","0","0","2","exact_modifier_derived","4","available-scale-7+","","",""
"royale","4","reverse-drifter","1","0","0","exact_modifier_derived","4","available-scale-7+","","",""
"sidewalk","4","butterfly","1","0","1","exact_modifier_derived","4","available-scale-7+","","",""
"smog","4","double-leg-over","1","0","1","exact_modifier_derived","4","available-scale-7+","","",""
"spinning-osis","4","osis","1","0","1","exact_modifier_derived","4","available-scale-7+","","",""
"stepping-osis","4","osis","1","0","1","exact_modifier_derived","4","available-scale-7+","","",""
"tapping-whirl","4","whirl","1","0","0","exact_modifier_derived","4","available-scale-7+","","",""
"terrage","4","terrage","0","0","1","exact_modifier_derived","4","available-scale-7+","","",""
"torque","4","osis","0","8","2","exact_modifier_derived","4","enrich","1","foundation_base","anchors 8 compounds incl. 3 pilots (spinal-tap, paradox-torque, spinning-torque)"
"vortex","4","drifter","1","0","1","exact_modifier_derived","4","available-scale-7+","","",""
"whirling-swirl","4","swirl","1","0","1","exact_modifier_derived","4","available-scale-7+","","",""
"witchdoctor","4","mirage","2","0","0","exact_modifier_derived","4","available-scale-7+","","",""
"bigwalk","5","butterfly","2","0","0","exact_modifier_derived","5","available-scale-7+","","",""
"blurriest","5","barfly","1","0","1","exact_modifier_derived","5","available-scale-7+","","",""
"bullwhip","5","bullwhip","0","0","0","exact_modifier_derived","5","available-scale-7+","","",""
"fog","5","double-leg-over","2","0","0","exact_modifier_derived","5","available-scale-7+","","",""
"fury","5","mirage","2","0","0","exact_modifier_derived","5","available-scale-7+","","",""
"fusion","5","dod","0","0","0","exact_modifier_derived","5","available-scale-7+","","",""
"grave-digger","5","torque","1","0","0","exact_self_atom","5","available-scale-7+","","",""
"jani-walker","5","jani-walker","0","0","2","exact_self_atom","5","available-scale-7+","","",""
"mobius","5","torque","1","0","1","exact_modifier_derived","5","available-scale-7+","","",""
"plasma","5","plasma","1","0","0","exact_modifier_derived","5","available-scale-7+","","",""
"sumo","5","mirage","1","0","0","exact_modifier_derived","5","available-scale-7+","","",""
"superfly","5","barfly","1","0","1","exact_modifier_derived","5","available-scale-7+","","",""
"surge","5","mirage","3","0","0","exact_modifier_derived","5","available-scale-7+","","",""
"atomic-torque","6","torque","1","0","0","exact_modifier_derived","6","available-scale-7+","","",""
"food-processor","6","blender","1","0","3","exact_self_atom","6","available-scale-7+","","",""
"nemesis","6","barfly","1","0","1","exact_modifier_derived","6","available-scale-7+","","",""
"surgery","6","rev-whirl","3","0","0","exact_modifier_derived","6","available-scale-7+","","",""
"surreal","6","whirl","3","0","0","exact_modifier_derived","6","available-scale-7+","","",""
"venom","6","barfly","2","0","0","exact_modifier_derived","6","available-scale-7+","","",""
"gauntlet","7","torque","3","0","0","exact_modifier_derived","7","available-scale-7+","","",""
"barfly","4","infinity","?","?","?","exact_modifier_derived","4","defer-federation","","","Blocked: federation"
"blur","4","mirage","?","?","?","exact_modifier_derived","4","defer-ontology-pt10","","","Blocked: ontology-pt10"
"blurry-whirl","5","whirl","?","?","?","approximate","4","defer-pt12-Blurry","","","Blocked: pt12-Blurry"
"food-processor","6","blender","?","?","?","exact_self_atom","6","defer-pt12-item-5b","","","Blocked: pt12-item-5b"
"blurry-torque","6","torque","?","?","?","approximate","5","defer-pt12-Blurry","","","Blocked: pt12-Blurry"
"rev-whirl","3","whirl","?","?","?","exact_modifier_derived","3","defer-SCALE-2-deferred-variant","","","Blocked: SCALE-2-deferred-variant"
"rev-up","3","whirl","?","?","?","exact_self_atom","3","defer-SCALE-2-deferred-variant","","","Blocked: SCALE-2-deferred-variant"
"tapping-whirl","4","whirl","?","?","?","exact_modifier_derived","4","defer-SCALE-2-deferred","","","Blocked: SCALE-2-deferred"
"barraging-osis","5","osis","?","?","?","approximate","4","defer-pt12-expanded-decomp","","","Blocked: pt12-expanded-decomp"
"terrage","4","terrage","?","?","?","exact_modifier_derived","4","defer-Red-Q2","","","Blocked: Red-Q2"
"omelette","3","pickup","?","?","?","exact_modifier_derived","3","defer-Red-Q1","","","Blocked: Red-Q1"
"surreal","6","whirl","?","?","?","exact_modifier_derived","6","defer-SCALE-2-deferred","","","Blocked: SCALE-2-deferred"
