slug,canonical_name,adds,category,is_core,has_base_trick,has_family,has_notation,has_operational_notation,has_aliases,gap_summary
pogo,pogo,0,set,0,y,y,n,n,n,no-formula;no-aliases
rooted,rooted,0,set,0,y,y,n,n,n,no-formula;no-aliases
clipper,clipper,1,body,1,y,y,y,n,n,no-aliases
cloud-kick,cloud kick,1,body,0,y,y,y,y,n,no-aliases
flying-inside,flying inside,1,body,0,y,y,y,n,n,no-aliases
flying-outside,flying outside,1,body,0,y,y,y,n,n,no-aliases
forehead-stall,forehead stall,1,surface,0,y,y,n,y,y,compliant
head-stall,head-stall,1,surface,0,y,y,y,y,y,compliant
heel-stall,heel stall,1,surface,0,y,y,y,y,y,compliant
inside-stall,inside stall,1,surface,0,y,y,y,y,y,compliant
knee-stall,knee stall,1,surface,0,y,y,n,y,y,compliant
neck-stall,neck stall,1,surface,0,y,y,n,y,y,compliant
outside-stall,outside stall,1,surface,0,y,y,y,y,y,compliant
shoulder-stall,shoulder-stall,1,surface,0,y,y,n,y,y,compliant
sole-kick,sole kick,1,body,0,y,y,y,y,n,no-aliases
spin,spin,1,body,0,y,y,y,n,n,no-aliases
spyro,spyro,1,body,0,y,y,y,n,n,no-aliases
toe-stall,toe stall,1,surface,0,y,y,y,y,y,compliant
around-the-world,around the world,2,dex,1,y,y,y,n,y,compliant
atomic,atomic,2,set,0,y,y,y,n,n,no-aliases
clipper-stall,clipper stall,2,surface,0,y,y,y,y,y,compliant
cloud-stall,cloud stall,2,surface,0,y,y,n,y,y,compliant
double-spin,double spin,2,body,0,y,y,n,n,n,no-formula;no-aliases
dragonfly-kick,dragonfly kick,2,body,0,y,y,y,n,y,compliant
fairy,fairy,2,set,1,y,y,y,n,n,no-aliases
flying-clipper,flying clipper,2,body,0,y,y,n,n,y,no-formula
furious,furious,2,set,0,y,y,y,n,n,no-aliases
guay,guay,2,dex,1,y,y,n,n,n,no-aliases
hop-over,hop over,2,body,0,y,y,y,n,n,no-aliases
illusion,illusion,2,dex,1,y,y,y,n,n,no-aliases
knee-clipper,knee-clipper,2,surface,0,y,y,n,n,n,no-formula;no-aliases
legover,legover,2,dex,1,y,y,y,n,y,compliant
mirage,mirage,2,dex,1,y,y,y,n,n,no-aliases
pendulum,pendulum,2,,0,n,y,y,y,n,no-base-trick;no-aliases
pickup,pickup,2,dex,1,y,y,y,n,n,no-aliases
pixie,pixie,2,set,1,y,y,y,n,n,no-aliases
quantum,quantum,2,set,0,y,y,y,n,y,compliant
reverse-around-the-world,reverse around the world,2,dex,0,y,y,n,n,y,no-formula
sailing,sailing,2,set,0,y,y,y,n,n,no-aliases
sole-stall,sole stall,2,surface,0,y,y,n,y,y,compliant
squeeze,squeeze,2,,0,n,y,y,y,y,no-base-trick
surging,surging,2,compound,0,n,y,n,n,y,no-base-trick;no-formula
walk-over,walk over,2,body,0,y,y,y,n,n,no-aliases
barrage,barrage,3,,0,y,y,n,n,n,no-formula;no-aliases
butterfly,butterfly,3,compound,1,y,y,y,n,n,no-aliases
cross-body-sole-stall,cross-body sole stall,3,surface,0,y,y,n,n,y,no-formula
double-around-the-world,double around the world,3,dex,0,y,y,n,n,y,no-formula
double-leg-over,double leg over,3,compound,0,y,y,y,n,y,compliant
drifter,drifter,3,compound,0,y,y,y,n,y,compliant
ducking-clipper,ducking clipper,3,compound,0,y,y,n,n,n,no-formula;no-aliases
eclipse,eclipse,3,compound,0,y,y,y,n,y,compliant
eggbeater,eggbeater,3,compound,0,y,y,n,n,y,no-formula
flail,flail,3,compound,0,y,y,n,n,y,no-formula
legeater,legeater,3,compound,0,y,y,y,y,n,no-aliases
magellan,magellan,3,compound,0,y,y,n,n,y,no-formula
merkon,merkon,3,compound,0,y,y,n,n,n,no-formula;no-aliases
omelette,omelette,3,compound,0,y,y,n,n,y,no-formula
osis,osis,3,compound,1,y,y,y,n,n,no-aliases
paradox-mirage,paradox mirage,3,compound,0,y,y,n,n,y,no-formula
paste,paste,3,compound,0,y,y,y,y,n,no-aliases
reaper,reaper,3,compound,0,y,y,n,n,n,no-formula;no-aliases
refraction,refraction,3,dex,0,y,y,n,n,n,no-formula;no-aliases
rev-up,rev up,3,dex,0,y,y,n,n,y,no-formula
rev-whirl,rev whirl,3,dex,0,y,y,n,n,y,no-formula
reverse-drifter,reverse-drifter,3,dex,0,y,y,y,n,n,no-aliases
scrambled-eggbeater,scrambled eggbeater,3,compound,0,y,y,y,y,n,no-aliases
shooting,shooting,3,set,0,n,y,y,n,n,no-base-trick;no-aliases
smear,smear,3,compound,0,y,y,y,n,y,compliant
smudge,smudge,3,compound,0,y,y,n,n,y,no-formula
spinning-clipper,spinning clipper,3,compound,0,y,y,n,n,n,no-formula;no-aliases
swirl,swirl,3,dex,1,y,y,y,n,y,compliant
