ifpa_slug,ifpa_name,ifpa_formula,passback_name,passback_formula,passback_add,disagreement_type,pending_red,recommended_action,notes
guay,guay,,Guay,Pickup,,formula_diverges_name_matches,false,reconcile_or_defer,
eggbeater,eggbeater,atomic legover,Eggbeater,Illusioning Legover,,formula_diverges_name_matches,false,reconcile_or_defer,
smog,smog,pixie double legover,Smog,Pixie op DLO,,formula_diverges_name_matches,false,reconcile_or_defer,
barfly,barfly,,Barfly,Clipper far Double Down,2,add_value_diverges,false,observational_note_only,
barrage,barrage,,Barrage,double-dex Mirage,2,add_value_diverges,false,observational_note_only,
blender,blender,whirling osis,Blender,(downtime) Whirling Osis,1,add_value_diverges,false,observational_note_only,
blur,blur,,Blur,Stepping far Mirage,2,add_value_diverges,false,observational_note_only,
blurriest,blurriest,,Blurriest,Stepping far Double Down,3,add_value_diverges,false,observational_note_only,
bullwhip,bullwhip,,Bullwhip,Spinning near Double Down,2,add_value_diverges,false,observational_note_only,
butterfly,butterfly,,Butterfly,(downtime) hippy out dex>ss clipper,1,add_value_diverges,false,observational_note_only,
clipper,Clipper Kick,,Clipper,xbd inside stall,0,add_value_diverges,false,observational_note_only,
dada-curve,dada curve,miraging far symposium butterfly,Dada Curve,(downtime) Miraging far Symp. Butterfly,2,add_value_diverges,false,observational_note_only,
dimwalk,dimwalk,pixie butterfly,Dimwalk,Pixie far Butterfly,2,add_value_diverges,false,observational_note_only,
drifter,drifter,miraging clipper,Drifter,(downtime) Miraging far Clipper,1,add_value_diverges,false,observational_note_only,
dyno,dyno,,Dyno,(downtime) Whipping Osis,1,add_value_diverges,false,observational_note_only,
eggbeater,eggbeater,atomic legover,Eggbeater,(downtime) Illusioning Legover,2,add_value_diverges,false,observational_note_only,
flail,flail,symposium illusion,Flail,Symp. Illusion,1,add_value_diverges,false,observational_note_only,
flurry,flurry,barraging legover,Flurry,(midtime) Barraging far Legover,3,add_value_diverges,false,observational_note_only,
fog,fog,,Fog,Stepping far DLO,3,add_value_diverges,false,observational_note_only,
food-processor,food processor,blurry blender | stepping paradox blender,Food Processor,Stepping far Blender,2,add_value_diverges,false,observational_note_only,
fury,fury,,Fury,Barraging far Mirage,3,add_value_diverges,false,observational_note_only,
fusion,fusion,atomic double over down,Fusion,Atomic far Double Down,3,add_value_diverges,false,observational_note_only,
gauntlet,gauntlet,blurry ducking torque | stepping ducking paradox torque,Gauntlet,Stepping Ducking Torque,2,add_value_diverges,false,observational_note_only,
hatchet,hatchet,,Hatchet,Clipper Diving near Whirl,1,add_value_diverges,false,observational_note_only,
high-plains-drifter,high-plains-drifter,,High Plains Drifter,double-dex Drifter/(midtime) Barraging far Clipper,2,add_value_diverges,false,observational_note_only,
illusion,illusion,,Illusion,(downtime) leggy out dex>op toe,1,add_value_diverges,false,observational_note_only,
