external_name,passback_formula,passback_add,ifpa_slug,ifpa_name,ifpa_formula,overlap_category,pending_red,observational_staging_recommended,notes
Anonymous,Spinning far Miraging Symp. Miraging Refraction,3,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Archnemesis,Barraging near Double Down,4,,,,passback_only_ifpa_missing,false,y,folk-derived; no mechanical decomposition
Armaggedon,Miraging Symp. Eggbeater,3,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Assassin,Pixie Ducking far Mirage,2,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Atom Bomb,"Flailing far Symp. Mirage, Full Symp. Atomsmasher",2,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Atomsmasher,Atomic far Mirage,2,atom-smasher,atom smasher,atomic mirage,agree_formula_name_differs,false,n,
ATW,toe>ss leggy in dex>ss toe,1,around-the-world,Around the World,,agree_formula_name_differs,false,n,
Badger,Symp. Butterfly Swirl,2,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Barfly,Clipper far Double Down,2,barfly,barfly,,agree_name_add_differs,false,n,
Barfry,Nuclear near Butterfly,2,matador,matador,nuclear butterfly | paradox atomic butterfly,agree_formula_name_differs,false,n,
Barrage,double-dex Mirage,2,barrage,barrage,,agree_name_add_differs,false,n,
Barroque,"double-dex Torque, (downtime) Barraging far Osis",2,barraging-osis,barraging osis,,agree_formula_name_differs,false,n,
Bedwetter,Stepping far Eggbeater,3,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Big Apple,"Spinning near Symp. Torque, Symp. Mobius",1,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Big Applesauce,Spinning far Miraging Symp. Torque,2,,,,passback_only_ifpa_missing,true,y,hidden-branch-family candidate; Wave 2-dependent on operator boundary
Big Orange,"Spinning near Symp. Flux, Rev. Big Apple",1,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Blackula,"Toe near Symp. Double Down, Symp DOD",2,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Bladerunner,Atomic far Eggbeater,3,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Blaze,Whirling far Mirage,2,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Blender,(downtime) Whirling Osis,1,blender,blender,whirling osis,agree_name_add_differs,false,n,
Bling Blang,(uptime) Whirling near Whip,2,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Blink,(downtime) Twisting near Toe,1,,,,passback_only_ifpa_missing,false,y,uses external vocabulary IFPA does not recognize
Blizzard,Stepping far Illusion,2,,,,passback_only_ifpa_missing,false,y,Slice R canonical-gap; structurally clean; no Wave 2 dependency
