operator,affected_total,affected_residual,affected_observational,sources,observational_examples,residual_examples
double down (DOD/DDD policy),30,18,12,PassBack+footbag.org,Blurrier; Cold Fusion; Dimmier; Dimmiest; Id; Kiwi,Archnemesis; Blackula; Blurrier; Cold Fusion; Dimmier; Dimmiest
motion,5,3,2,PassBack+footbag.org,Locomotion; Motion Sickness,Locomotion; Motion Sickness; Nemosis
alpine,4,0,4,PassBack,Id; Jackknife; King Koopa; Skullsmasher,
twisting,2,2,0,PassBack,,Blink; What!?
flailing,2,1,1,PassBack+footbag.org+FM,Legbreaker,Legbreaker
grifter,2,1,1,PassBack,Mortal Kombat,Mortal Kombat
mobiusscrew,2,1,1,PassBack,Moby Dick,Moby Dick
ss,2,1,1,PassBack,Jackknife,Jackknife
frantic,2,2,0,PassBack+footbag.org+FM,,E-Walk; Heart
torquescrew,1,0,1,PassBack,Moby Dick,
blocked,1,0,1,PassBack-only,Green Eggs and Ham,
alias,1,0,1,FM,Green Eggs and Ham,
swivel,1,0,1,PassBack,Green Eggs and Ham,
needs,1,0,1,PassBack,Green Eggs and Ham,
mario,1,0,1,PassBack,King Koopa,
calf,1,1,0,PassBack+footbag.org,,Cloud
"""whirl""",1,1,0,PassBack-only,,Cloud
buterfly,1,1,0,PassBack,,Sidewinder
w/,1,1,0,PassBack,,Cloud
on,1,0,1,PassBack+footbag.org,Green Eggs and Ham,
definition,1,0,1,footbag.org,Green Eggs and Ham,
7,1,0,1,PassBack+footbag.org,Green Eggs and Ham,
super,1,0,1,PassBack+footbag.org,King Koopa,
twist,1,1,0,PassBack+footbag.org,,Revstein
symposium-twirl,1,0,1,PassBack-only,Green Eggs and Ham,
add),1,0,1,PassBack-only,Green Eggs and Ham,
kilo,1,1,0,PassBack,,Kilo
gives,1,0,1,PassBack-only,Green Eggs and Ham,
position,1,1,0,PassBack+footbag.org,,Cloud
slicing,1,1,0,PassBack,,Lawn Moir
vs,1,0,1,footbag.org,Green Eggs and Ham,
gryo,1,1,0,PassBack,,Whale Tail
kiwi,1,1,0,PassBack,,Your Sister
authoring:,1,0,1,PassBack-only,Green Eggs and Ham,
