primary_name,normalized,technical_name,alt_names,db_match,db_match_via,independent_families,all_families,independent_source_count,distinct_folk_name,decomposable,classification
Anonymous,anonymous,Spinning far Miraging Symp. Miraging Refraction,,,,Stanford,PassBack|Stanford,1,N,Y,malformed/placeholder
Archnemesis,archnemesis,Barraging near Double Down,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Armaggedon,armaggedon,Miraging Symp. Eggbeater,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Assassin,assassin,Pixie Ducking far Mirage,,assassin,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Atom Bomb,atom-bomb,"Flailing far Symp. Mirage, Full Symp. Atomsmasher",,atom-bomb,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,N,duplicate/recovered (already canonical)
Badger,badger,Symp. Butterfly Swirl,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Barfry,barfry,Nuclear near Butterfly,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Bedwetter,bedwetter,Stepping far Eggbeater,,bedwetter,slug,FM|footbag.org,FM|PassBack|footbag.org,2,Y,Y,duplicate/recovered (already canonical)
Big Apple,big-apple,"Spinning near Symp. Torque, Symp. Mobius",,big-apple,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Big Applesauce,big-applesauce,Spinning far Miraging Symp. Torque,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Big Orange,big-orange,"Spinning near Symp. Flux, Rev. Big Apple",,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Blackula,blackula,"Toe near Symp. Double Down, Symp DOD",,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Bladerunner,bladerunner,Atomic far Eggbeater,,bladerunner,slug,FM,FM|PassBack,1,Y,Y,duplicate/recovered (already canonical)
Blaze,blaze,Whirling far Mirage,,blaze,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Bling Blang,bling-blang,(uptime) Whirling near Whip,,bling-blang,slug,FM,FM|PassBack,1,Y,Y,duplicate/recovered (already canonical)
Blink,blink,(downtime) Twisting near Toe,,,,FM,FM|PassBack,1,Y,N,weakly attested (1 independent source + PassBack)
Blizzard,blizzard,Stepping far Illusion,,blizzard,slug,FM|Stanford|footbag.org,FM|PassBack|Stanford|footbag.org,3,Y,Y,duplicate/recovered (already canonical)
Blurrage,blurrage,Stepping far Barrage,,blurrage,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Blurrier,blurrier,Stepping near Double Down,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Blurtigo,blurtigo,Stepping Ducking far Drifter,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Cardinal Swirl,cardinal-swirl,triple-dex Swirl,Tripstein,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Catacomb,catacomb,Pixie near Drifter,,,,FM,FM|PassBack,1,Y,Y,weakly attested (1 independent source + PassBack)
Chainsaw Massacre,chainsaw-massacre,"(downtime) Illusioning Symp. Illusioning Legover, (downtime) Illusioning Symp. Eggbeater",,chainsaw-massacre,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Cheese Processor,cheese-processor,Surging Ducking far Blender,,,,Stanford,PassBack|Stanford,1,Y,Y,weakly attested (1 independent source + PassBack)
Cloud,cloud,"Calf Stall w/ leg in ""Whirl"" position",,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Clownface,clownface,Barraging far Eggbeater,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Cold Fusion,cold-fusion,"Nuclear far Double Down, Pdx. Fusion",,,,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,strongly attested (>=2 independent sources)
Colossus,colossus,Spinning Diving near Symp. Whirl,,colossus,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
Creature,creature,(downtime) Miraging Symp. Illusion,,,,(none),PassBack,0,Y,Y,single-source only (PassBack-only folk name)
Darkwalk,darkwalk,Pixie Diving near Butterfly,,darkwalk,slug,FM|Stanford,FM|PassBack|Stanford,2,Y,Y,duplicate/recovered (already canonical)
DATW/Double ATW,datwdouble-atw,double-dex ATW,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
DDD/Down Double Down,ddddown-double-down,Clipper near Double Down,,,,(none),PassBack,0,Y,N,single-source only (PassBack-only folk name)
Delusion,delusion,double-dex Illusion,,,,Stanford,PassBack|Stanford,1,Y,N,weakly attested (1 independent source + PassBack)
