slug,fm_add,official_add,fborg_add,fm_technical_name,decomposed_structure,matched_canonical,corroborated,doctrine_gates,unrecognized_tokens,tier,frontier_status,action
big-apple-sauce,9,,,Spinning Paradox Miraging Symposium Torque,spinning-miraging-symposium-torque,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
carousel,9,,,Surging Ducking Paradox Symposium Whirling Rake,spinning-stepping-ducking-symposium-whirling-rake,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
assassin-ss,8,,,Pixie Mirage (ss) (diving),pixie-diving-mirage,pixie-diving-mirage,no,,,B,alias-on-existing,structural duplication -> alias-wire to pixie-diving-mirage (gauntlet pattern)
surging-ducking-paradox-torque,8,,,Surging Ducking Paradox Torque,spinning-stepping-ducking-torque,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
your-sister,8,,,Flailing ss Symposium Double Over Down,symposium-double-over-down,,no,DOD-policy,flailing,C,parser_blocked,unrecognized token(s): flailing -> operator-triage / incomplete decomposition
alpine-big-apple,7,,,Gyro Ducking Symposium Torque,gyro-ducking-symposium-torque,gyro-ducking-symposium-torque,no,,,B,alias-on-existing,structural duplication -> alias-wire to gyro-ducking-symposium-torque (gauntlet pattern)
apocalypse,7,,,Pixie Miraging Symposium Miraging Legover,pixie-miraging-symposium-legover,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
atomotion,7,,,Atomic Motion,atomic,,no,,motion,C,parser_blocked,unrecognized token(s): motion -> operator-triage / incomplete decomposition
big-papa-smurf,7,,,Surfing ss Blender,blender,,no,,surfing,C,parser_blocked,unrecognized token(s): surfing -> operator-triage / incomplete decomposition
bill-ted-s-excellent-adventure,7,,,Flailing ss Symposium Eggbeater,symposium-eggbeater,,no,,flailing,C,parser_blocked,unrecognized token(s): flailing -> operator-triage / incomplete decomposition
blue-widow,7,,,Pixie Spinning Paradox Symposium Whirl,pixie-spinning-symposium-whirl,blue-widow,no,,,B,already-canonical,already canonical/alias — no action
blurry-chainsaw-massacre,7,,,Blurry Illusioning Paradox Symposium Eggbeater,blurry-symposium-eggbeater,,no,blurry-transitivity,,C,frontier_review,doctrine gate(s): blurry-transitivity -> Red
chainsaw-massacre,7,,,Bubba Paradox Symposium Eggbeater,symposium-eggbeater,chainsaw-massacre,no,,bubba,B,already-canonical,already canonical/alias — no action
clown-face,7,,,Furious Eggbeater,furious-eggbeater,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
cold-fusion,7,,,Nuclear Double Over Down,nuclear-double-over-down,,no,DOD-policy,,C,frontier_review,doctrine gate(s): DOD-policy -> Red
dorshanatrix,7,,,Railing Symposium Mirage,symposium-mirage,,no,,railing,C,parser_blocked,unrecognized token(s): railing -> operator-triage / incomplete decomposition
floatation,7,,,Floating Butterfly,butterfly,,no,,floating,C,parser_blocked,unrecognized token(s): floating -> operator-triage / incomplete decomposition
flying-fish,7,,,Railing Ducking Mirage,ducking-mirage,,no,,railing,C,parser_blocked,unrecognized token(s): railing -> operator-triage / incomplete decomposition
gangsta-party,7,,,Spinning Ducking Paradox Blender,spinning-ducking-blender,gangsta-party,no,,,B,already-canonical,already canonical/alias — no action
gauntlet,7,7,,Blurry Ducking Torque,blurry-ducking-torque,gauntlet,yes,blurry-transitivity,,B,already-canonical,already canonical/alias — no action
genesis,7,,,Furious Whirl,furious-whirl,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
genuphobia,7,,,Fairy Spyro Symposium Torque,fairy-symposium-torque,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
icarus,7,,,Atomic Ducking Torque,atomic-ducking-torque,,no,atomic-rotational-Q3,,C,frontier_review,doctrine gate(s): atomic-rotational-Q3 -> Red
kyttyra,7,,,Far Whirling Bent Symposium Swirling Osis,whirling-symposium-swirling-osis,,no,,bent,C,parser_blocked,unrecognized token(s): bent -> operator-triage / incomplete decomposition
liquifier,7,,,Splicing ss Blender,blender,,no,,splicing,C,parser_blocked,unrecognized token(s): splicing -> operator-triage / incomplete decomposition
margaritaville,7,,,Surging Paradox Blender,spinning-stepping-blender,,no,,,B,frontier_review,clean decomp but FM-only -> needs source corroboration
