dimension,base_formula,symbolic_formula,status,failure_class,reason
rotation,TOE > SAME IN [DEX] > SAME TOE [DEL],TOE > SAME IN [DEX:whirl] > SAME TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > SAME TOE [DEL],TOE > SAME IN [DEX:swirl] > SAME TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP TOE [DEL],TOE > SAME IN [DEX:whirl] > OP TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP TOE [DEL],TOE > SAME IN [DEX:swirl] > OP TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME TOE [DEL],TOE > SAME OUT [DEX:whirl] > SAME TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME TOE [DEL],TOE > SAME OUT [DEX:swirl] > SAME TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP TOE [DEL],TOE > SAME OUT [DEX:whirl] > OP TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP TOE [DEL],TOE > SAME OUT [DEX:swirl] > OP TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME TOE [DEL],TOE > OP IN [DEX:whirl] > SAME TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME TOE [DEL],TOE > OP IN [DEX:swirl] > SAME TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > OP TOE [DEL],TOE > OP IN [DEX:whirl] > OP TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > OP TOE [DEL],TOE > OP IN [DEX:swirl] > OP TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME TOE [DEL],TOE > OP OUT [DEX:whirl] > SAME TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > SAME TOE [DEL],TOE > OP OUT [DEX:swirl] > SAME TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP TOE [DEL],TOE > OP OUT [DEX:whirl] > OP TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP OUT [DEX] > OP TOE [DEL],TOE > OP OUT [DEX:swirl] > OP TOE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > SAME INSIDE [DEL],TOE > SAME IN [DEX:whirl] > SAME INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > SAME INSIDE [DEL],TOE > SAME IN [DEX:swirl] > SAME INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP INSIDE [DEL],TOE > SAME IN [DEX:whirl] > OP INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME IN [DEX] > OP INSIDE [DEL],TOE > SAME IN [DEX:swirl] > OP INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME INSIDE [DEL],TOE > SAME OUT [DEX:whirl] > SAME INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > SAME INSIDE [DEL],TOE > SAME OUT [DEX:swirl] > SAME INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP INSIDE [DEL],TOE > SAME OUT [DEX:whirl] > OP INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > SAME OUT [DEX] > OP INSIDE [DEL],TOE > SAME OUT [DEX:swirl] > OP INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME INSIDE [DEL],TOE > OP IN [DEX:whirl] > SAME INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
rotation,TOE > OP IN [DEX] > SAME INSIDE [DEL],TOE > OP IN [DEX:swirl] > SAME INSIDE [DEL],failure,unresolved-grading,"rotational dex grade unpinned: grade-neutral -> ADD unchanged, grade-raising -> +1 (grade 3 on a cross-body landing); the grammar cannot score it"
