slug,canonical_name,adds,trick_family,category,tier,has_set_page,family_has_covered_member,coverage_signal
butterfly_kick,butterfly kick,2,butterfly_kick,compound,ADD2-demo,,,clean-gap
probe,probe,2,clipper,compound,ADD2-demo,,yes,candidate-covered
cloud_stall,cloud stall,2,cloud_stall,surface,ADD2-stall,,,clean-gap
double_spin,double spin,2,double_spin,body,ADD2-demo,,,clean-gap
dragon,dragon,2,dragon,compound,ADD2-demo,,,clean-gap
fairy,fairy,2,fairy,set,ADD2-demo,yes,yes,candidate-covered
bubba,bubba,2,illusion,compound,ADD2-demo,,yes,candidate-covered
guay,guay,2,inside_stall,dex,ADD2-demo,,yes,candidate-covered
inspinning_reverse_guay,inspinning reverse guay,2,inside_stall,compound,ADD2-demo,,yes,candidate-covered
reverse_guay,reverse guay,2,inside_stall,compound,ADD2-demo,,yes,candidate-covered
knee_clipper,knee clipper,2,knee_clipper,compound,ADD2-demo,,,clean-gap
pixie,pixie,2,pixie,set,ADD2-demo,yes,,candidate-covered
toe_clipper,toe clipper,2,toe_clipper,compound,ADD2-demo,,,clean-gap
diving_toe_stall,diving toe stall,2,toe_stall,compound,ADD2-stall,,yes,candidate-covered
ducking_toe_stall,ducking toe stall,2,toe_stall,compound,ADD2-stall,,yes,candidate-covered
inspinning_toe_stall,inspinning toe stall,2,toe_stall,compound,ADD2-stall,,yes,candidate-covered
spinning_toe_stall,spinning toe stall,2,toe_stall,compound,ADD2-stall,,yes,candidate-covered
weaving_toe_stall,weaving toe stall,2,toe_stall,compound,ADD2-stall,,yes,candidate-covered
zulu_toe_stall,zulu toe stall,2,toe_stall,compound,ADD2-stall,,yes,candidate-covered
walk_over,walk over,2,walk_over,body,ADD2-demo,,,clean-gap
wrap,wrap,2,wrap,compound,ADD2-demo,,,clean-gap
3_bag_juggling,3 bag juggling,3,3_bag_juggling,multi-bag,ADD3,,,clean-gap
around_the_world_heel,around the world heel,3,around_the_world,compound,ADD3,,yes,candidate-covered
butterfly_same_side,Butterfly Same Side,3,butterfly,compound,ADD3,,yes,candidate-covered
spinning_butterfly_kick,spinning butterfly kick,3,butterfly_kick,compound,ADD3,,,clean-gap
pixie_clipper,pixie clipper,3,clipper,compound,ADD3,yes,yes,candidate-covered
stepping_clipper_same_side,Stepping Clipper Same Side,3,clipper,compound,ADD3,,yes,candidate-covered
atomic_clipper,atomic clipper,3,clipper_stall,compound,ADD3,,yes,candidate-covered
