region,fiber,launch,landing,landing_grade,landing_lat,dex1,dex2,atlas_coord,pair_kind,swap_partner,symbolic_formula,add,grammar_status,representation,name,notes
2-DEX,toe:toe,toe,toe,1,paired,S.IN.S,S.IN.S,toe:toe/S.IN.S|S.IN.S,diagonal(repeated-dex),toe:toe/S.IN.S|S.IN.S,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.S,S.IN.O,toe:toe/S.IN.S|S.IN.O,off-diagonal(ordered-pair),toe:toe/S.IN.O|S.IN.S,TOE > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.S,S.OUT.S,toe:toe/S.IN.S|S.OUT.S,off-diagonal(ordered-pair),toe:toe/S.OUT.S|S.IN.S,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.S,S.OUT.O,toe:toe/S.IN.S|S.OUT.O,off-diagonal(ordered-pair),toe:toe/S.OUT.O|S.IN.S,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.S,O.IN.S,toe:toe/S.IN.S|O.IN.S,off-diagonal(ordered-pair),toe:toe/O.IN.S|S.IN.S,TOE > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.S,O.IN.O,toe:toe/S.IN.S|O.IN.O,off-diagonal(ordered-pair),toe:toe/O.IN.O|S.IN.S,TOE > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.S,O.OUT.S,toe:toe/S.IN.S|O.OUT.S,off-diagonal(ordered-pair),toe:toe/O.OUT.S|S.IN.S,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.S,O.OUT.O,toe:toe/S.IN.S|O.OUT.O,off-diagonal(ordered-pair),toe:toe/O.OUT.O|S.IN.S,TOE > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.O,S.IN.S,toe:toe/S.IN.O|S.IN.S,off-diagonal(ordered-pair),toe:toe/S.IN.S|S.IN.O,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.O,S.IN.O,toe:toe/S.IN.O|S.IN.O,diagonal(repeated-dex),toe:toe/S.IN.O|S.IN.O,TOE > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.O,S.OUT.S,toe:toe/S.IN.O|S.OUT.S,off-diagonal(ordered-pair),toe:toe/S.OUT.S|S.IN.O,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.O,S.OUT.O,toe:toe/S.IN.O|S.OUT.O,off-diagonal(ordered-pair),toe:toe/S.OUT.O|S.IN.O,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.O,O.IN.S,toe:toe/S.IN.O|O.IN.S,off-diagonal(ordered-pair),toe:toe/O.IN.S|S.IN.O,TOE > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.O,O.IN.O,toe:toe/S.IN.O|O.IN.O,off-diagonal(ordered-pair),toe:toe/O.IN.O|S.IN.O,TOE > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.O,O.OUT.S,toe:toe/S.IN.O|O.OUT.S,off-diagonal(ordered-pair),toe:toe/O.OUT.S|S.IN.O,TOE > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.IN.O,O.OUT.O,toe:toe/S.IN.O|O.OUT.O,off-diagonal(ordered-pair),toe:toe/O.OUT.O|S.IN.O,TOE > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.OUT.S,S.IN.S,toe:toe/S.OUT.S|S.IN.S,off-diagonal(ordered-pair),toe:toe/S.IN.S|S.OUT.S,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.OUT.S,S.IN.O,toe:toe/S.OUT.S|S.IN.O,off-diagonal(ordered-pair),toe:toe/S.IN.O|S.OUT.S,TOE > SAME OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.OUT.S,S.OUT.S,toe:toe/S.OUT.S|S.OUT.S,diagonal(repeated-dex),toe:toe/S.OUT.S|S.OUT.S,TOE > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.OUT.S,S.OUT.O,toe:toe/S.OUT.S|S.OUT.O,off-diagonal(ordered-pair),toe:toe/S.OUT.O|S.OUT.S,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
2-DEX,toe:toe,toe,toe,1,paired,S.OUT.S,O.IN.S,toe:toe/S.OUT.S|O.IN.S,off-diagonal(ordered-pair),toe:toe/O.IN.S|S.OUT.S,TOE > SAME OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],3,valid,unnamed,,"two-dex path, threaded carriage, sequential reading"
