source_slug,neighbor_slug,change_label
around_the_world,orbit,reverse dex direction
around_the_world,pickup,switch circling side
around_the_world,pixie,switch landing side
fairy,illusion,switch circling side
fairy,orbit,switch landing side
fairy,pixie,reverse dex direction
illusion,fairy,switch circling side
illusion,legover,switch landing side
illusion,mirage,reverse dex direction
legover,illusion,switch landing side
legover,orbit,switch circling side
legover,pickup,reverse dex direction
mirage,illusion,reverse dex direction
mirage,pickup,switch landing side
mirage,pixie,switch circling side
orbit,around_the_world,reverse dex direction
orbit,fairy,switch landing side
orbit,legover,switch circling side
pickup,around_the_world,switch circling side
pickup,legover,reverse dex direction
pickup,mirage,switch landing side
pixie,around_the_world,switch landing side
pixie,fairy,reverse dex direction
pixie,mirage,switch circling side
