neighborhood_id,trick_a_slug,trick_b_slug,changed_attribute,change_label,source_coord_a,source_coord_b,provenance_version
one_dex_toe,around_the_world,orbit,dex direction,reverse dex direction,toe:toe/S.IN.S,toe:toe/S.OUT.S,movement-neighbor-v1
one_dex_toe,around_the_world,pickup,circling side,switch circling side,toe:toe/S.IN.S,toe:toe/O.IN.S,movement-neighbor-v1
one_dex_toe,around_the_world,pixie,landing side,switch landing side,toe:toe/S.IN.S,toe:toe/S.IN.O,movement-neighbor-v1
one_dex_toe,fairy,illusion,circling side,switch circling side,toe:toe/S.OUT.O,toe:toe/O.OUT.O,movement-neighbor-v1
one_dex_toe,fairy,orbit,landing side,switch landing side,toe:toe/S.OUT.O,toe:toe/S.OUT.S,movement-neighbor-v1
one_dex_toe,fairy,pixie,dex direction,reverse dex direction,toe:toe/S.OUT.O,toe:toe/S.IN.O,movement-neighbor-v1
one_dex_toe,illusion,legover,landing side,switch landing side,toe:toe/O.OUT.O,toe:toe/O.OUT.S,movement-neighbor-v1
one_dex_toe,illusion,mirage,dex direction,reverse dex direction,toe:toe/O.OUT.O,toe:toe/O.IN.O,movement-neighbor-v1
one_dex_toe,legover,orbit,circling side,switch circling side,toe:toe/O.OUT.S,toe:toe/S.OUT.S,movement-neighbor-v1
one_dex_toe,legover,pickup,dex direction,reverse dex direction,toe:toe/O.OUT.S,toe:toe/O.IN.S,movement-neighbor-v1
one_dex_toe,mirage,pickup,landing side,switch landing side,toe:toe/O.IN.O,toe:toe/O.IN.S,movement-neighbor-v1
one_dex_toe,mirage,pixie,circling side,switch circling side,toe:toe/O.IN.O,toe:toe/S.IN.O,movement-neighbor-v1
