slug,canonical_name,adds,dex_count,trick_family,entry_surface,terminal_surface,unusual_surface_flag,has_body_token,has_flying_marker,review_status,opn
aeon-flux,aeon-flux,5,1,osis,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > SAME OUT [DEX] [PDX] >> (front) SPIN [BOD] > OP CLIP [XBD] [DEL]
anoxia,anoxia,6,1,mirage,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] > DUCK [BOD] >> (no plant while) OP IN [DEX] [PDX] [BOD] > OP TOE [DEL]
assassin,assassin,4,2,mirage,TOE,TOE,False,True,False,expert_reviewed,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP IN [DEX] > OP TOE [DEL]
atomic-eclipse,atomic-eclipse,4,1,eclipse,TOE,TOE,False,True,True,expert_reviewed,TOE > OP OUT [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP TOE [DEL]
atomic-osis,atomic-osis,4,1,osis,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > OP OUT [DEX] > (FRONT) SPIN [BOD] > OP CLIP [XBD] [DEL]
barraging-osis,barraging osis,5,2,osis,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > OP IN [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]
big-apple,big apple,6,1,torque,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] > (no plant while) SAME IN [DEX] [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL]
blender,blender,4,1,osis,SET,CLIPPER,False,True,False,curated,SET > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
blister,blister,4,2,mirage,CLIPPER,TOE,False,True,False,expert_reviewed,CLIP > OP FRONT WHIRL [DEX] >> (back) SPIN [BOD] >> OP IN [DEX] > OP TOE [DEL]
blue-widow,blue-widow,7,2,whirl,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME IN [DEX] >> (back) SPIN [BOD] >> (no plant while) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL]
bullwhip,bullwhip,5,2,bullwhip,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]
butterfly-kick,butterfly-kick,3,1,butterfly,SET,CLIPPER,False,True,True,expert_reviewed,SET > JUMP [BOD] > SAME or OP OUT [DEX] > OP CLIP [XBD]
colossus,colossus,6,1,whirl,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP >> (back) SPIN [BOD] > DIVE [BOD] >> (no plant while) SAME FRONT WHIRL [DEX] [BOD] > OP CLIP [XBD] [DEL]
dark-avenue,dark-avenue,5,2,butterfly,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME OUT [DEX] >> DIVE [BOD] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL]
darkwalk,darkwalk,5,2,butterfly,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > SAME IN [DEX] >> DIVE [BOD] >> SAME OUT [DEX] > OP CLIP [XBD] [DEL]
dragonfly-kick,dragonfly kick,2,0,dragonfly-kick,,,False,True,True,expert_reviewed,flying > dragonfly
ducking-barfly,ducking-barfly,5,2,infinity,CLIPPER,CLIPPER,False,True,False,expert_reviewed,CLIP > DUCK [BOD] > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]
ducking-butterfly,ducking butterfly,4,1,butterfly,SET,CLIPPER,False,True,False,expert_reviewed,SET > (DUCK) [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL]
ducking-clipper,ducking clipper,3,0,clipper-stall,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > DUCK [BOD] > SAME CLIP [XBD] [DEL]
ducking-illusion,ducking-illusion,3,1,illusion,TOE,TOE,False,True,False,expert_reviewed,TOE > DUCK [BOD] > OP OUT [DEX] > OP TOE [DEL]
ducking-legover,ducking-legover,3,1,legover,TOE,TOE,False,True,False,expert_reviewed,TOE > DUCK [BOD] > OP OUT [DEX] > SAME TOE [DEL]
ducking-mirage,ducking-mirage,3,1,mirage,TOE,TOE,False,True,False,expert_reviewed,TOE > DUCK [BOD] > OP IN [DEX] > OP TOE [DEL]
ducking-osis,ducking osis,4,0,osis,SET,OSIS,False,True,False,expert_reviewed,SET > DUCK [BOD] > SAME or OP OSIS [BOD] [XBD] [DEL]
ducking-pickup,ducking-pickup,3,1,pickup,TOE,TOE,False,True,False,expert_reviewed,TOE > DUCK [BOD] > OP IN [DEX] > SAME TOE [DEL]
dyno,dyno,4,1,dyno,SET,CLIPPER,False,True,False,expert_reviewed,SET > OP OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]
ego,ego,6,2,whirl,TOE,CLIPPER,False,True,False,expert_reviewed,TOE > OP OUT [DEX] >> DUCK [BOD] >> OP FRONT WHIRL [DEX] [XDEX] > OP CLIP [XBD] [DEL]
