source,move_name,technical_name,token_count,modifier_count,positional_count,quantifier_count,terminal_token,terminal_class,has_temporal_flag,has_q4_blocked_token,has_operational_leak,source_adds,derived_adds
footbagmoves,69,Nuclear Drifter,2,1,0,0,Drifter,base_or_unknown,no,no,no,6,6
footbagmoves,69,Nuclear Drifter,2,1,0,0,Drifter,base_or_unknown,no,no,no,6,6
footbagmoves,84,Wiggle Butterfly,2,0,0,0,Butterfly,base_or_unknown,no,no,no,5,5
footbagmoves,84,Wiggle Butterfly,2,0,0,0,Butterfly,base_or_unknown,no,no,no,5,5
footbagmoves,Aeon Flux,Nuclear Osis,2,1,0,0,Osis,base_or_unknown,no,no,no,5,5
footbagmoves,Aeon Flux,Nuclear Osis,2,1,0,0,Osis,base_or_unknown,no,no,no,5,5
footbagmoves,Alex Zerbe is the greatest,Spyro Symple Drifter,3,2,0,0,Drifter,base_or_unknown,no,yes,no,4,4
footbagmoves,Alex Zerbe is the greatest,Spyro Symple Drifter,3,2,0,0,Drifter,base_or_unknown,no,yes,no,4,4
footbagmoves,Alpine Big Apple,Gyro Ducking Symposium Torque,4,3,0,0,Torque,base_or_unknown,no,yes,no,7,
footbagmoves,Amadeus,Gyro Dada Curve,3,1,0,0,Curve,base_or_unknown,no,yes,no,5,5
footbagmoves,Amadeus,Gyro Dada Curve,3,1,0,0,Curve,base_or_unknown,no,yes,no,5,5
footbagmoves,Anoxia,Spinning Ducking Paradox Symposium Mirage,5,4,0,0,Mirage,base_or_unknown,no,no,no,6,6
footbagmoves,Anoxia,Spinning Ducking Paradox Symposium Mirage,5,4,0,0,Mirage,base_or_unknown,no,no,no,6,6
footbagmoves,Apocalypse,Pixie Miraging Symposium Miraging Legover,5,4,0,0,Legover,base_or_unknown,no,no,no,7,7
footbagmoves,Arachnophobia,Stepping Diving Double Legover,4,1,0,1,Legover,base_or_unknown,no,no,no,5,5
footbagmoves,Arachnophobia,Stepping Diving Double Legover,4,1,0,1,Legover,base_or_unknown,no,no,no,5,5
footbagmoves,Arch Nemesis,Barraging ss Double Double Down,5,2,1,2,Down,base_or_unknown,no,yes,no,6,6
footbagmoves,Arch Nemesis,Barraging ss Double Double Down,5,2,1,2,Down,base_or_unknown,no,yes,no,6,6
footbagmoves,Arcwalk,Arctic Butterfly,2,0,0,0,Butterfly,base_or_unknown,no,no,no,4,4
footbagmoves,Arcwalk,Arctic Butterfly,2,0,0,0,Butterfly,base_or_unknown,no,no,no,4,4
footbagmoves,Assassin,Pixie Ducking Mirage,3,2,0,0,Mirage,base_or_unknown,no,no,no,4,4
footbagmoves,Assassin,Pixie Ducking Mirage,3,2,0,0,Mirage,base_or_unknown,no,no,no,4,4
footbagmoves,Atom Bomb,Flailing Symposium Mirage,3,2,0,0,Mirage,base_or_unknown,no,yes,no,6,6
footbagmoves,Atom Bomb,Flailing Symposium Mirage,3,2,0,0,Mirage,base_or_unknown,no,yes,no,6,6
footbagmoves,Atomic ss Osis,Tapping Osis,2,1,0,0,Osis,base_or_unknown,no,no,no,4,
footbagmoves,Atomic ss Osis,Tapping Osis,2,1,0,0,Osis,base_or_unknown,no,no,no,4,
footbagmoves,Atomotion,Atomic Motion,2,1,0,0,Motion,base_or_unknown,no,no,no,7,7
footbagmoves,Atomsmasher,Atomic Mirage,2,1,0,0,Mirage,base_or_unknown,no,no,no,3,4
footbagmoves,Avalanche,Stepping Ducking Pdx Illusion,4,2,0,0,Illusion,base_or_unknown,no,no,yes,5,5
footbagmoves,Avalanche,Stepping Ducking Pdx Illusion,4,2,0,0,Illusion,base_or_unknown,no,no,yes,5,5
footbagmoves,Barfly,Far Double Over Down,4,1,1,1,Down,base_or_unknown,no,no,no,4,4
footbagmoves,Barfly,Far Double Over Down,4,1,1,1,Down,base_or_unknown,no,no,no,4,4
footbagmoves,Barfry,Nuclear ss Butterfly,3,2,1,0,Butterfly,base_or_unknown,no,no,no,4,4
footbagmoves,Barfry,Nuclear ss Butterfly,3,2,1,0,Butterfly,base_or_unknown,no,no,no,4,4
footbagmoves,Barrage,Clipper set Double Mirage,4,1,1,1,Mirage,base_or_unknown,no,no,no,3,3
footbagmoves,Barrage (toe set),Clipper set Double Mirage,4,1,1,1,Mirage,base_or_unknown,no,no,no,3,3
footbagmoves,Barroque,Barraging Osis,2,1,0,0,Osis,base_or_unknown,no,yes,no,5,5
footbagmoves,Barroque,Barraging Osis,2,1,0,0,Osis,base_or_unknown,no,yes,no,5,5
footbagmoves,Bedwetter,Blurry Eggbeater,2,1,0,0,Eggbeater,base_or_unknown,no,no,no,5,5
footbagmoves,Bedwetter,Blurry Eggbeater,2,1,0,0,Eggbeater,base_or_unknown,no,no,no,5,5
footbagmoves,Big Apple,Gyro Symposium Torque,3,2,0,0,Torque,base_or_unknown,no,yes,no,6,6
footbagmoves,Big Apple,Gyro Symposium Torque,3,2,0,0,Torque,base_or_unknown,no,yes,no,6,6
footbagmoves,Big Apple Sauce,Spinning Paradox Miraging Symposium Torque,5,4,0,0,Torque,base_or_unknown,no,no,no,9,9
footbagmoves,Big Papa Smurf,Surfing ss Blender,3,2,1,0,Blender,base_or_unknown,no,yes,no,7,7
footbagmoves,Bigwalk,Surging Butterfly,2,1,0,0,Butterfly,base_or_unknown,no,yes,no,5,
footbagmoves,Bigwalk,Surging Butterfly,2,1,0,0,Butterfly,base_or_unknown,no,yes,no,5,5
footbagmoves,Bill & Ted`s Bogus Journey,Flailing ss Symposium Double Legover,5,3,1,1,Legover,base_or_unknown,no,yes,no,6,6
footbagmoves,Bill & Ted`s Bogus Journey,Flailing ss Symposium Double Legover,5,3,1,1,Legover,base_or_unknown,no,yes,no,6,6
footbagmoves,Bill & Ted`s Excellent Adventure,Flailing ss Symposium Eggbeater,4,3,1,0,Eggbeater,base_or_unknown,no,yes,no,7,7
footbagmoves,Blacula,Symposium Double Over Down,4,1,0,1,Down,base_or_unknown,no,no,no,5,5
footbagmoves,Bladerunner,Atomic Eggbeater,2,1,0,0,Eggbeater,base_or_unknown,no,no,no,5,5
footbagmoves,Blaze,Blazing Mirage,2,1,0,0,Mirage,base_or_unknown,no,yes,no,4,3
footbagmoves,Blaze,Blazing Mirage,2,1,0,0,Mirage,base_or_unknown,no,yes,no,4,3
footbagmoves,Blender,Whirling Osis,2,1,0,0,Osis,base_or_unknown,no,no,no,4,4
footbagmoves,Blender,Whirling Osis,2,1,0,0,Osis,base_or_unknown,no,no,no,4,4
footbagmoves,Blender (same side),Whirling Osis,2,1,0,0,Osis,base_or_unknown,no,no,no,4,4
footbagmoves,Bling Blang,Whirling Reverse Whirl,3,2,0,0,Whirl,base_or_unknown,no,no,no,4,4
footbagmoves,Blister,Whirling Gyro Mirage,3,2,0,0,Mirage,base_or_unknown,no,yes,no,4,4
footbagmoves,Blizzard,Blurry Illusion,2,1,0,0,Illusion,base_or_unknown,no,no,no,4,4
footbagmoves,Blue Widow,Pixie Spinning Paradox Symposium Whirl,5,4,0,0,Whirl,base_or_unknown,no,no,no,7,7
footbagmoves,Blur,Blurry Mirage,2,1,0,0,Mirage,base_or_unknown,no,no,no,4,4
footbagmoves,Blurrage,Blurry Barrage,2,1,0,0,Barrage,base_or_unknown,no,no,no,6,6
footbagmoves,Blurrage,Blurry Barrage,2,1,0,0,Barrage,base_or_unknown,no,no,no,6,6
footbagmoves,Blurrier,Stepping Double Over Down,4,1,0,1,Down,base_or_unknown,no,no,no,5,5
footbagmoves,Blurriest,Stepping Barfly,2,1,0,0,Barfly,base_or_unknown,no,no,no,5,5
footbagmoves,Blurry Chainsaw Massacre,Blurry Illusioning Paradox Symposium Eggbeater,5,3,0,0,Eggbeater,base_or_unknown,no,no,no,7,7
footbagmoves,Boulderbeater,Quantum Eggbeater,2,1,0,0,Eggbeater,base_or_unknown,no,no,no,5,5
footbagmoves,Bubba Beater,Bubba Legover,2,1,0,0,Legover,base_or_unknown,no,yes,no,3,3
footbagmoves,Bullwhip,Gyro Double Over Down,4,1,0,1,Down,base_or_unknown,no,yes,no,5,5
footbagmoves,Buttersole,Butterfly Flapper,2,0,0,0,Flapper,base_or_unknown,no,no,no,4,3
footbagmoves,Carousel,Surging Ducking Paradox Symposium Whirling Rake,6,5,0,0,Rake,base_or_unknown,no,yes,no,9,
footbagmoves,Cascade,Ducking Double Legover,3,1,0,1,Legover,base_or_unknown,no,no,no,4,4
footbagmoves,Casket,Fairy ss Drifter,3,2,1,0,Drifter,base_or_unknown,no,yes,no,4,4
footbagmoves,Cataclysm,Neutron Double Legover,3,1,0,1,Legover,base_or_unknown,no,yes,no,5,5
footbagmoves,Catacomb,Pixie ss Drifter,3,2,1,0,Drifter,base_or_unknown,no,no,no,4,4
footbagmoves,Chainsaw Massacre,Bubba Paradox Symposium Eggbeater,4,3,0,0,Eggbeater,base_or_unknown,no,yes,no,7,7
footbagmoves,Clown Face,Furious Eggbeater,2,1,0,0,Eggbeater,base_or_unknown,no,yes,no,7,7
footbagmoves,Cold Fusion,Nuclear Double Over Down,4,1,0,1,Down,base_or_unknown,no,no,no,7,7
footbagmoves,Colossus,Spyro Diving Symposium Whirl,4,2,0,0,Whirl,base_or_unknown,no,yes,no,6,6
footbagmoves,Colossus,Spyro Diving Symposium Whirl,4,2,0,0,Whirl,base_or_unknown,no,yes,no,6,6
footbagmoves,Compound Fracture,Railing ss Double Legover,4,2,1,1,Legover,base_or_unknown,no,yes,no,6,6
footbagmoves,Compound Fracture,Railing ss Double Legover,4,2,1,1,Legover,base_or_unknown,no,yes,no,6,6
