playlist_index,video_id,youtube_url,title,move_name,candidate_slug,resolves_now,bucket,notes
01,E6gqfRFIpNw,https://www.youtube.com/watch?v=E6gqfRFIpNw,Footbag Basics | Inside Kick,Inside Kick,inside-kick,no,NOT_VOCABULARY,trivial kick / mixing drill — not canonical trick vocabulary
02,6qqEOoGWFUU,https://www.youtube.com/watch?v=6qqEOoGWFUU,Footbag Basics | Toe Kick,Toe Kick,toe-kick,no,NOT_VOCABULARY,trivial kick / mixing drill — not canonical trick vocabulary
03,YSd00M4d4yo,https://www.youtube.com/watch?v=YSd00M4d4yo,Footbag Basics | Outside Kick,Outside Kick,outside-kick,no,NOT_VOCABULARY,trivial kick / mixing drill — not canonical trick vocabulary
04,xo6lmasIQP0,https://www.youtube.com/watch?v=xo6lmasIQP0,Footbag Basics | Knee Kick,Knee Kick,knee-kick,no,NOT_VOCABULARY,trivial kick / mixing drill — not canonical trick vocabulary
05,GVMuSqBIjBk,https://www.youtube.com/watch?v=GVMuSqBIjBk,Footbag Basics | Mixing kicks,Mixing kicks,mixing-kicks,no,NOT_VOCABULARY,trivial kick / mixing drill — not canonical trick vocabulary
06,MS-VCYUT-nc,https://www.youtube.com/watch?v=MS-VCYUT-nc,Footbag Basics | Toe Stall,Toe Stall,toe-stall,yes,CURATABLE,atom/fundamental tutorial; resolves to toe-stall
07,AZb4Z0ShIsM,https://www.youtube.com/watch?v=AZb4Z0ShIsM,Footbag Basics | Inside Stall,Inside Stall,inside-stall,yes,CURATABLE,atom/fundamental tutorial; resolves to inside-stall
08,iaYmreCam0U,https://www.youtube.com/watch?v=iaYmreCam0U,Footbag Basics | Clipper,Clipper,clipper-stall,yes,CURATABLE,atom/fundamental tutorial; resolves to clipper-stall
09,vLpeyHj198g,https://www.youtube.com/watch?v=vLpeyHj198g,Footbag Basics | Mixing stalls,Mixing stalls,mixing-stalls,no,NOT_VOCABULARY,trivial kick / mixing drill — not canonical trick vocabulary
10,ZdNHsdIToVQ,https://www.youtube.com/watch?v=ZdNHsdIToVQ,Footbag Basics | Around the World,Around the World,around-the-world,yes,CURATABLE,atom/fundamental tutorial; resolves to around-the-world
11,_kCOEdjr9yk,https://www.youtube.com/watch?v=_kCOEdjr9yk,Footbag Basics | Orbit,Orbit,orbit,yes,CURATABLE,atom/fundamental tutorial; resolves to orbit
12,hbMofEsEntY,https://www.youtube.com/watch?v=hbMofEsEntY,Footbag Basics | Legover,Legover,legover,no,CURATABLE,resolves to canonical slug legover (core atom)
13,HRSN02lS5Xs,https://www.youtube.com/watch?v=HRSN02lS5Xs,Footbag Basics | Mirage,Mirage,mirage,yes,CURATABLE,atom/fundamental tutorial; resolves to mirage
14,eNCEiMlpbjo,https://www.youtube.com/watch?v=eNCEiMlpbjo,Footbag Basics | Illusion,Illusion,illusion,yes,CURATABLE,atom/fundamental tutorial; resolves to illusion
15,tUtu7J0qTYM,https://www.youtube.com/watch?v=tUtu7J0qTYM,Footbag Basics | Pickup,Pickup,pickup,yes,CURATABLE,atom/fundamental tutorial; resolves to pickup
16,BKh6KvfTj1g,https://www.youtube.com/watch?v=BKh6KvfTj1g,Footbag Basics | Paradox Mirage,Paradox Mirage,paradox-mirage,yes,CURATABLE,atom/fundamental tutorial; resolves to paradox-mirage
17,YhA1zXaaldQ,https://www.youtube.com/watch?v=YhA1zXaaldQ,Footbag Basics | Butterfly,Butterfly,butterfly,yes,CURATABLE,atom/fundamental tutorial; resolves to butterfly
18,2joGZAEcbQA,https://www.youtube.com/watch?v=2joGZAEcbQA,Footbag Basics | Osis,Osis,osis,yes,CURATABLE,atom/fundamental tutorial; resolves to osis
19,eOQ55MheW2w,https://www.youtube.com/watch?v=eOQ55MheW2w,Footbag Basics | Double ATW,Double ATW,double-around-the-world,yes,CURATABLE,atom/fundamental tutorial; resolves to double-around-the-world
20,-uuNScZV2kM,https://www.youtube.com/watch?v=-uuNScZV2kM,Footbag Basics | Double Orbit,Double Orbit,double-orbit,no,PENDING_NEW_CANONICAL,curatable once double-orbit canonical row is added (this session)
