playlist_index,video_id,youtube_url,title,category,content_type,move_name,candidate_slug,resolves_now,normalized_slug,bucket,notes
01,tzzJp6nJl6U,https://youtu.be/tzzJp6nJl6U,Ducking DLO | Footbag Trick,Footbag Trick,single_trick,Ducking DLO,ducking-dlo,no,ducking-double-leg-over,NORMALIZE_THEN_CURATE,resolves after slug-normalization (ducking-dlo->ducking-double-leg-over)
02,oAKbKVcckdg,https://youtu.be/oAKbKVcckdg,Smear Kick DATW | Footbag Trick,Footbag Trick,single_trick,Smear Kick DATW,smear-kick-datw,no,smear-kick-double-around-the-world,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
03,iyDWH1q96SM,https://youtu.be/iyDWH1q96SM,Gyro Whiz-Hopover Swirl | Footbag Combo,Footbag Combo,sequence,Gyro Whiz-Hopover Swirl,gyro-whiz-hopover-swirl,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
04,bhKcGOul7Gc,https://youtu.be/bhKcGOul7Gc,Knee Bump Ducking Mirage-Double Pickup Burger | Footbag Combo,Footbag Combo,sequence,Knee Bump Ducking Mirage-Double Pickup Burger,knee-bump-ducking-mirage-double-pickup-burger,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
05,l6sKr6SmTKU,https://youtu.be/l6sKr6SmTKU,Pigbeater-Double Down Swirl | Footbag Combo,Footbag Combo,sequence,Pigbeater-Double Down Swirl,pigbeater-double-down-swirl,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
06,6J8deH5w07o,https://youtu.be/6J8deH5w07o,Hopover Swirl-Tombstone-Flurry | Footbag Sick 3,Footbag Sick 3,sequence,Hopover Swirl-Tombstone-Flurry,hopover-swirl-tombstone-flurry,no,,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
07,R801PtQ-LNs,https://youtu.be/R801PtQ-LNs,Spanishfly | Footbag Trick,Footbag Trick,single_trick,Spanishfly,spanishfly,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
08,FGp0XlZFiu0,https://youtu.be/FGp0XlZFiu0,Blurry Grifter | Footbag Trick,Footbag Trick,single_trick,Blurry Grifter,blurry-grifter,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
09,dgVoXi_7JVs,https://youtu.be/dgVoXi_7JVs,Eggbeater-DATW rpt | Footbag Drill,Footbag Drill,sequence,Eggbeater-DATW rpt,eggbeater-datw-rpt,no,eggbeater-double-around-the-world-rpt,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
10,_bkPq_9LcVg,https://youtu.be/_bkPq_9LcVg,Footbag Trick | Double Blender,Footbag Trick,single_trick,Double Blender,double-blender,no,,RULING_NEEDED,novel/folk name; no canonical slug — curator/Red ruling
11,osaJWY23FXU,https://youtu.be/osaJWY23FXU,Footbag Combo | Pixie ss Symp Swirl-Gyro DLO,Footbag Combo,sequence,Pixie ss Symp Swirl-Gyro DLO,pixie-ss-symp-swirl-gyro-dlo,no,pixie-symposium-swirl-gyro-double-leg-over,SEQUENCE_LAYER,"combo/drill — sequence-analysis surface, not trick media"
