"source_file","passback_primary_name","passback_alternate_names","passback_technical_name","passback_uptime_component","passback_downtime_component","passback_dex_count","passback_notes","normalized_primary_name","candidate_trick_slug","match_status","match_reason","match_confidence","passback_dex_count_vs_ifpa_adds","review_status","operator_notes"
"passback-dicrionary.txt","Atomsmasher","","Atomic far Mirage","Atomic","Mirage","2","","atomsmasher","atom-smasher","matched_existing","exact_alias_text","high","-2","auto_ok",""
"passback-dicrionary.txt","ATW","Around the World","toe>ss leggy in dex>ss toe","","","1","","atw","around-the-world","matched_existing","exact_alias_text","high","-1","auto_ok",""
"passback-dicrionary.txt","Barfly","","Clipper far Double Down","","Double Down","2","","barfly","barfly","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Barrage","","double-dex Mirage","","Barrage","2","","barrage","barrage","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Barroque","","double-dex Torque, (downtime) Barraging far Osis","","","2","","barroque","barraging-osis","matched_existing","exact_alias_text","high","-3","auto_ok",""
"passback-dicrionary.txt","Blender","","(downtime) Whirling Osis","","Whirl, Osis","1","","blender","blender","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Blur","","Stepping far Mirage","Stepping","Mirage","2","","blur","blur","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Blurriest","","Stepping far Double Down","Stepping","Double Down","3","","blurriest","blurriest","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Bullwhip","","Spinning near Double Down","Spinning","Double Down","2","","bullwhip","bullwhip","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Butterfly","Down","(downtime) hippy out dex>ss clipper","","Butterfly","1","","butterfly","butterfly","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Clipper","","xbd inside stall","","","0","","clipper","clipper","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Dada Curve","","(downtime) Miraging far Symp. Butterfly","","","2","","dada-curve","dada-curve","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Dimwalk","","Pixie far Butterfly","Pixie","Butterfly","2","","dimwalk","dimwalk","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Drifter","","(downtime) Miraging far Clipper","","Drifter","1","","drifter","drifter","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Dyno","","(downtime) Whipping Osis","","Dyno","1","","dyno","dyno","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Eggbeater","","(downtime) Illusioning Legover","","Eggbeater","2","","eggbeater","eggbeater","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Flail","","Symp. Illusion","","","1","","flail","flail","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Flapper","","Xbd Sole Stall","","","","","flapper","cross-body-sole-stall","matched_existing","exact_alias_text","high","","auto_ok",""
"passback-dicrionary.txt","Flurry","","(midtime) Barraging far Legover","","","3","","flurry","flurry","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Fog","","Stepping far DLO","Stepping","DLO","3","","fog","fog","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Food Processor","Food","Stepping far Blender","Stepping","Blender","2","","food-processor","food-processor","matched_existing","exact_slug","high","-4","auto_ok",""
"passback-dicrionary.txt","Fury","","Barraging far Mirage","Barraging","Mirage","3","","fury","fury","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Fusion","","Atomic far Double Down","Atomic","Double Down","3","","fusion","fusion","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Gauntlet","","Stepping Ducking Torque","Stepping","Torque","2","","gauntlet","gauntlet","matched_existing","exact_slug","high","-5","auto_ok",""
"passback-dicrionary.txt","Gravedigger","","Stepping near Torque","Stepping","Torque","2","","gravedigger","grave-digger","matched_existing","compact_slug_match","medium","-3","auto_ok",""
"passback-dicrionary.txt","Guay","","Pickup","","","","","guay","guay","matched_existing","exact_slug","high","","auto_ok",""
"passback-dicrionary.txt","Hatchet","","Clipper Diving near Whirl","","Whirl","1","","hatchet","hatchet","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","High Plains Drifter","","double-dex Drifter/(midtime) Barraging far Clipper","","","2","","high-plains-drifter","high-plains-drifter","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Illusion","","(downtime) leggy out dex>op toe","","Illusion","1","","illusion","illusion","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Legbeater","","Atomic far Butterfly","Atomic","Butterfly","2","discovered by watching Blur in reverse","legbeater","atomic-butterfly","matched_existing","exact_alias_text","high","-2","auto_ok",""
"passback-dicrionary.txt","Legeater","","(downtime) Miraging Pickup","Atomic","Butterfly","2","","legeater","legeater","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Legover","Switch","(downtime) leggy out dex>ss toe","","Legover","1","","legover","legover","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Magellan","","Pixie near Legover","Pixie","Legover","2","","magellan","magellan","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Marius","","Spinning Torque","Spinning","Torque","1","","marius","spinning-torque","matched_existing","exact_alias_text","high","-4","auto_ok",""
"passback-dicrionary.txt","Matador","","Nuclear far Butterfly","Nuclear","Butterfly","2","","matador","matador","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Merkon","","Spinning Legover","Spinning","Legover","1","","merkon","merkon","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Mind Bender","","Clipper Ducking far Blender","","Blender","1","","mind-bender","mind-bender","matched_existing","exact_slug","high","-5","auto_ok",""
"passback-dicrionary.txt","Mirage","","(downtime) hippy in dex>op toe","","Mirage","1","","mirage","mirage","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Mobius","","Gyro Torque","Spinning","Torque","1","","mobius","mobius","matched_existing","exact_slug","high","-4","auto_ok",""
"passback-dicrionary.txt","Montage","","Spinning Ducking far Symp. Whirl","Spinning","Symp. Whirl","1","","montage","montage","matched_existing","exact_slug","high","-6","auto_ok",""
"passback-dicrionary.txt","Mullet","","Clipper Ducking far Symp. Whirl, Symp. Tomahwak","","Symp. Whirl","1","","mullet","mullet","matched_existing","exact_slug","high","-5","auto_ok",""
"passback-dicrionary.txt","Nemesis","","Barraging far Double Down","Barraging","Double Down","4","","nemesis","nemesis","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Osis","","(downtime) Gyro Clipper","","Osis","0","","osis","osis","matched_existing","exact_slug","high","-3","auto_ok",""
