"trick_slug","source_id","external_ref","external_url","asserted_adds","asserted_notation","asserted_category","notes"
"atom-smasher","passback_dictionary","Atomsmasher","","2","pb_tech=Atomic far Mirage; uptime=Atomic; downtime=Mirage","","pb_dex_count=2"
"around-the-world","passback_dictionary","ATW","","1","pb_tech=toe>ss leggy in dex>ss toe","","pb_dex_count=1"
"barfly","passback_dictionary","Barfly","","2","pb_tech=Clipper far Double Down; downtime=Double Down","","pb_dex_count=2"
"barrage","passback_dictionary","Barrage","","2","pb_tech=double-dex Mirage; downtime=Barrage","","pb_dex_count=2"
"barraging-osis","passback_dictionary","Barroque","","2","pb_tech=double-dex Torque, (downtime) Barraging far Osis","","pb_dex_count=2"
"blender","passback_dictionary","Blender","","1","pb_tech=(downtime) Whirling Osis; downtime=Whirl, Osis","","pb_dex_count=1"
"blur","passback_dictionary","Blur","","2","pb_tech=Stepping far Mirage; uptime=Stepping; downtime=Mirage","","pb_dex_count=2"
"blurriest","passback_dictionary","Blurriest","","3","pb_tech=Stepping far Double Down; uptime=Stepping; downtime=Double Down","","pb_dex_count=3"
"bullwhip","passback_dictionary","Bullwhip","","2","pb_tech=Spinning near Double Down; uptime=Spinning; downtime=Double Down","","pb_dex_count=2"
"butterfly","passback_dictionary","Butterfly","","1","pb_tech=(downtime) hippy out dex>ss clipper; downtime=Butterfly","","pb_dex_count=1"
"clipper","passback_dictionary","Clipper","","0","pb_tech=xbd inside stall","","pb_dex_count=0"
"dada-curve","passback_dictionary","Dada Curve","","2","pb_tech=(downtime) Miraging far Symp. Butterfly","","pb_dex_count=2"
"dimwalk","passback_dictionary","Dimwalk","","2","pb_tech=Pixie far Butterfly; uptime=Pixie; downtime=Butterfly","","pb_dex_count=2"
"drifter","passback_dictionary","Drifter","","1","pb_tech=(downtime) Miraging far Clipper; downtime=Drifter","","pb_dex_count=1"
"dyno","passback_dictionary","Dyno","","1","pb_tech=(downtime) Whipping Osis; downtime=Dyno","","pb_dex_count=1"
"eggbeater","passback_dictionary","Eggbeater","","2","pb_tech=(downtime) Illusioning Legover; downtime=Eggbeater","","pb_dex_count=2"
"flail","passback_dictionary","Flail","","1","pb_tech=Symp. Illusion","","pb_dex_count=1"
"cross-body-sole-stall","passback_dictionary","Flapper","","","pb_tech=Xbd Sole Stall","",""
"flurry","passback_dictionary","Flurry","","3","pb_tech=(midtime) Barraging far Legover","","pb_dex_count=3"
"fog","passback_dictionary","Fog","","3","pb_tech=Stepping far DLO; uptime=Stepping; downtime=DLO","","pb_dex_count=3"
"food-processor","passback_dictionary","Food Processor","","2","pb_tech=Stepping far Blender; uptime=Stepping; downtime=Blender","","pb_dex_count=2"
"fury","passback_dictionary","Fury","","3","pb_tech=Barraging far Mirage; uptime=Barraging; downtime=Mirage","","pb_dex_count=3"
"fusion","passback_dictionary","Fusion","","3","pb_tech=Atomic far Double Down; uptime=Atomic; downtime=Double Down","","pb_dex_count=3"
"gauntlet","passback_dictionary","Gauntlet","","2","pb_tech=Stepping Ducking Torque; uptime=Stepping; downtime=Torque","","pb_dex_count=2"
"grave-digger","passback_dictionary","Gravedigger","","2","pb_tech=Stepping near Torque; uptime=Stepping; downtime=Torque","","pb_dex_count=2"
"guay","passback_dictionary","Guay","","","pb_tech=Pickup","",""
"hatchet","passback_dictionary","Hatchet","","1","pb_tech=Clipper Diving near Whirl; downtime=Whirl","","pb_dex_count=1"
"high-plains-drifter","passback_dictionary","High Plains Drifter","","2","pb_tech=double-dex Drifter/(midtime) Barraging far Clipper","","pb_dex_count=2"
"illusion","passback_dictionary","Illusion","","1","pb_tech=(downtime) leggy out dex>op toe; downtime=Illusion","","pb_dex_count=1"
"atomic-butterfly","passback_dictionary","Legbeater","","2","pb_tech=Atomic far Butterfly; uptime=Atomic; downtime=Butterfly","","pb_dex_count=2 | pb_notes=discovered by watching Blur in reverse"
"legeater","passback_dictionary","Legeater","","2","pb_tech=(downtime) Miraging Pickup; uptime=Atomic; downtime=Butterfly","","pb_dex_count=2"
"legover","passback_dictionary","Legover","","1","pb_tech=(downtime) leggy out dex>ss toe; downtime=Legover","","pb_dex_count=1"
"magellan","passback_dictionary","Magellan","","2","pb_tech=Pixie near Legover; uptime=Pixie; downtime=Legover","","pb_dex_count=2"
"spinning-torque","passback_dictionary","Marius","","1","pb_tech=Spinning Torque; uptime=Spinning; downtime=Torque","","pb_dex_count=1"
"matador","passback_dictionary","Matador","","2","pb_tech=Nuclear far Butterfly; uptime=Nuclear; downtime=Butterfly","","pb_dex_count=2"
"merkon","passback_dictionary","Merkon","","1","pb_tech=Spinning Legover; uptime=Spinning; downtime=Legover","","pb_dex_count=1"
"mind-bender","passback_dictionary","Mind Bender","","1","pb_tech=Clipper Ducking far Blender; downtime=Blender","","pb_dex_count=1"
"mirage","passback_dictionary","Mirage","","1","pb_tech=(downtime) hippy in dex>op toe; downtime=Mirage","","pb_dex_count=1"
"mobius","passback_dictionary","Mobius","","1","pb_tech=Gyro Torque; uptime=Spinning; downtime=Torque","","pb_dex_count=1"
"montage","passback_dictionary","Montage","","1","pb_tech=Spinning Ducking far Symp. Whirl; uptime=Spinning; downtime=Symp. Whirl","","pb_dex_count=1"
"mullet","passback_dictionary","Mullet","","1","pb_tech=Clipper Ducking far Symp. Whirl, Symp. Tomahwak; downtime=Symp. Whirl","","pb_dex_count=1"
"nemesis","passback_dictionary","Nemesis","","4","pb_tech=Barraging far Double Down; uptime=Barraging; downtime=Double Down","","pb_dex_count=4"
"osis","passback_dictionary","Osis","","0","pb_tech=(downtime) Gyro Clipper; downtime=Osis","","pb_dex_count=0"
"paradon","passback_dictionary","Paradon","","2","pb_tech=Toe far Double Down; downtime=Double Down","","pb_dex_count=2"
"parkwalk","passback_dictionary","Parkwalk","","2","pb_tech=Pixie near Butterfly; uptime=Pixie; downtime=Butterfly","","pb_dex_count=2"
"paste","passback_dictionary","Paste","","2","pb_tech=Pixie far Pickup; uptime=Pixie; downtime=Pickup","","pb_dex_count=2"
"phoenix","passback_dictionary","Phoenix","","2","pb_tech=Pixie Ducking Butterfly; uptime=Pixie; downtime=Butterfly","","pb_dex_count=2"
"pickup","passback_dictionary","Pickup","","1","pb_tech=(downtime) leggy in dex>ss toe; downtime=Pickup","","pb_dex_count=1"
"pigbeater","passback_dictionary","Pigbeater","","3","pb_tech=Pixie far Eggbeater; uptime=Pixie; downtime=Eggbeater","","pb_dex_count=3"
"plasma","passback_dictionary","Plasma","","3","pb_tech=Quantum far Double Down; uptime=Quantum; downtime=Double Down","","pb_dex_count=3"
"pogo","passback_dictionary","Pogo","","2","pb_tech=Pogo far Mirage, (uptime) Symp. Miraging far Mirage; uptime=Pogo; downtime=Mirage","","pb_dex_count=2 | conflict_delta=2"
"paradox-symposium-whirl","passback_dictionary","PS Whirl","","","pb_tech=Pdx Symp Whirl, Clipper far Symp Whirl","",""
"reaper","passback_dictionary","Reaper","","2","pb_tech=Clipper far DSO; downtime=DSO","","pb_dex_count=2"
"refraction","passback_dictionary","Refraction","","1","pb_tech=Butterfy near Osis; downtime=Refraction","","pb_dex_count=1"
"rev-up","passback_dictionary","Revup","","2","pb_tech=(downtime) Twisting near Pickup","","pb_dex_count=2"
"ripstein","passback_dictionary","Ripstein","","2","pb_tech=double-dex Swirl, Swirling near Swirl; uptime=Swirling","","pb_dex_count=2"
"ripwalk","passback_dictionary","Ripwalk","","2","pb_tech=Stepping far Butterfly; uptime=Stepping; downtime=Butterfly","","pb_dex_count=2"
"royale","passback_dictionary","Royale","","1","pb_tech=Clipper far Grifter; downtime=Grifter","","pb_dex_count=1"
"smear","passback_dictionary","Smear","","2","pb_tech=Pixie Mirage; uptime=Pixie; downtime=Mirage","","pb_dex_count=2"
"smog","passback_dictionary","Smog","","3","pb_tech=Pixie far DLO; uptime=Pixie; downtime=DLO","","pb_dex_count=3"
"smoke","passback_dictionary","Smoke","","2","pb_tech=Pixie far Drifter; uptime=Pixie; downtime=Drifter","","pb_dex_count=2"
"smudge","passback_dictionary","Smudge","","2","pb_tech=Pixie Illusion; uptime=Pixie; downtime=Illusion","","pb_dex_count=2"
"spender","passback_dictionary","Spender","","1","pb_tech=Spinning far Blender; uptime=Spinning; downtime=Blender","","pb_dex_count=1"
"sumo","passback_dictionary","Sumo","","2","pb_tech=Nuclear far Mirage; uptime=Nuclear; downtime=Mirage","","pb_dex_count=2"
"superfly","passback_dictionary","Superfly","","2","pb_tech=Clipper far Symp. Double Down; downtime=Symp. Double Down","","pb_dex_count=2"
"surge","passback_dictionary","Surge","","2","pb_tech=Surging far Mirage; uptime=Surging; downtime=Mirage","","pb_dex_count=2"
"surreal","passback_dictionary","Surreal","","2","pb_tech=Surging far Whirl; uptime=Surging; downtime=Whirl","","pb_dex_count=2"
"swirl","passback_dictionary","Swirl","","1","pb_tech=(downtime) xbd leggy out dex>ss clipper; downtime=Swirl","","pb_dex_count=1"
"tap","passback_dictionary","Tap","","2","pb_tech=Atomic near Mirage; uptime=Atomic; downtime=Mirage","","pb_dex_count=2"
"terrage","passback_dictionary","Terrage","","2","pb_tech=(midtime) Toe near Barrage, double-dex ""Pixie""","","pb_dex_count=2 | pb_notes=Before ""Pixie"" referred to the uptime set, it referred to a Toe near Mirage"
"quantum","passback_dictionary","Toe Blur","","","pb_tech=Quantum far Mirage; uptime=Quantum; downtime=Mirage","","pb_dex_count=2"
"tomahawk","passback_dictionary","Tomahawk","","1","pb_tech=Clipper Ducking far Whirl; downtime=Whirl","","pb_dex_count=1"
"tombstone","passback_dictionary","Tombstone","","2","pb_tech=Stepping near Drifter; uptime=Stepping; downtime=Drifter","","pb_dex_count=2"
"torque","passback_dictionary","Torque","","1","pb_tech=(downtime) Miraging far Osis; downtime=Mirage, Osis","","pb_dex_count=1"
"tripwalk","passback_dictionary","Tripwalk","","2","pb_tech=Quantum far Butterfly; uptime=Quantum; downtime=Butterfly","","pb_dex_count=2"
"venom","passback_dictionary","Venom","","3","pb_tech=Surging far Double Down; uptime=Surging; downtime=Double Down","","pb_dex_count=3"
"vortex","passback_dictionary","Vortex","","1","pb_tech=Spinning near Drifter; uptime=Spinning; downtime=Drifter","","pb_dex_count=1"
"walk-over","passback_dictionary","Walkover","","","pb_tech=Inside Stall>place foot on ground>step over into Clipper, or reverse direction","",""
"rev-whirl","passback_dictionary","Whip","","1","pb_tech=Rev. Whirl; downtime=Whip","","pb_dex_count=1"
"whirl","passback_dictionary","Whirl","","1","pb_tech=(downtime) leggy in dex>ss clipper; downtime=Whirl","","pb_dex_count=1"
"spinning-symposium-whirl","passback_dictionary","Whirlwind","","1","pb_tech=Spinning far Symp. Whirl; uptime=Spinning; downtime=Symp. Whirl","","pb_dex_count=1"
"around-the-world","passback_dictionary","ATW","","","","","pb_notes=Dex/Rev directions are reversed between sports"
"clipper","passback_dictionary","Clipper","","","","",""
"double-leg-over","passback_dictionary","DLO","","","","",""
