"source_file","passback_primary_name","passback_alternate_names","passback_technical_name","passback_uptime_component","passback_downtime_component","passback_dex_count","passback_notes","normalized_primary_name","candidate_trick_slug","match_status","match_reason","match_confidence","passback_dex_count_vs_ifpa_adds","review_status","operator_notes"
"passback-dicrionary.txt","Anonymous","","Spinning far Miraging Symp. Miraging Refraction","Spinning","","3","","anonymous","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Archnemesis","","Barraging near Double Down","Barraging","Double Down","4","","archnemesis","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Armaggedon","","Miraging Symp. Eggbeater","","","3","","armaggedon","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Assassin","","Pixie Ducking far Mirage","Pixie","Mirage","2","","assassin","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Atom Bomb","","Flailing far Symp. Mirage, Full Symp. Atomsmasher","Flailing","Symp Mirage","2","","atom-bomb","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Atomsmasher","","Atomic far Mirage","Atomic","Mirage","2","","atomsmasher","atom-smasher","matched_existing","exact_alias_text","high","-2","auto_ok",""
"passback-dicrionary.txt","ATW","Around the World","toe>ss leggy in dex>ss toe","","","1","","atw","around-the-world","matched_existing","exact_alias_text","high","-1","auto_ok",""
"passback-dicrionary.txt","Badger","","Symp. Butterfly Swirl","","Symp. Butterfly Swirl","2","","badger","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Barfly","","Clipper far Double Down","","Double Down","2","","barfly","barfly","matched_existing","exact_slug","high","-2","auto_ok",""
"passback-dicrionary.txt","Barfry","","Nuclear near Butterfly","Nuclear","Butterfly","2","","barfry","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Barrage","","double-dex Mirage","","Barrage","2","","barrage","barrage","matched_existing","exact_slug","high","-1","auto_ok",""
"passback-dicrionary.txt","Barroque","","double-dex Torque, (downtime) Barraging far Osis","","","2","","barroque","barraging-osis","matched_existing","exact_alias_text","high","-3","auto_ok",""
"passback-dicrionary.txt","Bedwetter","","Stepping far Eggbeater","Stepping","Eggbeater","3","","bedwetter","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Big Apple","","Spinning near Symp. Torque, Symp. Mobius","","","1","","big-apple","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Big Applesauce","","Spinning far Miraging Symp. Torque","","","2","","big-applesauce","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Big Orange","","Spinning near Symp. Flux, Rev. Big Apple","","","1","","big-orange","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Blackula","","Toe near Symp. Double Down, Symp DOD","","Symp. Double Down","2","","blackula","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Bladerunner","","Atomic far Eggbeater","Atomic","Eggbeater","3","sister trick to Predator","bladerunner","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Blaze","","Whirling far Mirage","Whirling","Mirage","2","","blaze","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Blender","","(downtime) Whirling Osis","","Whirl, Osis","1","","blender","blender","matched_existing","exact_slug","high","-3","auto_ok",""
"passback-dicrionary.txt","Bling Blang","","(uptime) Whirling near Whip","Whirling","Whip/Rev Whirl","2","","bling-blang","","new_candidate","no_match","medium","","needs_review",""
"passback-dicrionary.txt","Blink","","(downtime) Twisting near Toe","","Twist/Rev Swirl","1","","blink","","new_candidate","no_match","medium","","needs_review",""
