"name","slug","source_corpus","provenance","cleaned_for_parse","base_trick","modifier_stack","decomposition","provisional_add","job_status","parser_confidence","doctrine_confidence","structurally_readable","mechanically_derivable","doctrine_stable","observationally_extrapolated","culturally_canonical","unresolved_tokens","missing_modifier_weights","failure_class","source_adds"
"69","69","footbagmoves","footbagmoves","69","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","69","","folk-name-opacity","6"
"84","84","footbagmoves","footbagmoves","84","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","84","","folk-name-opacity","5"
"Alex Zerbe is the greatest","alex-zerbe-is-the-greatest","footbagmoves","footbagmoves","alex zerbe is the greatest","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","alex|zerbe|is|the|greatest","","folk-name-opacity","4"
"Alpine Big Apple","alpine-big-apple","footbagmoves","footbagmoves","alpine big apple","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","alpine|big|apple","","folk-name-opacity","7"
"Alpine Magellan","alpine-magellan","passback","passback","alpine magellan","magellan","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","alpine","","unresolved-directional-syntax","4"
"Alpine Paste","alpine-paste","passback","passback","alpine paste","paste","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","alpine","","unresolved-directional-syntax","3,4"
"Alpine Pigbeater","alpine-pigbeater","passback","passback","alpine pigbeater","pigbeater","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","alpine","","unresolved-directional-syntax","5"
"Alpine PLO","alpine-plo","passback","passback","alpine plo","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","alpine|plo","","folk-name-opacity","4"
"Alpine Smog","alpine-smog","passback","passback","alpine smog","smog","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","alpine","","unresolved-directional-syntax","5"
"Alpine Smudge","alpine-smudge","passback","passback","alpine smudge","smudge","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","alpine","","unresolved-directional-syntax","4"
"Amadeus","amadeus","footbagmoves","footbagmoves","amadeus","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","amadeus","","folk-name-opacity","5"
"Apocalypse","apocalypse","footbagmoves","footbagmoves","apocalypse","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","apocalypse","","folk-name-opacity","7"
"Arachnophobia","arachnophobia","footbagmoves","footbagmoves","arachnophobia","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","arachnophobia","","folk-name-opacity","5"
"Arch Nemesis","arch-nemesis","footbagmoves","footbagmoves","arch nemesis","nemesis","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","arch","","unknown-modifier-token","6"
"Arcwalk","arcwalk","footbagmoves","footbagmoves","arcwalk","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","arcwalk","","folk-name-opacity","4"
"Atomic DLO","atomic-dlo","footbagmoves","footbagmoves","atomic double leg over","","atomic","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","double|leg|over","","ambiguous-terminal-mechanic","5"
"Atomic Drifter","atomic-drifter","footbagmoves","footbagmoves","atomic drifter","drifter","atomic","atomic(+1) + drifter(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","5"
"Atomic Legover (same side)","atomic-legover","footbagmoves","footbagmoves","atomic legover","legover","atomic","atomic(+1) + legover(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","3"
"Atomic Pickup (same side)","atomic-pickup","multi","footbagmoves,passback","atomic pickup","pickup","atomic","atomic(+1) + pickup(2) = 3","3","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","3,5"
"Atomic ss Osis","atomic-ss-osis","footbagmoves","footbagmoves","atomic osis","atomic-osis","","atomic-osis(4) [self-atom] = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Atomotion","atomotion","footbagmoves","footbagmoves","atomotion","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","atomotion","","folk-name-opacity","7"
"Backside Symposium Smear","backside-symposium-smear","fborg","fborg","backside symposium smear","smear","backside|symposium","backside(+1) + symposium(+1) + smear(3) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Backside Symposium Toe Blizzard","backside-symposium-toe-blizzard","fborg","fborg","backside symposium toe blizzard","blizzard","backside|symposium","backside(+1) + symposium(+1) + blizzard(3) = 5","5","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Barfry","barfry","footbagmoves","footbagmoves","barfry","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","barfry","","folk-name-opacity","4"
"Big Apple Sauce","big-apple-sauce","footbagmoves","footbagmoves","big apple sauce","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","big|apple|sauce","","folk-name-opacity","9"
"Big Papa Smurf","big-papa-smurf","footbagmoves","footbagmoves","big papa smurf","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","big|papa|smurf","","folk-name-opacity","7"
"Bill & Ted`s Bogus Journey","bill-&-ted`s-bogus-journey","footbagmoves","footbagmoves","bill & ted`s bogus journey","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","bill|ted|s|bogus|journey","","folk-name-opacity","6"
"Bill & Ted`s Excellent Adventure","bill-&-ted`s-excellent-adventure","footbagmoves","footbagmoves","bill & ted`s excellent adventure","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","bill|ted|s|excellent|adventure","","folk-name-opacity","7"
"Blacula","blacula","footbagmoves","footbagmoves","blacula","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","blacula","","folk-name-opacity","5"
"Blazing Butterfly","blazing-butterfly","passback","passback","blazing butterfly","butterfly","blazing","blazing(+1) + butterfly(3) = 4","4","deferred:chassis-substitution-required","high","stable","True","True","True","true","false","","","","4"
"Blink","blink","passback","passback","blink","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","blink","","folk-name-opacity","2"
"Boulderbeater","boulderbeater","footbagmoves","footbagmoves","boulderbeater","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","boulderbeater","","folk-name-opacity","5"
"BS Magellan","bs-magellan","passback","passback","bs magellan","magellan","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","bs","","unknown-modifier-token","3"
"BS Paste","bs-paste","passback","passback","bs paste","paste","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","bs","","unknown-modifier-token","3"
"Bubba Beater","bubba-beater","footbagmoves","footbagmoves","bubba beater","bubba","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","beater","","unknown-modifier-token","3"
"Buttersole","buttersole","footbagmoves","footbagmoves","buttersole","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","buttersole","","folk-name-opacity","4"
"Carousel","carousel","footbagmoves","footbagmoves","carousel","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","carousel","","folk-name-opacity","9"
"Cascade","cascade","footbagmoves","footbagmoves","cascade","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","cascade","","folk-name-opacity","4"
"Casket","casket","footbagmoves","footbagmoves","casket","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","casket","","folk-name-opacity","4"
"Cataclysm","cataclysm","footbagmoves","footbagmoves","cataclysm","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","cataclysm","","folk-name-opacity","5"
"Catacomb","catacomb","footbagmoves","footbagmoves","catacomb","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","catacomb","","folk-name-opacity","4"
"Clown Face","clown-face","footbagmoves","footbagmoves","clown face","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","clown|face","","folk-name-opacity","7"
"Cold Fusion","cold-fusion","footbagmoves","footbagmoves","cold fusion","fusion","","","","deferred:chassis-substitution-required","low","stable","False","False","True","true","false","cold","","unknown-modifier-token","7"
"Compound Fracture","compound-fracture","footbagmoves","footbagmoves","compound fracture","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","compound|fracture","","folk-name-opacity","6"
"Conniption City","conniption-city","footbagmoves","footbagmoves","conniption city","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","conniption|city","","folk-name-opacity","5"
"Cristal","cristal","footbagmoves","footbagmoves","cristal","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","cristal","","folk-name-opacity","6"
"Croissant","croissant","footbagmoves","footbagmoves","croissant","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","croissant","","folk-name-opacity","6"
"Croxton","croxton","footbagmoves","footbagmoves","croxton","","","","","deferred:chassis-substitution-required","none","stable","False","False","True","true","false","croxton","","folk-name-opacity","5"
