"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"84 / Wiggle Walk","84-wiggle-walk","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Aeon Flux / Nucleosis","aeon-flux-nucleosis","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Big Apple Sauce / Chilly Pilly Sauce","big-apple-sauce-chilly-pilly-sauce","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Ego / Tamboura","ego-tamboura","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Ferocious / Flow","ferocious-flow","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Flaming Tard / Wet Dream","flaming-tard-wet-dream","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Guillotine / Cower","guillotine-cower","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"High Plains Drifter / Barrifter","high-plains-drifter-barrifter","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Johny Quest / Neutron Smasher","johny-quest-neutron-smasher","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Leviathan / Christina Aguilera","leviathan-christina-aguilera","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Lotus / Void","lotus-void","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Neutron Smasher / Johny Quest","neutron-smasher-johny-quest","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Rasmus / Skullsmasher","rasmus-skullsmasher","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Sasquatch / Warlock","sasquatch-warlock","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Superduperfly / Poisonous Toe","superduperfly-poisonous-toe","3 Observationally represented","B","footbagmoves","","","name-only","","",""
"Arctic (frigidosis Pixie)","arctic-frigidosis-pixie","3 Observationally represented","B","fborg","pixie","","name-only","","",""
"Backside Symposium Smear (Pixie Symposium Mirage)","backside-symposium-smear-pixie-symposium-mirage","3 Observationally represented","B","fborg","pixie|symposium","","name-only","","",""
"Backside Symposium Toe Blizzard (Quantum Symposium Illusion)","backside-symposium-toe-blizzard-quantum-symposium-illusion","3 Observationally represented","B","fborg","symposium|quantum","","name-only","","",""
"Blistering (Whirling Gyro)","blistering-whirling-gyro","3 Observationally represented","B","fborg","gyro-spyro|whirl-swirl","","name-only","","",""
"Broken (clipper reverse whirl)","broken-clipper-reverse-whirl","3 Observationally represented","B","fborg","whirl-swirl","","name-only","","",""
"Fairy Merkon (Fairy Spinning Legover)","fairy-merkon-fairy-spinning-legover","3 Observationally represented","B","fborg","fairy|spinning","","name-only","","",""
"Fear (Fairy Mirage)","fear-fairy-mirage","3 Observationally represented","B","fborg","fairy","","name-only","","",""
"Finchy (Pinching Fairy set)","finchy-pinching-fairy-set","3 Observationally represented","B","fborg","fairy","","name-only","","",""
"Flailing (Symposium Reverse Miraging)","flailing-symposium-reverse-miraging","3 Observationally represented","B","fborg","symposium","","name-only","","",""
"Flog (Fairy Double Legover)","flog-fairy-double-legover","3 Observationally represented","B","fborg","fairy","","name-only","","",""
"Frantic (pixie-quantum)","frantic-pixie-quantum","3 Observationally represented","B","fborg","pixie|quantum","","name-only","","",""
"Fudge (Fairy Illusion)","fudge-fairy-illusion","3 Observationally represented","B","fborg","fairy","","name-only","","",""
"Go-Go (stepping backspinning)","go-go-stepping-backspinning","3 Observationally represented","B","fborg","stepping|spinning","","name-only","","",""
"Leaning (stepping inspinning)","leaning-stepping-inspinning","3 Observationally represented","B","fborg","stepping|spinning|inspinning","","name-only","","",""
"Miraging Pincher (Stepping op Squeeze)","miraging-pincher-stepping-op-squeeze","3 Observationally represented","B","fborg","stepping","","name-only","","",""
"Neutron (Atomic spin)","neutron-atomic-spin","3 Observationally represented","B","fborg","atomic","","name-only","","",""
"Pandora (Spyro Pickup)","pandora-spyro-pickup","3 Observationally represented","B","fborg","gyro-spyro","","name-only","","",""
"Paralax (Spyro Legover)","paralax-spyro-legover","3 Observationally represented","B","fborg","gyro-spyro","","name-only","","",""
"Paratoxic (Paradox Miraging Symposium Whirl)","paratoxic-paradox-miraging-symposium-whirl","3 Observationally represented","B","fborg","symposium|whirl-swirl|paradox","","name-only","","",""
"Peeking (double spinning)","peeking-double-spinning","3 Observationally represented","B","fborg","spinning","","name-only","","",""
"Reverse Magellan (Fairy Same Pickup)","reverse-magellan-fairy-same-pickup","3 Observationally represented","B","fborg","fairy","","name-only","","",""
"S&M Smasher (Atomic Barrage)","s-m-smasher-atomic-barrage","3 Observationally represented","B","fborg","atomic","","name-only","","",""
"Scattered (Reverse Whirling)","scattered-reverse-whirling","3 Observationally represented","B","fborg","whirl-swirl","","name-only","","",""
