"name","slug","source_corpus","ecosystems","primary_block_ecosystem","blocking_question"
"Weaving Butterfly","weaving-butterfly","footbagmoves","weaving","weaving","weaving movement ruling pending"
"Weaving Clipper","weaving-clipper","footbagmoves","weaving","weaving","weaving movement ruling pending"
"Weaving Legover","weaving-legover","footbagmoves","weaving","weaving","weaving movement ruling pending"
"Weaving Magellan","weaving-magellan","passback","weaving","weaving","weaving movement ruling pending"
"Weaving Osis","weaving-osis","footbagmoves","weaving","weaving","weaving movement ruling pending"
"Weaving Pickup","weaving-pickup","footbagmoves","weaving","weaving","weaving movement ruling pending"
"Weaving Pigbeater","weaving-pigbeater","passback","weaving","weaving","weaving movement ruling pending"
"Weaving Whirl","weaving-whirl","footbagmoves","whirl-swirl|weaving","weaving","weaving movement ruling pending"
"Blurry Barrage","blurry-barrage","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Double Legover","blurry-double-legover","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Eggbeater","blurry-ducking-eggbeater","footbagmoves","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Mirage","blurry-ducking-mirage","footbagmoves","ducking|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Ducking Torque","blurry-ducking-torque","footbagmoves","ducking|blender-torque|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Eggbeater","blurry-eggbeater","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Illusion","blurry-illusion","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Illusioning Paradox Symposium Eggbeater","blurry-illusioning-paradox-symposium-eggbeater","footbagmoves","symposium|blurry-furious|paradox","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Mirage","blurry-mirage","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Symposium Whirling XBD Rake","blurry-symposium-whirling-xbd-rake","footbagmoves","symposium|whirl-swirl|blurry-furious|dragon-rake","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Blurry Zulu Blender","blurry-zulu-blender","footbagmoves","blender-torque|blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Double Legover","furious-double-legover","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Eggbeater","furious-eggbeater","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
"Furious Illusion","furious-illusion","footbagmoves","blurry-furious","blurry-furious","Red Q1.A — does `blurry`/`furious` carry +2 on rotational bases?"
