"ecosystem","tier","name","slug","source_corpus"
"(none)","tier1","Paratoxic","paratoxic","footbagmoves"
"(none)","tier1","Tapping Legover","tapping-legover","passback"
"(none)","tier1","Terraging Opposite Clipper","terraging-opposite-clipper","fborg"
"(none)","tier1","Terraging Same Clipper","terraging-same-clipper","fborg"
"(none)","tier1","Toe Ripwalk","toe-ripwalk","fborg"
"(none)","tier1","Torch-r Rack","torch-r-rack","footbagmoves"
"atomic","tier2","Alpine Atomsmasher","alpine-atomsmasher","passback"
"atomic","tier2","Atomic Blender","atomic-blender","stanford"
"atomic","tier2","Atomic DLO","atomic-dlo","footbagmoves"
"atomic","tier2","Atomic Double Legover","atomic-double-legover","footbagmoves"
"atomic","tier2","Atomic Double Over Down","atomic-double-over-down","footbagmoves"
"atomic","tier2","Atomic Drifter","atomic-drifter","footbagmoves"
"atomic","tier2","Atomic DSO","atomic-dso","passback"
"atomic","tier2","Atomic Ducking Blender","atomic-ducking-blender","multi"
"atomic","tier2","Atomic Ducking Double Legover","atomic-ducking-double-legover","footbagmoves"
"atomic","tier2","Atomic Ducking far Double Down","atomic-ducking-far-double-down","passback"
"atomic","tier2","Atomic Ducking far Mirage","atomic-ducking-far-mirage","passback"
"atomic","tier2","Atomic Ducking far Torque","atomic-ducking-far-torque","passback"
"atomic","tier2","Atomic Ducking Mirage","atomic-ducking-mirage","footbagmoves"
"atomic","tier2","Atomic Ducking Mirage (Rasmus) (Skull Smasher)","atomic-ducking-mirage-rasmus-skull-smasher","stanford"
"atomic","tier2","Atomic Ducking Torque","atomic-ducking-torque","footbagmoves"
"atomic","tier2","Atomic Ducking Whirl","atomic-ducking-whirl","footbagmoves"
"atomic","tier2","Atomic Ducking Whirl (Ego) (Tamboura)","atomic-ducking-whirl-ego-tamboura","stanford"
"atomic","tier2","Atomic Eggbeater","atomic-eggbeater","footbagmoves"
"atomic","tier2","Atomic far Blender","atomic-far-blender","passback"
"atomic","tier2","Atomic far Butterfly","atomic-far-butterfly","passback"
"atomic","tier2","Atomic far DLO","atomic-far-dlo","passback"
"atomic","tier2","Atomic far Double Down","atomic-far-double-down","passback"
"atomic","tier2","Atomic far Eggbeater","atomic-far-eggbeater","passback"
"atomic","tier2","Atomic far Mirage","atomic-far-mirage","passback"
"atomic","tier2","Atomic far Symp. Double Down","atomic-far-symp-double-down","passback"
"atomic","tier2","Atomic far Symp. Whirl","atomic-far-symp-whirl","passback"
"atomic","tier2","Atomic far Whirl","atomic-far-whirl","passback"
"atomic","tier2","Atomic Guay","atomic-guay","stanford"
"atomic","tier2","Atomic Gyro Torque","atomic-gyro-torque","passback"
"atomic","tier2","Atomic Legover (same side)","atomic-legover","footbagmoves"
"atomic","tier2","Atomic Mirage","atomic-mirage","footbagmoves"
"atomic","tier2","Atomic Motion","atomic-motion","footbagmoves"
"atomic","tier2","Atomic near Butterfly","atomic-near-butterfly","passback"
"atomic","tier2","Atomic near Mirage","atomic-near-mirage","passback"
"atomic","tier2","Atomic os Symposium Double Over Down","atomic-os-symposium-double-over-down","footbagmoves"
"atomic","tier2","Atomic Pickup (same side)","atomic-pickup","multi"
"atomic","tier2","Atomic Reverse Guay","atomic-reverse-guay","stanford"
"atomic","tier2","Atomic Reverse Swirl","atomic-reverse-swirl","stanford"
"atomic","tier2","Atomic ss Osis","atomic-ss-osis","footbagmoves"
"atomic","tier2","Atomic Swirl","atomic-swirl","stanford"
"atomic","tier2","Atomic Symposium Mirage","atomic-symposium-mirage","footbagmoves"
"atomic","tier2","Atomic Symposium Whirl","atomic-symposium-whirl","footbagmoves"
"atomic","tier2","Atomic Whirl","atomic-whirl","footbagmoves"
"atomic","tier2","Atomic Zulu Mirage","atomic-zulu-mirage","stanford"
"atomic","tier2","Atomotion","atomotion","footbagmoves"
"atomic","tier2","Fairy Atomic","fairy-atomic","fborg"
"atomic","tier2","Full Symp. Atomsmasher","full-symp-atomsmasher","passback"
"atomic","tier2","Symp. Atomic far Butterfly","symp-atomic-far-butterfly","passback"
"blender-torque","tier2","Atomic Blender","atomic-blender","stanford"
"blender-torque","tier2","Atomic Ducking Blender","atomic-ducking-blender","multi"
"blender-torque","tier2","Atomic Ducking far Torque","atomic-ducking-far-torque","passback"
"blender-torque","tier2","Atomic Ducking Torque","atomic-ducking-torque","footbagmoves"
"blender-torque","tier2","Atomic far Blender","atomic-far-blender","passback"
"blender-torque","tier2","Atomic Gyro Torque","atomic-gyro-torque","passback"
"blender-torque","tier2","Blazing Torque","blazing-torque","stanford"
"blender-torque","tier2","Clipper Ducking far Blender","clipper-ducking-far-blender","passback"
"blender-torque","tier2","Double Torque","double-torque","footbagmoves"
"blender-torque","tier2","double-dex Torque","double-dex-torque","passback"
"blender-torque","tier2","Ducking Pdx Torque","ducking-pdx-torque","passback"
"blender-torque","tier2","Fairy Gyro Torque","fairy-gyro-torque","passback"
"blender-torque","tier2","Fairy Spyro Symposium Torque","fairy-spyro-symposium-torque","footbagmoves"
"blender-torque","tier2","Fairy ss Blender","fairy-ss-blender","stanford"
"blender-torque","tier2","Fairy ss Torque","fairy-ss-torque","footbagmoves"
"blender-torque","tier2","Fairy Torque (Forque) (Ferocious)","fairy-torque-forque-ferocious","stanford"
"blender-torque","tier2","Fairy Torque (same side)","fairy-torque","footbagmoves"
"blender-torque","tier2","Fyro Torque","fyro-torque","footbagmoves"
"blender-torque","tier2","Gyro Torque","gyro-torque","multi"
"blender-torque","tier2","Gyro Torquescrew","gyro-torquescrew","multi"
"blender-torque","tier2","Leaning Torque","leaning-torque","footbagmoves"
"blender-torque","tier2","Neutron Torque","neutron-torque","footbagmoves"
"blender-torque","tier2","Phasing Blender","phasing-blender","stanford"
"blender-torque","tier2","Pixie Spinning Paradox Blender","pixie-spinning-paradox-blender","footbagmoves"
"blender-torque","tier2","Pixie ss Blender","pixie-ss-blender","stanford"
"blender-torque","tier2","Pixie ss Torque","pixie-ss-torque","stanford"
"blender-torque","tier2","Pyro Torque","pyro-torque","footbagmoves"
"blender-torque","tier2","Quantum far Torque","quantum-far-torque","passback"
"blender-torque","tier2","Reverse Blender","reverse-blender","footbagmoves"
"blender-torque","tier2","Reverse Swirling Blender","reverse-swirling-blender","stanford"
"blender-torque","tier2","Reverse Swirling Paradox Torque","reverse-swirling-paradox-torque","stanford"
"blender-torque","tier2","Reverse Torque","reverse-torque","footbagmoves"
"blender-torque","tier2","Sonic Torque","sonic-torque","stanford"
"blender-torque","tier2","Spinning Ducking far Blender","spinning-ducking-far-blender","passback"
"blender-torque","tier2","Spinning Ducking far Symp.Torque","spinning-ducking-far-symp-torque","passback"
"blender-torque","tier2","Spinning far Blender","spinning-far-blender","passback"
"blender-torque","tier2","Spinning far Miraging Symp. Torque","spinning-far-miraging-symp-torque","passback"
"blender-torque","tier2","Spinning far Symp. Torque","spinning-far-symp-torque","passback"
"blender-torque","tier2","Spinning near Symp. Torque","spinning-near-symp-torque","passback"
"blender-torque","tier2","Spinning Paradox Miraging Symposium Torque","spinning-paradox-miraging-symposium-torque","footbagmoves"
"blender-torque","tier2","Splicing ss Blender","splicing-ss-blender","footbagmoves"
"blender-torque","tier2","Spyro Symposium Torquescrew","spyro-symposium-torquescrew","footbagmoves"
"blender-torque","tier2","Stepping Blender (same side)","stepping-blender","footbagmoves"
"blender-torque","tier2","Stepping far Blender","stepping-far-blender","passback"
"blender-torque","tier2","Stepping near Torque","stepping-near-torque","passback"
"blender-torque","tier2","Stepping Pdx Torque","stepping-pdx-torque","footbagmoves"
"blender-torque","tier2","Surfing ss Blender","surfing-ss-blender","footbagmoves"
"blender-torque","tier2","Surging Ducking far Blender","surging-ducking-far-blender","passback"
"blender-torque","tier2","Surging Ducking Paradox Torque","surging-ducking-paradox-torque","footbagmoves"
"blender-torque","tier2","Surging Ducking Torque","surging-ducking-torque","stanford"
