"normalized","n_members","names","sources","note"
"symp illusion","3","Symp Illusion | Symp Illusion (same side) | Symp. Illusion","footbagmoves|passback","FLAG ONLY — confirm before any merge"
"fairy whirl","3","Fairy Whirl | Fairy Whirl (Feral) | Fairy Whirl (same side)","footbagmoves|multi|stanford","FLAG ONLY — confirm before any merge"
"blurry symposium whirl","3","Blurry Symposium Whirl | Blurry Symposium Whirl (Stepping Paradox Symposium Whirl) | Blurry Symposium Whirl (Whirlygig)","fborg|stanford","FLAG ONLY — confirm before any merge"
"atomic dlo","2","Atomic DLO | Atomic DLO (Predator)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic legover","2","Atomic Legover (Egg Plant) | Atomic Legover (same side)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic pickup","2","Atomic Pickup (Scrambled Eggbeater) | Atomic Pickup (same side)","multi|stanford","FLAG ONLY — confirm before any merge"
"backside symposium smear","2","Backside Symposium Smear | Backside Symposium Smear (Pixie Symposium Mirage)","fborg","FLAG ONLY — confirm before any merge"
"backside symposium toe blizzard","2","Backside Symposium Toe Blizzard | Backside Symposium Toe Blizzard (Quantum Symposium Illusion)","fborg","FLAG ONLY — confirm before any merge"
"dso","2","DSO | DSO (Double Switchover)","passback","FLAG ONLY — confirm before any merge"
"fairy dlo","2","Fairy DLO (Flog) | Fairy DLO (ss)","passback|stanford","FLAG ONLY — confirm before any merge"
"fairy illusion","2","Fairy Illusion (Fudge) | Fairy Illusion (same side)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"fairy torque","2","Fairy Torque (Forque) (Ferocious) | Fairy Torque (same side)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"grifter","2","Grifter | Grifter (same side)","footbagmoves|multi","FLAG ONLY — confirm before any merge"
"janiwalker","2","Janiwalker | Janiwalker (""johnny walker"")","multi|passback","FLAG ONLY — confirm before any merge"
"paratoxic","2","Paratoxic | Paratoxic (Paradox Miraging Symposium Whirl)","fborg|footbagmoves","FLAG ONLY — confirm before any merge"
"reverse swirling osis","2","Reverse Swirling Osis | Reverse Swirling Osis (Twirl)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"spyro gyro","2","Spyro Gyro | Spyro Gyro (Gyro Butterfly Swirl)","fborg|footbagmoves","FLAG ONLY — confirm before any merge"
"stepping legover","2","Stepping Legover (Schmoe) | Stepping Legover (same side)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"symp mirage","2","Symp Mirage | Symp Mirage (same side)","footbagmoves","FLAG ONLY — confirm before any merge"
"symp whirl","2","Symp Whirl | Symp Whirl (same side)","footbagmoves","FLAG ONLY — confirm before any merge"
"symple butterfly","2","Symple Butterfly | Symple Butterfly (same side)","footbagmoves","FLAG ONLY — confirm before any merge"
"symple reverse swirl","2","Symple Reverse Swirl (far) | Symple Reverse Swirl (same side)","footbagmoves","FLAG ONLY — confirm before any merge"
"symple swirl","2","Symple Swirl (far) | Symple Swirl (same side)","footbagmoves","FLAG ONLY — confirm before any merge"
"toe ripwalk","2","Toe Ripwalk | Toe Ripwalk (Quantum Butterfly)","fborg","FLAG ONLY — confirm before any merge"
"fairy drifter","2","Fairy Drifter | Fairy Drifter (Fume)","fborg|stanford","FLAG ONLY — confirm before any merge"
"fairy merkon","2","Fairy Merkon | Fairy Merkon (Fairy Spinning Legover)","fborg","FLAG ONLY — confirm before any merge"
"fear","2","Fear | Fear (Fairy Mirage)","fborg|footbagmoves","FLAG ONLY — confirm before any merge"
"flog","2","Flog | Flog (Fairy Double Legover)","fborg|footbagmoves","FLAG ONLY — confirm before any merge"
"fudge","2","Fudge | Fudge (Fairy Illusion)","fborg|footbagmoves","FLAG ONLY — confirm before any merge"
"miraging pincher","2","Miraging Pincher | Miraging Pincher (Stepping op Squeeze)","fborg","FLAG ONLY — confirm before any merge"
"pandora","2","Pandora | Pandora (Spyro Pickup)","fborg","FLAG ONLY — confirm before any merge"
"paralax","2","Paralax | Paralax (Spyro Legover)","fborg","FLAG ONLY — confirm before any merge"
"pogo paradox blender","2","Pogo Paradox Blender | Pogo Paradox Blender (Pogo Op Blender)","fborg","FLAG ONLY — confirm before any merge"
"pogo paradox da da curve","2","Pogo Paradox Da Da Curve | Pogo Paradox Da Da Curve (Pogo Op Da Da Curve)","fborg","FLAG ONLY — confirm before any merge"
"pogo paradox torque","2","Pogo Paradox Torque | Pogo Paradox Torque (Pogo Op Torque)","fborg","FLAG ONLY — confirm before any merge"
"pogo paradox whirling swirl","2","Pogo Paradox Whirling Swirl | Pogo Paradox Whirling Swirl (Pogo Op Whirling Swirl)","fborg","FLAG ONLY — confirm before any merge"
"reverse magellan","2","Reverse Magellan | Reverse Magellan (Fairy Same Pickup)","fborg","FLAG ONLY — confirm before any merge"
"symposium tomahawk","2","Symposium Tomahawk | Symposium Tomahawk (Ducking Paradox Symposium Whirl)","fborg","FLAG ONLY — confirm before any merge"
"blistering whirl","2","Blistering Whirl | Blistering Whirl (Whirling Gyro Whirl)","fborg|stanford","FLAG ONLY — confirm before any merge"
"blurrier","2","Blurrier | Blurrier (Stepping Down Double Down)","fborg|footbagmoves","FLAG ONLY — confirm before any merge"
"blurry drifter","2","Blurry Drifter | Blurry Drifter (Stepping Paradox Drifter)","fborg|multi","FLAG ONLY — confirm before any merge"
"blurry whirling swirl","2","Blurry Whirling Swirl | Blurry Whirling Swirl (Stepping Paradox Whirling Swirl)","fborg","FLAG ONLY — confirm before any merge"
"s&m smasher","2","S&M Smasher | S&M Smasher (Atomic Barrage)","fborg|footbagmoves","FLAG ONLY — confirm before any merge"
"shooting star","2","Shooting Star | Shooting Star (Shooting Double Over Down)","fborg","FLAG ONLY — confirm before any merge"
"voodoo","2","Voodoo | Voodoo (Paradox Symposium Blur)","fborg|footbagmoves","FLAG ONLY — confirm before any merge"
"arctic butterfly","2","Arctic Butterfly | Arctic Butterfly (Arc Walk)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic ducking blender","2","Atomic Ducking Blender | Atomic Ducking Blender (Super Ego)","multi|stanford","FLAG ONLY — confirm before any merge"
"atomic ducking mirage","2","Atomic Ducking Mirage | Atomic Ducking Mirage (Rasmus) (Skull Smasher)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic ducking torque","2","Atomic Ducking Torque | Atomic Ducking Torque (Icarus)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic ducking whirl","2","Atomic Ducking Whirl | Atomic Ducking Whirl (Ego) (Tamboura)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic eggbeater","2","Atomic Eggbeater | Atomic Eggbeater (Blade Runner)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic mirage","2","Atomic Mirage | Atomic Mirage (Atom Smasher)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic symposium mirage","2","Atomic Symposium Mirage | Atomic Symposium Mirage (Witch Doctor)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic symposium whirl","2","Atomic Symposium Whirl | Atomic Symposium Whirl (Gary Coleman)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"atomic whirl","2","Atomic Whirl | Atomic Whirl (Reactor)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"barraging butterfly","2","Barraging Butterfly | Barraging Butterfly (same side)","footbagmoves","FLAG ONLY — confirm before any merge"
"barraging legover","2","Barraging Legover | Barraging Legover (Flurry)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"blazing mirage","2","Blazing Mirage | Blazing Mirage (Blaze)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"blurry barrage","2","Blurry Barrage | Blurry Barrage (Blurrage)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"blurry ducking eggbeater","2","Blurry Ducking Eggbeater | Blurry Ducking Eggbeater (Golden Shower)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"blurry ducking mirage","2","Blurry Ducking Mirage | Blurry Ducking Mirage (Spike Hammer)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"blurry ducking torque","2","Blurry Ducking Torque | Blurry Ducking Torque (Gauntlet)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"blurry eggbeater","2","Blurry Eggbeater | Blurry Eggbeater (Bed Wetter)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"blurry illusion","2","Blurry Illusion | Blurry Illusion (Blizzard)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"blurry mirage","2","Blurry Mirage | Blurry Mirage (Blur)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"blurry zulu blender","2","Blurry Zulu Blender | Blurry Zulu Blender (Odula)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"bubba butterfly","2","Bubba Butterfly | Bubba Butterfly (Mxyzptlk)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"bubba legover","2","Bubba Legover | Bubba Legover (Bubba Beater)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"butterfly dragon","2","Butterfly Dragon | Butterfly Dragon (Firefly)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
"butterfly flapper","2","Butterfly Flapper | Butterfly Flapper (Buttersole) (Sole Train)","footbagmoves|stanford","FLAG ONLY — confirm before any merge"
