"name","slug","governance_state","category","source_corpus","overlap_kinds","equivalent_to","ecosystems"
"Toe Blur","toe-blur","2 Aliased Canonical","PROMOTED","passback","canonical-alias|decomposition-equivalence","quantum-mirage (Red pt2 EQUIVALENCE: Toe Blur = Quantum Mirage, 3 ADD)",""
"Barroque","barroque","2 Covered via alias/equivalence","PROMOTED","footbagmoves","canonical-alias|decomposition-equivalence","barraging-osis (live DB; Baroque; Red 2026-05-20 = two-dex + osis = 5)",""
"Da Da Curve","da-da-curve","2 Covered via alias/equivalence","PROMOTED","fborg","canonical-alias|decomposition-equivalence","dada-curve (live DB; SCALE-10 pilot)",""
"Gyro DLO","gyro-dlo","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","gyro-spyro|dlo-double-down"
"Stepping Ducking PS Whirl","stepping-ducking-ps-whirl","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","ducking|stepping|whirl-swirl"
"Toe Blizzard","toe-blizzard","2 Aliased Canonical","PROMOTED","fborg","canonical-alias|decomposition-equivalence","quantum-illusion (Red pt2 EQUIVALENCE: Toe Blizzard = Quantum Illusion)",""
"Frigidosis","frigidosis","4 Pending symbolic resolution","PROMOTED","fborg","canonical-alias","",""
"Backside Symposium Toe Blur","backside-symposium-toe-blur","2 Covered via alias/equivalence","PROMOTED","fborg","canonical-alias|decomposition-equivalence","quantum-symposium-mirage (Red pt2 retired the toe- prefix in favor of quantum-)","symposium"
"Atomic Illusion (same side)","atomic-illusion-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","atomic"
"Barrage (toe set)","barrage-toe-set","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","",""
"Blender (same side)","blender-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","blender-torque"
"Blurry Blender","blurry-blender","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","blender-torque|blurry-furious"
"Butterfly (same side)","butterfly-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","",""
"Butterfly Swirl (same side)","butterfly-swirl-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","whirl-swirl"
"Diving Down Double Down","diving-down-double-down","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","dlo-double-down"
"Drifter (same-side)","drifter-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","",""
"Dyno (far)","dyno-far","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","",""
"Dyno (same side)","dyno-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","",""
"Fairy Legover (same side)","fairy-legover-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","fairy"
"Fairy Pickup (same side)","fairy-pickup-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","fairy"
"Fairy Symposium Mirage (same side)","fairy-symposium-mirage-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","fairy|symposium"
"Flurry (toe set)","flurry-toe-set","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","",""
"Nuclear Illusion (same side)","nuclear-illusion-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","blurry-furious"
"Nuclear Legover (same side)","nuclear-legover-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","blurry-furious"
"Nuclear Mirage (same side)","nuclear-mirage-same-side","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","blurry-furious"
"Nuclear Pickup (same side)","nuclear-pickup-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","blurry-furious"
"Osis (far)","osis-far","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","",""
"Osis (same side)","osis-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","",""
"Paradox Grifter","paradox-grifter","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","paradox"
"Pixie Butterfly","pixie-butterfly","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","pixie"
"Pixie Butterfly (same side)","pixie-butterfly-same-side","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","pixie"
"Pixie Legover (same side)","pixie-legover-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","pixie"
"Pixie Pickup (same side)","pixie-pickup-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","pixie"
"Pixie Symposium Illusion (same side)","pixie-symposium-illusion-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","pixie|symposium"
"Pixie Symposium Mirage (same side)","pixie-symposium-mirage-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","pixie|symposium"
"Pixie Torque (same side)","pixie-torque-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","pixie|blender-torque"
"Pixie Whirl (same side)","pixie-whirl-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","pixie|whirl-swirl"
"Quantum Illusion (same side)","quantum-illusion-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","quantum"
"Quantum Legover (same side)","quantum-legover-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","quantum"
"Quantum Mirage (same side)","quantum-mirage-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","quantum"
"Reverse Whirl (same side)","reverse-whirl-same-side","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","whirl-swirl"
"Stepping Drifter (same side)","stepping-drifter-same-side","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","stepping"
"Stepping Eggbeater (same side)","stepping-eggbeater-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","stepping"
"Stepping Osis (same side)","stepping-osis-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","stepping"
"Stepping Pickup (same side)","stepping-pickup-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","stepping"
"Stepping Torque","stepping-torque","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","stepping|blender-torque"
"Surging Barfly","surging-barfly","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","",""
"Surging Butterfly","surging-butterfly","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","",""
"Surging Paradox Mirage","surging-paradox-mirage","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","paradox"
"Surging Paradox Whirl","surging-paradox-whirl","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","whirl-swirl|paradox"
"Surging Symposium Reverse Whirl","surging-symposium-reverse-whirl","3 Observationally represented","PROMOTED","footbagmoves","canonical-alias","","symposium|whirl-swirl"
"Torque (same side)","torque-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","blender-torque"
"Whirl (same side)","whirl-same-side","3 Observationally represented","PROMOTED","footbagmoves","normalized-name","","whirl-swirl"
"Whirling Osis","whirling-osis","3 Observationally represented","PROMOTED","multi","canonical-alias","","whirl-swirl"
"Atom Smasher (Atomic Mirage)","atom-smasher-atomic-mirage","3 Observationally represented","PROMOTED","fborg","normalized-name","","atomic"
"Atomic (Toe set Illusion)","atomic-toe-set-illusion","3 Observationally represented","PROMOTED","fborg","normalized-name","","atomic"
"Avalanche (Stepping Ducking Paradox Illusion)","avalanche-stepping-ducking-paradox-illusion","3 Observationally represented","PROMOTED","fborg","normalized-name","","ducking|stepping|paradox"
"Backside Symposium Toe Blur (Quantum Symposium Mirage)","backside-symposium-toe-blur-quantum-symposium-mirage","3 Observationally represented","PROMOTED","fborg","canonical-alias","","symposium|quantum"
"Barraging (High Stepping)","barraging-high-stepping","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping"
"Bedwetter (Stepping Paradox Eggbeater)","bedwetter-stepping-paradox-eggbeater","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|paradox"
"Big Apple (Gyro Symposium Torque)","big-apple-gyro-symposium-torque","3 Observationally represented","PROMOTED","fborg","normalized-name","","symposium|gyro-spyro|blender-torque"
"Bigwalk (Surging Butterfly)","bigwalk-surging-butterfly","3 Observationally represented","PROMOTED","fborg","normalized-name","",""
"Blizzard (Stepping Paradox Illusion)","blizzard-stepping-paradox-illusion","3 Observationally represented","PROMOTED","fborg","normalized-name","","stepping|paradox"
