"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"Backside Symposium Smear","backside-symposium-smear","3 Observationally represented","A","fborg","symposium","","full","first_class_ready","","high"
"Backside Symposium Toe Blizzard","backside-symposium-toe-blizzard","3 Observationally represented","A","fborg","symposium","","full","first_class_ready","","high"
"Inspinning Same Side Butterfly","inspinning-same-side-butterfly","3 Observationally represented","A","fborg","spinning|inspinning","","full","first_class_ready","","high"
"Inspinning Same Side Illusion","inspinning-same-side-illusion","3 Observationally represented","A","fborg","spinning|inspinning","","full","first_class_ready","","high"
"Inspinning Same Side Mirage","inspinning-same-side-mirage","3 Observationally represented","A","fborg","spinning|inspinning","","full","first_class_ready","","high"
"Paratoxic","paratoxic","3 Observationally represented","A","footbagmoves","","","full","first_class_ready","high","high"
"Pixie Leg Over","pixie-leg-over","3 Observationally represented","A","fborg","pixie","","full","first_class_ready","","high"
"Spyro Gyro","spyro-gyro","3 Observationally represented","A","footbagmoves","gyro-spyro","","full","first_class_ready","high","high"
"Symposium Whirling Swirl","symposium-whirling-swirl","3 Observationally represented","A","fborg","symposium|whirl-swirl","","full","first_class_ready","","high"
"Tapping Legover","tapping-legover","3 Observationally represented","A","passback","","","full","first_class_ready","none","high"
"Terraging Opposite Clipper","terraging-opposite-clipper","3 Observationally represented","A","fborg","","","full","first_class_ready","","high"
"Terraging Same Clipper","terraging-same-clipper","3 Observationally represented","A","fborg","","","full","first_class_ready","","high"
"Toe Ripwalk","toe-ripwalk","3 Observationally represented","A","fborg","","","full","first_class_ready","","high"
"Torch-r Rack","torch-r-rack","3 Observationally represented","A","footbagmoves","","","full","first_class_ready","high","high"
