"name","slug","governance_state","category","source_corpus","ecosystems","parent_family","completeness","publication_status","parse_confidence","add_confidence"
"69","69","3 Observationally represented","A","footbagmoves","","","full","","high",""
"84","84","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Alex Zerbe is the greatest","alex-zerbe-is-the-greatest","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Alpine Big Apple","alpine-big-apple","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Alpine Magellan","alpine-magellan","3 Observationally represented","A","passback","","","full","","none",""
"Alpine Paste","alpine-paste","3 Observationally represented","A","passback","","","full","","none",""
"Alpine Pigbeater","alpine-pigbeater","3 Observationally represented","A","passback","","","full","","none",""
"Alpine PLO","alpine-plo","3 Observationally represented","A","passback","","","full","","none",""
"Alpine Smog","alpine-smog","3 Observationally represented","A","passback","","","full","","none",""
"Alpine Smudge","alpine-smudge","3 Observationally represented","A","passback","","","full","","none",""
"Amadeus","amadeus","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Apocalypse","apocalypse","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Arachnophobia","arachnophobia","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Arch Nemesis","arch-nemesis","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Arcwalk","arcwalk","3 Observationally represented","A","footbagmoves","","","full","","medium",""
"Barfry","barfry","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Big Apple Sauce","big-apple-sauce","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Big Papa Smurf","big-papa-smurf","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Bill & Ted`s Bogus Journey","bill-&-ted`s-bogus-journey","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Bill & Ted`s Excellent Adventure","bill-&-ted`s-excellent-adventure","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Blacula","blacula","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Blazing Butterfly","blazing-butterfly","3 Observationally represented","A","passback","","","full","","none",""
"Blink","blink","3 Observationally represented","A","passback","","","full","","none",""
"Boulderbeater","boulderbeater","3 Observationally represented","A","footbagmoves","","","full","","high",""
"BS Magellan","bs-magellan","3 Observationally represented","A","passback","","","full","","none",""
"BS Paste","bs-paste","3 Observationally represented","A","passback","","","full","","none",""
"Bubba Beater","bubba-beater","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Buttersole","buttersole","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Carousel","carousel","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Cascade","cascade","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Casket","casket","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Cataclysm","cataclysm","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Catacomb","catacomb","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Clown Face","clown-face","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Cold Fusion","cold-fusion","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Compound Fracture","compound-fracture","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Conniption City","conniption-city","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Cristal","cristal","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Croissant","croissant","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Croxton","croxton","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Cyborg","cyborg","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Cyclone","cyclone","3 Observationally represented","A","footbagmoves","","","full","","high",""
"DDD","ddd","3 Observationally represented","A","passback","","","full","","none",""
"Dellusion","dellusion","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Desien","desien","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Diving Butterfly","diving-butterfly","3 Observationally represented","A","footbagmoves","","","full","","none",""
"Diving Clipper","diving-clipper","3 Observationally represented","A","passback","","","full","","none",""
"Diving Mirage","diving-mirage","3 Observationally represented","A","passback","","","full","","none",""
"Diving Osis","diving-osis","3 Observationally represented","A","multi","","","full","","none",""
"Diving Smudge","diving-smudge","3 Observationally represented","A","passback","","","full","","none",""
"Dominatrix","dominatrix","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Dorshanatrix","dorshanatrix","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Dorshatrix","dorshatrix","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Double Dyno","double-dyno","3 Observationally represented","A","passback","","","full","","none",""
"Double Helix","double-helix","3 Observationally represented","A","footbagmoves","","","full","","high",""
"Double Orbit","double-orbit","3 Observationally represented","A","passback","","","full","","none",""
"Double Switchover (far)","double-switchover","3 Observationally represented","A","footbagmoves","","","full","","none",""
