canonical_name,adds,base_trick,category,aliases,modifier_links,description,review_status,is_active,review_note
Far Barraging Osis,5,barraging-osis,compound,Barraging far Osis,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Butterfly Same Side,3,butterfly,compound,,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Fairy Blender Same Side,5,fairy-blender,compound,Fairy ss Blender,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Fairy Double Pickup Same Side,4,fairy-double-pickup,compound,Fairy ss Double Pickup,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Fairy Dyno Same Side,5,fairy-dyno,compound,Fairy ss Dyno,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Fairy Guay Same Side,3,fairy-guay,compound,Fairy ss Guay,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Fairy Reverse Swirl Same Side,4,fairy-reverse-swirl,compound,Fairy ss Reverse Swirl,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Fairy Symposium Mirage Same Side,4,fairy-symposium-mirage,compound,Fairy ss Symposium Mirage,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Fairy Symposium Whirl Same Side,5,fairy-symposium-whirl,compound,Fairy ss Symposium Whirl,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Fairy Torque Same Side,5,fairy-torque,compound,Fairy ss Torque,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Nuclear Dyno Same Side,6,nuclear-dyno,compound,Nuclear ss Dyno,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Nuclear Guay Same Side,4,nuclear-guay,compound,Nuclear ss Guay,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Nuclear Whirl Same Side,5,nuclear-whirl,compound,Nuclear ss Whirl,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Barrage Same Side,4,pixie-barrage,compound,Pixie ss Barrage,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Blender Same Side,5,pixie-blender,compound,Pixie ss Blender,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Double Pickup Same Side,4,pixie-double-pickup,compound,,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Dyno Same Side,5,pixie-dyno,compound,Pixie ss Dyno,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Flail Same Side,4,pixie-flail,compound,Pixie ss Flail,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Guay Same Side,3,pixie-guay,compound,Pixie ss Guay,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
Pixie Mirage Same Side,3,pixie-mirage,compound,Pixie ss Mirage,,,pending,0,Positional variant (relative-side doctrine 2026-06-23); slug/naming PENDING REVIEW
