slug,field,old_value,new_value,source_note
far-barraging-osis,operational_notation,,CLIP > OP IN [DEX] > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
far-barraging-osis,trick_family,barraging-osis,osis,Loader-19 transitive-family override: inherit base structural family 2026-06-23
butterfly-same-side,operational_notation,,SET > SAME OUT [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
fairy-blender-same-side,operational_notation,,TOE > SAME OUT [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
fairy-blender-same-side,trick_family,fairy-blender,blender,Loader-19 transitive-family override: inherit base structural family 2026-06-23
fairy-double-pickup-same-side,operational_notation,,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
fairy-double-pickup-same-side,trick_family,fairy-double-pickup,double-pickup,Loader-19 transitive-family override: inherit base structural family 2026-06-23
fairy-dyno-same-side,operational_notation,,TOE > SAME OUT [DEX] > SAME OUT [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
fairy-dyno-same-side,trick_family,fairy-dyno,dyno,Loader-19 transitive-family override: inherit base structural family 2026-06-23
fairy-guay-same-side,operational_notation,,TOE > SAME OUT [DEX] > SAME IN [DEX] > SAME INSIDE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
fairy-guay-same-side,trick_family,fairy-guay,inside-stall,Loader-19 transitive-family override: inherit base structural family 2026-06-23
fairy-reverse-swirl-same-side,operational_notation,,TOE > SAME OUT [DEX] >> SAME BACK SWIRL [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
fairy-reverse-swirl-same-side,trick_family,fairy-reverse-swirl,swirl,Loader-19 transitive-family override: inherit base structural family 2026-06-23
fairy-symposium-mirage-same-side,operational_notation,,TOE > SAME OUT [DEX] > (no plant while) SAME IN [BOD] [DEX] > OP TOE [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
fairy-symposium-mirage-same-side,trick_family,fairy-symposium-mirage,mirage,Loader-19 transitive-family override: inherit base structural family 2026-06-23
fairy-symposium-whirl-same-side,operational_notation,,TOE > SAME OUT [DEX] > (no plant while) SAME IN [BOD] [DEX] > OP CLIP [XBD] [DEL],Derived: base notation with the target dex flipped per the relative-side doctrine 2026-06-23
