canonical_slug,canonical_display_name,canonical_official_add,canonical_publication_status,raw_source_count,doctrine_divergence_tier,add_claim_spread,composite_modifier_flag,best_candidate_source,best_candidate_notation,candidate_fm,candidate_fborg,candidate_passback,candidate_stanford,candidate_internal_ts,parser_status,backfill_readiness,recommended_action
around-the-world,around the world,2,canonical_active,6,small,1,0,fborg,TOE > SAME IN/OUT [DEX] > SAME TOE [DEL],TOE > SAME IN/OUT [DEX] > SAME TOE [DEL],TOE > SAME IN/OUT [DEX] > SAME TOE [DEL],toe>ss leggy in dex>ss toe,Z.+1+Z,,parser-clean,high,backfill_high_confidence
assassin,assassin,4,canonical_active,5,large,2,0,fm,Toe > Same In (DEX) >> Duck (BOD) >> Op In (DEX) > Op Toe (DEL),Toe > Same In (DEX) >> Duck (BOD) >> Op In (DEX) > Op Toe (DEL),,Pixie Ducking far Mirage,Z+1^-1-Z,,parser-clean,high,backfill_high_confidence
atom-smasher,atom smasher,4,canonical_active,5,large,2,0,fm,TOE > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],TOE > OP OUT [DEX] > OP IN [DEX] > OP TOE [DEL],,Atomic far Mirage,Z-0.-1-Z,,parser-clean,high,backfill_high_confidence
atomic-butterfly,atomic butterfly,4,canonical_active,5,large,2,0,fborg,TOE > OP OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],,TOE > OP OUT [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],Atomic far Butterfly,Z-0.-0-X,,parser-clean,high,backfill_high_confidence
atomic-torque,atomic torque,6,canonical_active,2,none,0,0,stanford,Z-0.-1/-X,,,,Z-0.-1/-X,,parser-clean,high,backfill_high_confidence
bedwetter,bedwetter,4,canonical_active,6,large,2,0,fborg,Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL),Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL),Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL),Stepping far Eggbeater,,Clip > Op In (DEX) >> Op Out (DEX)(PDX) > Op Out (DEX) > Same Toe (DEL),no-stanford,high,backfill_high_confidence
big-apple,big apple,6,canonical_active,5,large,5,0,fm,Clip >> (back) Spin (BOD) > (no plant while) Same In (DEX)(BOD) > (back) Spin (BOD) > Op Clip (XBD)(DEL),Clip >> (back) Spin (BOD) > (no plant while) Same In (DEX)(BOD) > (back) Spin (BOD) > Op Clip (XBD)(DEL),,"Spinning near Symp. Torque, Symp. Mobius",X.\+!1/-X,,parser-clean,high,backfill_high_confidence
bigwalk,bigwalk,5,canonical_active,3,none,0,0,fm,Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),Clip > (back) Spin (BOD) > Same In (DEX) >> Op Out (DEX) > Op Clip (XBD)(DEL),,,,,no-stanford,high,backfill_high_confidence
blaze,blaze,3,canonical_active,6,large,2,0,fm,Clip > Op Front Whirl (DEX) >> Op In (DEX) > Op Toe (DEL),Clip > Op Front Whirl (DEX) >> Op In (DEX) > Op Toe (DEL),,Whirling far Mirage,X-1.-1-Z,Clip > Op Front Whirl (DEX) >> Op In (DEX) > Op Toe (DEL),parser-clean,high,backfill_high_confidence
blender,blender,4,canonical_active,7,large,4,0,fborg,SET > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],Clip >> Op Front Whirl (DEX) > (back) Spin (BOD) > Same Clip (XBD)(DEL),SET > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],(downtime) Whirling Osis,*.-1\+X,,parser-clean,high,backfill_high_confidence
