cohort_name,trick_count,canonical_count,stanford_only_count,has_op_notation,backfill_candidates,parseable_shorthand,risk_low,risk_medium,risk_high,notation_quality,shorthand_coverage,source_agreement,promotion_readiness,example_slugs
clipper-descendants,6,6,0,3,3,4,4,2,0,0.50,0.67,0.67,3.67,clipper|clipper-stall|drifter|flying-clipper|high-plains-drifter
barraging,1,1,0,1,0,1,0,1,0,1.00,1.00,1.00,3.00,barraging-osis
symposium,6,6,0,0,6,6,2,4,0,0.00,1.00,1.00,2.00,flail|nova|paradox-symposium-whirl|superfly|symposium-mirage
legover-descendants,5,5,0,1,4,5,1,4,0,0.20,1.00,1.00,2.00,double-leg-over|eggbeater|flurry|legover|schmoe
nuclear,2,2,0,1,1,2,0,2,0,0.50,1.00,1.00,2.00,matador|sumo
tapping,4,4,0,2,1,3,0,4,0,0.50,0.75,0.75,1.75,spinal-tap|tap|tapdown|tapping-whirl
quantum,3,3,0,2,1,1,0,3,0,0.67,0.33,0.33,1.67,legeater|plasma|tripwalk
atomic,4,4,0,1,3,4,0,4,0,0.25,1.00,1.00,1.50,atomic-butterfly|atomic-torque|scrambled-eggbeater|witchdoctor
pixie,10,10,0,3,7,9,1,8,1,0.30,0.90,0.90,1.40,assassin|dimwalk|magellan|paste|phoenix
whirl-descendants,5,5,0,2,2,3,0,5,0,0.40,0.60,0.60,1.40,hatchet|rev-whirl|sole-survivor|spinning-paradox-whirl|whirl
ducking,8,8,0,2,6,8,1,6,1,0.25,1.00,1.00,1.38,ducking-butterfly|ducking-clipper|ducking-osis|ducking-whirl|gauntlet
spinning,14,14,0,2,12,13,2,11,1,0.14,0.93,0.93,1.36,bigwalk|merkon|montage|spender|spinning-butterfly
stepping,7,7,0,0,7,7,2,4,1,0.00,1.00,1.00,1.29,fog|grave-digger|haze|sidewalk|stepping-osis
other,389,65,324,21,18,344,19,369,1,0.32,0.88,0.05,1.13,around-the-world|atomic|barraging|bedwetter|blazing
stanford-double-dex,179,9,170,4,5,179,3,176,0,0.44,1.00,0.05,1.09,barfly|barrage|blizzard|double-around-the-world|paradon
stanford-spin-compounds,247,2,245,0,2,247,0,247,0,0.00,1.00,0.01,1.00,bullwhip|dyno|atomic-blender|atomic-ducking-blender|atomic-ducking-motion
stanford-duck-dive,130,0,130,0,0,130,0,130,0,0.00,1.00,0.00,1.00,atomic-ducking-butterfly|atomic-ducking-dlo|atomic-ducking-mirage|atomic-ducking-whirl|atomic-zulu-mirage
osis-descendants,3,3,0,0,3,3,0,3,0,0.00,1.00,1.00,1.00,blender|osis|torque
butterfly-descendants,2,2,0,0,2,2,0,2,0,0.00,1.00,1.00,1.00,butterfly|parkwalk
swirl-descendants,2,2,0,0,2,2,0,2,0,0.00,1.00,1.00,1.00,swirl|swirl
whirling,1,1,0,0,1,1,0,1,0,0.00,1.00,1.00,1.00,whirling-swirl
mirage-descendants,5,5,0,0,5,3,0,5,0,0.00,0.60,0.60,0.60,atom-smasher|blaze|mirage|paradox-symposium-mirage|spinning-paradox-mirage
paradox,7,7,0,0,6,7,0,4,3,0.00,1.00,1.00,-0.71,fury|paradox-blender|paradox-drifter|paradox-mirage|paradox-torque
blurry,6,6,0,1,0,6,0,0,6,0.17,1.00,1.00,-2.67,blur|blurriest|blurry-torque|blurry-whirl|food-processor
gyro,4,4,0,0,0,4,0,0,4,0.00,1.00,1.00,-3.00,big-apple|mantis|mobius|vortex
blender-descendants,2,2,0,0,2,0,0,0,2,0.00,0.00,0.00,-4.00,spinning-paradox-blender|stepping-ducking-paradox-blender
