canonical_slug,canonical_display_name,frontier_tier,frontier_failures,recommended_action,raw_source_count,source_family_count,source_families,source_systems,in_canonical_db,canonical_publication_status,canonical_official_add,canonical_has_notation,canonical_has_op_notation,notation_source_count,notation_canonical,notation_fm,notation_fborg,notation_passback,notation_stanford,notation_internal_ts,parser_status,per_family_add_claims,add_claim_min,add_claim_max,add_claim_spread,doctrine_divergence_tier,composite_modifier_flag
barrage,barrage,1_safest,,publish_as_is,7,5,"canonical,fborg,fm,passback,stanford","canonical_db,fborg_text,fm_inventory,fm_symbolic_grammar,passback_intake,passback_source_links,stanford_corpus",1,canonical_active,3,0,1,5,CLIP > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],Clip >> Op In (DEX) > Same In (DEX) >> Op Toe (DEL),SET > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],double-dex Mirage,*.-1+1-Z,,parser-clean,canonical=3;fborg=3;fm=3;passback=2;stanford=3,2,3,1,small,0
reaper,reaper,1_safest,,backfill_canonical_op_notation,7,5,"canonical,fborg,fm,passback,stanford","canonical_db,fborg_text,fm_inventory,fm_symbolic_grammar,passback_intake,passback_source_links,stanford_corpus",1,canonical_active,3,0,0,4,,Clip >> Same Out (DEX) >> Same Out (DEX) > Same Toe (DEL),CLIP > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL].,Clipper far DSO,X.+0+0+Z,,parser-clean,canonical=3;fborg=3;fm=3;passback=2;stanford=3,2,3,1,small,0
around-the-world,around the world,1_safest,,backfill_canonical_op_notation,6,5,"canonical,fborg,fm,passback,stanford","canonical_db,fborg_text,fm_symbolic_grammar,passback_intake,passback_source_links,stanford_corpus",1,canonical_active,2,1,0,5,ATW,TOE > SAME IN/OUT [DEX] > SAME TOE [DEL],TOE > SAME IN/OUT [DEX] > SAME TOE [DEL],toe>ss leggy in dex>ss toe,Z.+1+Z,,parser-clean,canonical=2;fborg=2;fm=2;passback=1;stanford=2,1,2,1,small,0
double-over-down,,1_safest,,promote_with_notation,6,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fborg_text,fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,Z.+0+0-X,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],parser-clean,fborg=4;fm=4;stanford=4,4,4,0,none,0
down-double-down,,1_safest,,promote_with_notation,6,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fborg_text,fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,4,,Clip >> Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),CLIP > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,X.-0+0-X,Clip >> Op Out (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),parser-clean,fborg=4;fm=4;stanford=4,4,4,0,none,0
eggbeater,eggbeater,1_safest,,backfill_canonical_op_notation,6,4,"canonical,fm,passback,stanford","canonical_db,fm_inventory,fm_symbolic_grammar,passback_intake,passback_source_links,stanford_corpus",1,canonical_active,3,0,0,3,,Toe >> Op Out (DEX) > Op Out (DEX) > Same Toe (DEL),,(downtime) Illusioning Legover,Z.-0-0+Z,,parser-clean,canonical=3;fm=3;passback=2;stanford=3,2,3,1,small,0
flurry,flurry,1_safest,,backfill_canonical_op_notation,6,4,"canonical,fm,passback,stanford","canonical_db,fm_inventory,fm_symbolic_grammar,passback_intake,passback_source_links,stanford_corpus",1,canonical_active,4,0,0,3,,Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL),,(midtime) Barraging far Legover,X.-1+1-0+Z,,parser-clean,canonical=4;fm=4;passback=3;stanford=4,3,4,1,small,0
inspinning-butterfly,,1_safest,,promote_with_notation,6,4,"fborg,fm,internal_ts,stanford","fborg_insert_staging,fborg_text,fm_inventory,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",0,,,0,0,3,,inspinning(+1) + butterfly(3) --> 4 ADDs,CLIP > (front) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,X./+0-X,,parser-clean,fborg=4;fm=4;stanford=4,4,4,0,none,0
paradox-barrage,paradox-barrage,1_safest,,backfill_canonical_op_notation,6,5,"canonical,fborg,fm,internal_ts,stanford","canonical_db,fborg_insert_staging,fborg_text,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",1,canonical_active,4,0,0,4,,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],,X.+1+1-Z,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],parser-clean,canonical=4;fborg=4;fm=4;stanford=4,4,4,0,none,0
paradox-blizzard,paradox-blizzard,1_safest,,backfill_canonical_op_notation,6,5,"canonical,fborg,fm,internal_ts,stanford","canonical_db,fborg_insert_staging,fborg_text,fm_symbolic_grammar,stanford_corpus,tracked_names_ts",1,canonical_active,4,0,0,4,,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,,X+1.-0-Z,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,parser-clean,canonical=4;fborg=4;fm=4;stanford=5,4,5,1,small,0
